feature_name,source_factor_id,source_factor,horizon,coverage,missing_rate,stale_rate,ic_mean,ic_std,icir,ic_hit_rate,ic_t_nw,ic_p_nw,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_hit_rate,rank_ic_t_nw,rank_ic_p_nw,ic_days,rank_ic_days,nonoverlap_rank_ic_mean,nonoverlap_rank_ic_t,nonoverlap_rank_ic_p,pooled_beta,pooled_t_two_way_cluster,pooled_p_two_way_cluster,pooled_observations,group_spread,group_monotonicity,group_days,gross_annual_return,gross_sharpe,average_one_way_turnover,gross_max_drawdown,net_1bps_annual_return,net_1bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,rank_ic_q_bh,transformation,category,usage_type,expected_direction,economic_meaning,baseline_rank_ic,candidate_rank_ic,delta_rank_ic,baseline_mse,candidate_mse,mse_reduction,oos_rows,correlation_cluster,rank_ic_q_bh_cluster,rank_ic_mean_cluster,coverage_cluster,cluster_representative,max_abs_factor_correlation,year_direction_consistency,year_count,product_direction_consistency,sector_direction_consistency,worst_product_correlation,worst_sector_correlation,classification,classification_reason,enter_ml
tsmom_20,1,时间序列动量,5,0.996295263514321,0.003704736485679039,0.0002788511333306776,0.0007190405296996036,0.2759084690510996,0.0026060835760950626,0.5064935064935064,0.06074536865222189,0.9515619994112394,-0.001683632792223865,0.2735212781075944,-0.006155399696405259,0.49586776859504134,-0.14526077706349877,0.8845049815711615,1694,1694,0.0026847913038075153,0.1823111252916749,0.8553385682768424,0.00010947548649936914,0.27759796718687946,0.7813209927851871,49865,0.0009411617470859768,0.49999999999999994,1694,0.011741423562706252,0.134447215397775,0.1990184530820573,-0.20584367928860514,0.006726158545038416,0.0770168369643616,-0.003304371490297294,-0.03783366226356668,-0.013334901525632966,-0.15266686736767587,0.9664035909758987,20日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,0.017114860767115075,0.014153801277878532,-0.002961059489236544,0.0010543452606963173,0.001054429871234577,-8.024936556726046e-05,49935,31,0.9664035909758987,-0.001683632792223865,0.996295263514321,False,0.9355361131461706,0.42857142857142855,7,0.43333333333333335,0.2,-0.1292533278453219,-0.021104028873718268,E,开发期未发现足够稳定的方向或增量证据,False
csmom_20,2,横截面动量,5,0.9988049237142971,0.001195076285702923,0.22616818706927458,-0.00604825989160329,0.3020209322799015,-0.020025962591221965,0.5017709563164109,-0.46751974006278074,0.6401280723170283,-0.011451687104314484,0.2940599185884165,-0.038943379836620766,0.49173553719008267,-0.9191786462157835,0.3580021383738391,1694,1694,-0.011945744598544661,-0.7414502122441784,0.4584205089272194,-0.00017260281846839554,-0.423183381230131,0.6721614709028735,49875,-0.0005863993858359584,-0.19999999999999998,1694,-0.034012111099700926,-0.33935586543716606,0.19441499803690618,-0.2939612298391908,-0.03891136905023096,-0.3882320264091285,-0.04870988495129103,-0.4859759062288239,-0.05850840085235111,-0.5837060061157574,0.7286047081983691,20日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,0.017114860767115075,0.014243520052427492,-0.0028713407146875834,0.0010543452606963173,0.0010551474577301346,-0.0007608485225109963,49935,31,0.7286047081983691,-0.011451687104314484,0.9988049237142971,True,0.9466228813913556,0.5714285714285714,7,0.3333333333333333,0.4,-0.14696619421650445,-0.05058712861303286,E,开发期未发现足够稳定的方向或增量证据,False
trend_efficiency_20,3,趋势效率,5,0.996295263514321,0.003704736485679039,0.0002788511333306776,7.112449303933178e-05,0.24266677834355826,0.00029309530346439294,0.4899645808736718,0.007158662619818617,0.9942882624040714,-0.0016688174531665873,0.23640065161332544,-0.007059276028968947,0.4988193624557261,-0.17523275803991692,0.8608967453492482,1694,1694,-0.005407810525591341,-0.4224807808074641,0.6726741260993179,0.0002416713138996848,0.8704353724794711,0.384062523058615,49865,0.000495252204060043,0.49999999999999994,1694,-0.015134690250957069,-0.20448032381650263,0.351796230859835,-0.22989556912457632,-0.023999955268624897,-0.3242686813940287,-0.041730485303960604,-0.5638575329181856,-0.059461015339296285,-0.8034408730038798,0.9664035909758987,20日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,0.017114860767115075,0.0032143831238062937,-0.013900477643308783,0.0010543452606963173,0.0010548431988794084,-0.0004722724155483659,49935,15,0.9664035909758987,-0.0016688174531665873,0.996295263514321,True,0.2646038723149052,0.5714285714285714,7,0.6,0.8,-0.06302570157875163,-0.006646189239940831,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_20,24,已实现波动率,5,0.9968928016571724,0.0031071983428275773,0.000298769071425726,-0.002280353000657931,0.33929653390694586,-0.006720826099813126,0.4793388429752066,-0.15562323956198032,0.8763300056039248,-0.008612431954384773,0.3054654091818834,-0.028194458997668925,0.4787485242030697,-0.6561940648173912,0.5116992672047251,1694,1694,-0.005609766253352537,-0.34144715741239706,0.732766979287919,0.0001715527895358281,0.4298087084851675,0.6673347975643278,49895,-0.0005767615059158116,-0.3,1694,-0.002463941854110487,-0.023489683286250906,0.07394974479780134,-0.17920016631033764,-0.004327475423015086,-0.04125631445671449,-0.008054542560824267,-0.07679154236092801,-0.011781609698633467,-0.11232897289544189,0.8159528855426698,20日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,0.017114860767115075,0.017114860767115075,0.0,0.0010543452606963173,0.0010543452606963173,0.0,49935,37,0.8159528855426698,-0.008612431954384773,0.9968928016571724,False,0.9475115748157656,0.5714285714285714,7,0.4666666666666667,0.4,-0.08383330816548092,-0.03474797658941156,D,主要用途是风险、波动或流动性刻画,False
momentum_quality_20,41,动量质量,5,0.996295263514321,0.003704736485679039,0.0002589331952356292,0.006026014567451489,0.26728077083960156,0.022545634497095093,0.512987012987013,0.5366218258444629,0.5915288647538902,-0.002009061424140227,0.2735161565120782,-0.007345311698438951,0.49173553719008267,-0.1733072563075155,0.8624099202909786,1694,1694,0.0014708722352416964,0.09985165937041623,0.9204620947006215,0.0002546820967765806,0.6505809975750417,0.5153170001726481,49865,0.0009283308565265793,0.19999999999999998,1694,0.010961585652612252,0.1258454932924101,0.19775225755791126,-0.20420156579272675,0.005978228762152897,0.06863024581112569,-0.003988485018765842,-0.04578301173465866,-0.013955198799684558,-0.16016968193453907,0.9664035909758987,tsmom_20×trend_efficiency_20,趋势与动量,predictor,1,平滑趋势比震荡路径更可能持续,0.017114860767115075,0.016798541895691684,-0.00031631887142339124,0.0010543452606963173,0.0010545589321110098,-0.00020265791734235634,49935,31,0.9664035909758987,-0.002009061424140227,0.996295263514321,False,0.9355361131461706,0.42857142857142855,7,0.43333333333333335,0.2,-0.1291805847710878,-0.021370605961836896,E,开发期未发现足够稳定的方向或增量证据,False
vol_managed_momentum_20,42,波动率管理动量,5,0.996295263514321,0.003704736485679039,0.000298769071425726,0.0050319026630565806,0.2114732627669038,0.02379450998778503,0.5017709563164109,0.5600408227361364,0.5754515931718567,0.012022698773056317,0.23636758216155185,0.05086441492149747,0.5106257378984652,1.205999824181733,0.2278175582220362,1694,1694,0.02315945152705762,1.8760999097397169,0.06064156209754976,0.0002714346259823533,0.8738411159869985,0.38220478574994077,49865,0.0013916360983740354,0.8999999999999998,1694,0.0264932910309965,0.43028948282488644,0.204760502552022,-0.0989366342931437,0.021333326366685546,0.3464771816948509,0.01101339703806364,0.17885669877756355,0.0006934677094417286,0.011260521876209474,0.7286047081983691,方向×10%目标波动/20日年化波动,趋势与动量,risk,1,按波动缩放可稳定不同品种风险预算,0.017114860767115075,0.012171747694623038,-0.004943113072492037,0.0010543452606963173,0.001054733553898118,-0.00036827898438536883,49935,32,0.7286047081983691,0.012022698773056317,0.996295263514321,True,0.6902106511782713,0.42857142857142855,7,0.5666666666666667,0.6,-0.11552826001259371,-0.013708013509726386,D,主要用途是风险、波动或流动性刻画,True
tsmom_60,1,时间序列动量,5,0.9935067521810143,0.006493247818985748,0.0002788511333306776,0.004553741587354358,0.27995439083400286,0.016266012380761228,0.5165289256198347,0.37661759281165236,0.7064578117259672,0.003037465690774562,0.2739260257820608,0.011088634904633743,0.5141676505312869,0.2594104512667522,0.7953185667086793,1694,1694,0.0033857630963559857,0.23449980040885907,0.814596988119977,0.00022234974454408315,0.6738431195484472,0.5004110577473802,49725,0.0006638174957522096,0.49999999999999994,1694,0.009185020143849544,0.10163252423517634,0.12527483313702392,-0.15643808598328146,0.006028094348796531,0.06670464356361577,-0.00028575724130947293,-0.0031624044318525777,-0.006599608831415495,-0.07304304588169055,0.9664035909758987,60日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,0.017114860767115075,0.017114860767115075,0.0,0.0010543452606963173,0.0010543452606963173,0.0,49935,27,0.9664035909758987,0.003037465690774562,0.9935067521810143,True,0.9340479712380565,0.42857142857142855,7,0.4666666666666667,0.4,-0.1069366178601642,-0.03958139291066836,E,开发期未发现足够稳定的方向或增量证据,False
csmom_60,2,横截面动量,5,0.9964147711428913,0.0035852288571086577,0.34527745687766404,0.004841512015650137,0.30098510256620725,0.016085553651563722,0.5188902007083825,0.3739084189196669,0.7084724526425163,0.0009961340747351162,0.29111958571684643,0.0034217349969163278,0.5094451003541912,0.08032229274204862,0.93598092845051,1694,1694,-0.0011571745090797753,-0.07615829123004492,0.9392931650517515,0.0002022435530469804,0.5724041233647843,0.5670482230238139,49755,0.0004201928215689259,0.49999999999999994,1694,0.01633722650510349,0.1599439920135142,0.11609736945425991,-0.1632523612266773,0.01341157279485613,0.13130640507300562,0.007560265374361439,0.07402430346847472,0.0017089579538667223,0.016733891316074036,0.9696173510773963,60日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,0.017114860767115075,0.0074021313409955896,-0.009712729426119487,0.0010543452606963173,0.0010557742889532444,-0.0013553703043946463,49935,27,0.9696173510773963,0.0009961340747351162,0.9964147711428913,False,0.9193520148549448,0.42857142857142855,7,0.36666666666666664,0.4,-0.09795206734412183,-0.04806424670996264,E,开发期未发现足够稳定的方向或增量证据,False
trend_efficiency_60,3,趋势效率,5,0.9935067521810143,0.006493247818985748,0.0002788511333306776,0.0036438198734364945,0.25691279114071536,0.01418310025459462,0.5047225501770957,0.3364071299088627,0.736563873596249,0.0037749053021433597,0.24543673910261393,0.015380359582454851,0.49586776859504134,0.37225342272935247,0.7097041738775884,1694,1694,0.0036118248251690494,0.2783698966881378,0.7807284255655258,0.00024407201856421464,0.9338511524523655,0.3503806790278732,49725,0.000783485098713172,0.7,1694,0.035897580065820466,0.43993055700600137,0.2256870828425599,-0.16711634531424413,0.030210265578187952,0.3702397189125133,0.018835636602922933,0.23084512950442448,0.007461007627657921,0.09144088476874597,0.9305010279728382,60日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,0.017114860767115075,0.016918425479163963,-0.00019643528795111262,0.0010543452606963173,0.0010542745024134125,6.711111202612158e-05,49935,13,0.9305010279728382,0.0037749053021433597,0.9935067521810143,True,0.4091496842855024,0.42857142857142855,7,0.5,0.6,-0.07157713173557784,-0.012207703972153839,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_60,24,已实现波动率,5,0.9952993666095685,0.0047006333904314745,0.00033860494761582283,-0.0028288132527065834,0.3404947883670568,-0.008307948753850217,0.48406139315230223,-0.19128044429913968,0.8483058814026196,-0.007895157536895106,0.3076155191286254,-0.02566566719149774,0.474025974025974,-0.5967530902150626,0.5506722413061834,1694,1694,-0.006272113412003355,-0.3869371245596951,0.6988027563206933,8.627601627046909e-05,0.2319481462847788,0.8165782887342068,49815,-7.820550279096243e-05,-0.09999999999999999,1694,0.006904344190637317,0.06574318862274527,0.025068708284255985,-0.1528940106003981,0.006272612741874082,0.05972713212263661,0.005009149844347575,0.047695379204675925,0.0037456869468210628,0.035664163122642735,0.8330682624888416,60日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,0.017114860767115075,0.013468692422941733,-0.0036461683441733426,0.0010543452606963173,0.0010544813214177291,-0.00012904759615645685,49935,37,0.8330682624888416,-0.007895157536895106,0.9952993666095685,False,0.955400239121941,0.7142857142857143,7,0.4,0.2,-0.11779330425851357,-0.05910766274794923,D,主要用途是风险、波动或流动性刻画,False
