feature_name,horizon,year,rank_ic_mean,rank_ic_days
vol_managed_momentum_20,1,2024,0.010190971809946617,241
vol_managed_momentum_20,5,2018,-0.00407457134575057,243
vol_managed_momentum_20,5,2019,-0.005023464068122067,244
vol_managed_momentum_20,5,2020,0.10442695816568019,243
vol_managed_momentum_20,5,2021,0.015249683003977901,243
vol_managed_momentum_20,5,2022,-0.0324222243526521,242
vol_managed_momentum_20,5,2023,-0.016106049880951285,242
vol_managed_momentum_20,5,2024,0.022129604858656827,237
vol_managed_momentum_20,20,2018,-0.006470869842517353,243
vol_managed_momentum_20,20,2019,-0.003527012840184125,244
vol_managed_momentum_20,20,2020,0.12207587109329787,243
vol_managed_momentum_20,20,2021,0.010382821333260094,243
vol_managed_momentum_20,20,2022,-0.0037100779693559553,242
vol_managed_momentum_20,20,2023,-0.018167109460465715,242
vol_managed_momentum_20,20,2024,0.04132319193498281,222
tsmom_60,1,2018,-0.00020596104703214183,243
tsmom_60,1,2019,-0.006667292059452954,244
tsmom_60,1,2020,0.03661524730499166,243
tsmom_60,1,2021,-0.023734100456694725,243
tsmom_60,1,2022,0.010576077052133356,242
tsmom_60,1,2023,-0.004532960094380933,242
tsmom_60,1,2024,0.0032011917159875548,241
tsmom_60,5,2018,0.02309225706416,243
tsmom_60,5,2019,-0.0073979111147002615,244
tsmom_60,5,2020,0.07285762023124524,243
tsmom_60,5,2021,-0.044417894597106065,243
tsmom_60,5,2022,0.012278236476840986,242
tsmom_60,5,2023,-0.01963614300554335,242
tsmom_60,5,2024,-0.015996207694437794,237
tsmom_60,20,2018,0.029862411684463623,243
tsmom_60,20,2019,-0.007867416799016572,244
tsmom_60,20,2020,0.11274431908469729,243
tsmom_60,20,2021,-0.06752541690126662,243
tsmom_60,20,2022,0.054508091766661895,242
tsmom_60,20,2023,-0.03399369363572013,242
tsmom_60,20,2024,-0.029526300494042434,222
csmom_60,1,2018,-0.0015206980992892984,243
csmom_60,1,2019,-0.009033523072972376,244
csmom_60,1,2020,0.028095244201969093,243
csmom_60,1,2021,-0.02720936986566806,243
csmom_60,1,2022,0.015759969416950004,242
csmom_60,1,2023,-0.0048869303276798635,242
csmom_60,1,2024,0.003753244296649685,241
csmom_60,5,2018,0.024964025772880604,243
csmom_60,5,2019,-0.009614659883173168,244
csmom_60,5,2020,0.055004809707565855,243
csmom_60,5,2021,-0.050755068503183697,243
csmom_60,5,2022,0.02248917530037967,242
csmom_60,5,2023,-0.02032377572877118,242
csmom_60,5,2024,-0.015145755011428548,237
csmom_60,20,2018,0.013639583379898406,243
csmom_60,20,2019,-0.010416610586197923,244
csmom_60,20,2020,0.09515589534128652,243
csmom_60,20,2021,-0.06795936957845251,243
csmom_60,20,2022,0.06477734016413357,242
csmom_60,20,2023,-0.029228067917520847,242
csmom_60,20,2024,-0.02022868252011745,222
trend_efficiency_60,1,2018,-1.9855085649829513e-05,243
trend_efficiency_60,1,2019,0.009792910286779345,244
trend_efficiency_60,1,2020,0.00163082732500008,243
trend_efficiency_60,1,2021,-0.013867101090087479,243
trend_efficiency_60,1,2022,0.031095479069730803,242
trend_efficiency_60,1,2023,0.005682509935134276,242
trend_efficiency_60,1,2024,0.01081804181295402,241
trend_efficiency_60,5,2018,-0.0001362489740522947,243
trend_efficiency_60,5,2019,-0.008838057552020244,244
trend_efficiency_60,5,2020,-0.004484962388806167,243
trend_efficiency_60,5,2021,-0.022026302659104536,243
trend_efficiency_60,5,2022,0.029219991253563907,242
