feature_name,source_factor_id,source_factor,horizon,coverage,missing_rate,stale_rate,ic_mean,ic_std,icir,ic_hit_rate,ic_t_nw,ic_p_nw,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_hit_rate,rank_ic_t_nw,rank_ic_p_nw,ic_days,rank_ic_days,nonoverlap_rank_ic_mean,nonoverlap_rank_ic_t,nonoverlap_rank_ic_p,pooled_beta,pooled_t_two_way_cluster,pooled_p_two_way_cluster,pooled_observations,group_spread,group_monotonicity,group_days,gross_annual_return,gross_sharpe,average_one_way_turnover,gross_max_drawdown,net_1bps_annual_return,net_1bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,rank_ic_q_bh
tsmom_20,1,时间序列动量,1,0.996295263514321,0.003704736485679039,0.0002788511333306776,-0.0017856055787388216,0.28115432001165436,-0.006350980410561734,0.5005889281507656,-0.26467821278331805,0.7912573627662138,-0.005722050407431159,0.27481128419276885,-0.020821744726527952,0.4958775029446408,-0.8617866192946367,0.3888049494901378,1698,1698,-0.005722050407431159,-0.8617866192946367,0.3888049494901378,-1.3928909009453114e-05,-0.14127611135332355,0.8876518206988248,49989,9.318590129131957e-05,0.3,1698,0.011741423562706252,0.134447215397775,0.1990184530820573,-0.20584367928860514,0.006726158545038416,0.0770168369643616,-0.003304371490297294,-0.03783366226356668,-0.013334901525632966,-0.15266686736767587,
tsmom_20,1,时间序列动量,5,0.996295263514321,0.003704736485679039,0.0002788511333306776,0.0007190405296996036,0.2759084690510996,0.0026060835760950626,0.5064935064935064,0.06074536865222189,0.9515619994112394,-0.001683632792223865,0.2735212781075944,-0.006155399696405259,0.49586776859504134,-0.14526077706349877,0.8845049815711615,1694,1694,0.0026847913038075153,0.1823111252916749,0.8553385682768424,0.00010947548649936914,0.27759796718687946,0.7813209927851871,49865,0.0009411617470859768,0.49999999999999994,1694,,,,,,,,,,,0.9664035909758987
tsmom_20,1,时间序列动量,20,0.996295263514321,0.003704736485679039,0.0002788511333306776,0.006173974968420727,0.2590475189875148,0.023833368459005744,0.5122096486003573,0.3151280817501187,0.7526644077820371,0.002527135895308196,0.2545207222461613,0.009928998601787954,0.49672424061941634,0.13684464952763223,0.8911535903771186,1679,1679,0.017423791227223612,0.6552063441657502,0.5123349102534323,0.0003315459735510909,0.30527204013917764,0.7601589689437538,49400,0.0019917992679288595,0.09999999999999999,1679,,,,,,,,,,,
csmom_20,2,横截面动量,1,0.9988049237142971,0.001195076285702923,0.22616818706927458,-0.004205500871760794,0.30348470008280876,-0.013857373602732797,0.502944640753828,-0.5754405432241392,0.5649933909864351,-0.01152451852522728,0.29476099271909445,-0.03909784133550561,0.4829210836277974,-1.6170401990989907,0.10586960390623842,1698,1698,-0.01152451852522728,-1.6170401990989907,0.10586960390623842,-7.397531299358821e-05,-0.7038429451943535,0.4815305859495751,49999,-0.0002699373896801661,-0.39999999999999997,1698,-0.034012111099700926,-0.33935586543716606,0.19441499803690618,-0.2939612298391908,-0.03891136905023096,-0.3882320264091285,-0.04870988495129103,-0.4859759062288239,-0.05850840085235111,-0.5837060061157574,
csmom_20,2,横截面动量,5,0.9988049237142971,0.001195076285702923,0.22616818706927458,-0.00604825989160329,0.3020209322799015,-0.020025962591221965,0.5017709563164109,-0.46751974006278074,0.6401280723170283,-0.011451687104314484,0.2940599185884165,-0.038943379836620766,0.49173553719008267,-0.9191786462157835,0.3580021383738391,1694,1694,-0.011945744598544661,-0.7414502122441784,0.4584205089272194,-0.00017260281846839554,-0.423183381230131,0.6721614709028735,49875,-0.0005863993858359584,-0.19999999999999998,1694,,,,,,,,,,,0.7286047081983691
csmom_20,2,横截面动量,20,0.9988049237142971,0.001195076285702923,0.22616818706927458,-0.00931131180133833,0.28440023942334447,-0.03274016864478781,0.4913639070875521,-0.43411119121763597,0.6642076991308323,-0.010617553186091014,0.27493209019104675,-0.03861882102854204,0.48481238832638474,-0.5291191488414626,0.5967227986197676,1679,1679,-0.00018643988213350998,-0.006095463222151535,0.9951365541207449,-0.0005224238576028285,-0.4856976456385636,0.6271815531613247,49410,-0.0010936172562062382,-0.7999999999999999,1679,,,,,,,,,,,
trend_efficiency_20,3,趋势效率,1,0.996295263514321,0.003704736485679039,0.0002788511333306776,-0.003140773356985209,0.24495959685424237,-0.012821597509625453,0.5023557126030624,-0.5325178270944418,0.5943673981237624,-0.0003413725156021376,0.23467524568121037,-0.0014546592445709755,0.5123674911660777,-0.06065709800181543,0.9516322995655996,1698,1698,-0.0003413725156021376,-0.06065709800181543,0.9516322995655996,1.5152529695873042e-05,0.2256184927817465,0.8214981565209534,49989,-0.00012011658929331007,0.09999999999999999,1698,-0.015134690250957069,-0.20448032381650263,0.351796230859835,-0.22989556912457632,-0.023999955268624897,-0.3242686813940287,-0.041730485303960604,-0.5638575329181856,-0.059461015339296285,-0.8034408730038798,
trend_efficiency_20,3,趋势效率,5,0.996295263514321,0.003704736485679039,0.0002788511333306776,7.112449303933178e-05,0.24266677834355826,0.00029309530346439294,0.4899645808736718,0.007158662619818617,0.9942882624040714,-0.0016688174531665873,0.23640065161332544,-0.007059276028968947,0.4988193624557261,-0.17523275803991692,0.8608967453492482,1694,1694,-0.005407810525591341,-0.4224807808074641,0.6726741260993179,0.0002416713138996848,0.8704353724794711,0.384062523058615,49865,0.000495252204060043,0.49999999999999994,1694,,,,,,,,,,,0.9664035909758987
trend_efficiency_20,3,趋势效率,20,0.996295263514321,0.003704736485679039,0.0002788511333306776,-0.009315370082604458,0.23843501101069112,-0.03906880136066414,0.4723049434187016,-0.6036091362611954,0.5461035371629614,-0.013254377377521285,0.22822854556474992,-0.05807502012828159,0.48183442525312686,-0.9423080988628797,0.3460349229188151,1679,1679,-0.023530015164370796,-0.8946985617308998,0.370948247754036,1.7165258853501197e-05,0.022164631792681994,0.9823166303960831,49400,-0.0003462559090310187,0.09999999999999999,1679,,,,,,,,,,,
realized_vol_20,24,已实现波动率,1,0.9968928016571724,0.0031071983428275773,0.000298769071425726,0.0012684988263620045,0.3396612255430507,0.003734600039595121,0.49823321554770317,0.1600310047320675,0.8728566507116773,0.0020243257522402714,0.30999553524943047,0.0065301771221041825,0.49646643109540634,0.2824881294162127,0.7775692474541682,1698,1698,0.0020243257522402714,0.2824881294162127,0.7775692474541682,6.500685461012154e-05,0.5902857214525896,0.5549991104498314,50019,-1.9555094080241944e-05,-0.09999999999999999,1698,-0.002463941854110487,-0.023489683286250906,0.07394974479780134,-0.17920016631033764,-0.004327475423015086,-0.04125631445671449,-0.008054542560824267,-0.07679154236092801,-0.011781609698633467,-0.11232897289544189,
realized_vol_20,24,已实现波动率,5,0.9968928016571724,0.0031071983428275773,0.000298769071425726,-0.002280353000657931,0.33929653390694586,-0.006720826099813126,0.4793388429752066,-0.15562323956198032,0.8763300056039248,-0.008612431954384773,0.3054654091818834,-0.028194458997668925,0.4787485242030697,-0.6561940648173912,0.5116992672047251,1694,1694,-0.005609766253352537,-0.34144715741239706,0.732766979287919,0.0001715527895358281,0.4298087084851675,0.6673347975643278,49895,-0.0005767615059158116,-0.3,1694,,,,,,,,,,,0.8159528855426698
realized_vol_20,24,已实现波动率,20,0.9968928016571724,0.0031071983428275773,0.000298769071425726,-0.00750836165286237,0.333966303689189,-0.022482392893895503,0.478856462179869,-0.2650373796313149,0.7909806663722466,-0.015318714010384524,0.29837739645737416,-0.0513400619224618,0.47587849910661106,-0.5996575596760629,0.548734478024633,1679,1679,-0.001455572959625076,-0.044481028727192506,0.9645209738905333,4.8092572352818324e-05,0.03176058454487724,0.9746629797432156,49430,-0.0024667991097520425,-0.09999999999999999,1679,,,,,,,,,,,
momentum_quality_20,41,动量质量,1,0.996295263514321,0.003704736485679039,0.0002589331952356292,0.0014729033767276337,0.2793772994241406,0.005272093973861222,0.49469964664310956,0.2226166407503786,0.8238338839861498,-0.005891977655268549,0.2744369026218733,-0.02146933447717371,0.49411071849234395,-0.888502019457305,0.37427077003902876,1698,1698,-0.005891977655268549,-0.888502019457305,0.37427077003902876,4.348869482950772e-05,0.44818458066133604,0.6540199899341335,49989,8.699671152866866e-05,0.3,1698,0.010961585652612252,0.1258454932924101,0.19775225755791126,-0.20420156579272675,0.005978228762152897,0.06863024581112569,-0.003988485018765842,-0.04578301173465866,-0.013955198799684558,-0.16016968193453907,
momentum_quality_20,41,动量质量,5,0.996295263514321,0.003704736485679039,0.0002589331952356292,0.006026014567451489,0.26728077083960156,0.022545634497095093,0.512987012987013,0.5366218258444629,0.5915288647538902,-0.002009061424140227,0.2735161565120782,-0.007345311698438951,0.49173553719008267,-0.1733072563075155,0.8624099202909786,1694,1694,0.0014708722352416964,0.09985165937041623,0.9204620947006215,0.0002546820967765806,0.6505809975750417,0.5153170001726481,49865,0.0009283308565265793,0.19999999999999998,1694,,,,,,,,,,,0.9664035909758987
momentum_quality_20,41,动量质量,20,0.996295263514321,0.003704736485679039,0.0002589331952356292,0.015128000179476608,0.261351718801428,0.05788368352369891,0.5282906491959499,0.7886986754580394,0.4302881422648852,0.0022089259190902796,0.25445450311969986,0.008681025063451765,0.49791542584871945,0.11979063112965385,0.9046490037741339,1679,1679,0.017866329631783306,0.6775616231241626,0.49804968573872,0.0007923118291206902,0.7403033390805583,0.4591159553361057,49400,0.0018622042933266144,-0.19999999999999998,1679,,,,,,,,,,,
vol_managed_momentum_20,42,波动率管理动量,1,0.996295263514321,0.003704736485679039,0.000298769071425726,0.0006481809044409373,0.20604384438017717,0.003145839694414558,0.5082449941107184,0.1281581188044096,0.8980238430408961,0.0016797844358407005,0.22874874705740333,0.007343360160216165,0.5058892815076561,0.3011184103309474,0.7633242027548074,1698,1698,0.0016797844358407005,0.3011184103309474,0.7633242027548074,9.282604974301864e-06,0.1326089788780198,0.8945026310232764,49989,0.00021026421453171817,0.7,1698,0.0264932910309965,0.43028948282488644,0.204760502552022,-0.0989366342931437,0.021333326366685546,0.3464771816948509,0.01101339703806364,0.17885669877756355,0.0006934677094417286,0.011260521876209474,
vol_managed_momentum_20,42,波动率管理动量,5,0.996295263514321,0.003704736485679039,0.000298769071425726,0.0050319026630565806,0.2114732627669038,0.02379450998778503,0.5017709563164109,0.5600408227361364,0.5754515931718567,0.012022698773056317,0.23636758216155185,0.05086441492149747,0.5106257378984652,1.205999824181733,0.2278175582220362,1694,1694,0.02315945152705762,1.8760999097397169,0.06064156209754976,0.0002714346259823533,0.8738411159869985,0.38220478574994077,49865,0.0013916360983740354,0.8999999999999998,1694,,,,,,,,,,,0.7286047081983691
