feature_name,test_year,standardized_coefficient,source_factor,usage_type,classification
trend_efficiency_20__cs_robust_z,2022,0.0046111408229558,趋势效率,conditional,C
trend_efficiency_20__missing,2022,-0.002143249739457741,趋势效率,quality_flag,C
vol_managed_momentum_20__cs_robust_z,2022,-0.0022258271106105855,波动率管理动量,risk,D
vol_managed_momentum_20__missing,2022,-0.002143249739457741,波动率管理动量,quality_flag,D
trend_efficiency_60__cs_robust_z,2022,-0.002507002510023328,趋势效率,conditional,C
trend_efficiency_60__missing,2022,0.0005828278750265832,趋势效率,quality_flag,C
vol_managed_momentum_60__cs_robust_z,2022,0.004607784379438248,波动率管理动量,risk,D
vol_managed_momentum_60__missing,2022,0.0005828278750265832,波动率管理动量,quality_flag,D
tsmom_120__cs_robust_z,2022,-0.0007434754996941915,时间序列动量,predictor,B
tsmom_120__missing,2022,8.741019588764625e-05,时间序列动量,quality_flag,B
csmom_120__cs_robust_z,2022,-0.0034383545650327582,横截面动量,predictor,B
csmom_120__missing,2022,-0.0007777149409893794,横截面动量,quality_flag,B
trend_efficiency_120__cs_robust_z,2022,-0.00043702529287106606,趋势效率,conditional,C
trend_efficiency_120__missing,2022,8.741019588764625e-05,趋势效率,quality_flag,C
momentum_quality_120__cs_robust_z,2022,0.0008450628699895059,动量质量,predictor,B
momentum_quality_120__missing,2022,8.741019588764625e-05,动量质量,quality_flag,B
vol_managed_momentum_120__cs_robust_z,2022,-0.002832282591776895,波动率管理动量,risk,D
vol_managed_momentum_120__missing,2022,8.741019588764625e-05,波动率管理动量,quality_flag,D
carry__cs_robust_z,2022,0.005331286909896837,Carry,predictor,A
carry__missing,2022,-0.0033236628003524365,Carry,quality_flag,A
curve_curvature__cs_robust_z,2022,-0.006531940132227591,期限结构曲率,predictor,B
curve_curvature__missing,2022,-0.0020369029095673465,期限结构曲率,quality_flag,B
term_structure_slope__cs_robust_z,2022,0.01619047861889461,期限结构斜率,predictor,A
term_structure_slope__missing,2022,-0.0033236628003524365,期限结构斜率,quality_flag,A
basis_momentum_5__cs_robust_z,2022,0.0016191033879677345,基差动量,predictor,B
basis_momentum_5__missing,2022,0.0009316530938382707,基差动量,quality_flag,B
term_structure_momentum_5__cs_robust_z,2022,0.0065542392318564905,期限结构动量,predictor,B
term_structure_momentum_5__missing,2022,0.0009316530938382707,期限结构动量,quality_flag,B
term_structure_acceleration_5__cs_robust_z,2022,0.009263707063925432,期限结构加速度,predictor,B
term_structure_acceleration_5__missing,2022,0.012607633078300618,期限结构加速度,quality_flag,B
carry_change_20__cs_robust_z,2022,0.0003555589107441683,Carry变化,predictor,B
