feature_name,correlation_cluster,rank_ic_q_bh,rank_ic_mean,coverage,cluster_representative
oi_surprise_60,1,0.0031706923307117784,-0.020704353911938932,0.9715597473824165,True
oi_surprise_20,1,0.045327666404340015,-0.015188718271045785,0.9841490776134286,False
volume_shock_20,2,0.05242556163676328,-0.019862637077339807,0.9862265248462689,True
volume_shock_60,3,0.5304008472120081,-0.011120605956491472,0.9733671264749876,True
oi_growth_5,4,0.010948915895595223,-0.02709094043424223,0.9886779125810204,True
oi_growth_20,5,0.5304008472120081,-0.0117612132395622,0.9789554595313279,True
interaction__tsmom_20__oi_surprise_20,6,0.15618211949042016,-0.012264253624117758,0.9772104038557421,True
interaction__momentum_quality_60__carry,7,0.5304008472120081,-0.01094045061240465,0.9482715639022768,True
interaction__tsmom_60__carry,7,0.567457679464019,-0.009915326037380934,0.9482715639022768,False
trend_efficiency_60,8,0.5692321824813693,-0.01110736370999129,0.953278211733422,True
trend_efficiency_120,9,0.7450478122656772,-0.008713024689820286,0.9165281701844773,True
trend_efficiency_20,10,0.7610989885582662,0.006002660491100026,0.9784360977231178,True
low_vol_20,11,0.567457679464019,-0.016378454709322015,0.9844606946983546,True
realized_vol_20,11,0.567457679464019,0.016378454709322015,0.9844606946983546,False
low_vol_60,11,0.5692321824813693,-0.015503159302943496,0.9716843942163869,False
realized_vol_60,11,0.5692321824813693,0.015503159302943496,0.9716843942163869,False
realized_vol_120,11,0.7450478122656772,0.010869046302278348,0.9536313777630048,False
idiosyncratic_vol_60,12,0.8984327682527127,0.003115186016546811,0.9716843942163869,True
volume_oi_turnover,13,0.8878059457902936,-0.003914779659332433,0.9933106199102543,True
amihud_20,14,0.567457679464019,0.010090043477660226,0.9844606946983546,True
correlation_risk_20_120,15,0.8984327682527127,0.0019428547561093205,0.9512423134452385,True
basis_momentum_5,16,0.5304008472120081,0.008335286142873643,0.9811160046534818,True
carry_change_5,16,0.7147773656773747,0.005135900339747461,0.9811160046534818,False
carry_change_20,17,0.5304008472120081,-0.009934524511587363,0.9713935516037893,True
basis_momentum_20,17,0.5304008472120081,-0.00972463258416077,0.9713935516037893,False
carry_change_60,18,0.5692321824813693,-0.008071862879295904,0.946214891141765,True
basis_momentum_60,18,0.7147773656773747,-0.006222866635590742,0.946214891141765,False
carry,19,0.0012506514429242487,0.038929707171486076,0.9866835632374937,True
curve_curvature,20,0.3772335467695011,-0.012338483482625768,0.9759016120990527,True
term_structure_momentum_20,21,0.8984327682527127,0.0030461736737438165,0.9713935516037893,True
term_structure_acceleration_20,22,0.5304008472120081,0.013893444657861029,0.9579109190626558,True
term_structure_momentum_5,23,0.46604651125697905,0.013696231422950138,0.9811160046534818,True
term_structure_acceleration_5,24,0.5304008472120081,0.011143184530723441,0.9768780122984876,True
realized_skew_60,25,0.05242556163676328,-0.0251697257166208,0.9716843942163869,True
realized_skew_120,26,0.02251001720640379,-0.02950821327793031,0.9536313777630048,True
term_structure_slope,27,0.0012506514429242487,0.051356835572998166,0.9866835632374937,True
term_structure_momentum_60,28,0.8984327682527127,-0.0018646965218199671,0.946214891141765,True
csmom_20,29,0.8984327682527127,-0.002611106339746731,0.9875353166029582,True
reversal_20,29,0.8984327682527127,0.002611106339746731,0.9875353166029582,False
momentum_quality_20,29,0.9015680633129909,0.0018920067380459873,0.9784360977231178,False
tsmom_20,29,0.9015680633129909,0.0016939681850892706,0.9784360977231178,False
vol_managed_momentum_20,30,0.567457679464019,0.011125458837499998,0.9784360977231178,True
volume_price_divergence_20,31,0.7607136523956208,0.006322462223854714,0.9400864218048861,True
csmom_120,32,0.7450478122656772,0.009473556824643124,0.9252118996177497,True
tsmom_120,32,0.8513795044130016,0.0053957709872016904,0.9165281701844773,False
momentum_quality_120,32,0.8651852860472721,0.0049573847003480526,0.9165281701844773,False
csmom_60,33,0.6472131212745927,-0.012049773911544442,0.9626059498088748,True
momentum_quality_60,33,0.8386451415572608,-0.006220756053469913,0.953278211733422,False
tsmom_60,33,0.8492292918526277,-0.005858691626251788,0.953278211733422,False
value_120,34,0.8513795044130016,0.00509977762055533,0.9614841283031411,True
value_252,34,0.8878059457902936,0.004341426521012302,0.9220957287684893,False
multi_horizon_trend,35,0.7607136523956208,0.007305785999578749,0.9252118996177497,True
value_60,36,0.8984327682527127,-0.002932441675349716,0.9789346850589995,True
relative_value_residual_60,37,0.7607136523956208,0.005829621600925759,0.953278211733422,True
vol_managed_momentum_60,38,0.5304008472120081,0.014100971929758658,0.953278211733422,True
vol_managed_momentum_120,39,0.9065980228162476,0.0012110572499330755,0.9165281701844773,True
reversal_5,40,0.3772335467695011,0.018124215690602317,0.9968838291507396,True
price_oi_20,41,0.5163253108163117,-0.014184643369531338,0.9789554595313279,True
seasonality_3y_month,42,0.2709731218402222,0.02875627507288949,0.5495263420309124,True
