feature_name,source_factor_id,source_factor,horizon,coverage,missing_rate,stale_rate,ic_mean,ic_std,icir,ic_hit_rate,ic_t_nw,ic_p_nw,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_hit_rate,rank_ic_t_nw,rank_ic_p_nw,ic_days,rank_ic_days,nonoverlap_rank_ic_mean,nonoverlap_rank_ic_t,nonoverlap_rank_ic_p,pooled_beta,pooled_t_two_way_cluster,pooled_p_two_way_cluster,pooled_observations,group_spread,group_monotonicity,group_days,gross_annual_return,gross_sharpe,average_one_way_turnover,gross_max_drawdown,net_1bps_annual_return,net_1bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,rank_ic_q_bh,classification,expected_direction,sealed_direction_consistent,sealed_evaluation_note
trend_efficiency_20,3,趋势效率,5,1.0,0.0,0.0006858710562414266,0.04547837456309389,0.2553384829912285,0.17811014630589853,0.5840336134453782,1.5642485327045497,0.11775921367079072,0.0552640188444677,0.2349996713946258,0.23516636647404066,0.6092436974789915,2.1667446768576446,0.03025432793661654,238,238,0.026807563959955507,0.7604269930904248,0.44699939338752426,0.0008555993979483405,1.181538292981621,0.2373889506168203,7140,0.0027600835899959575,0.7,238,,,,,,,,,,,0.24215305717449873,C,0,True,冻结后一次性评估；不用于重新选因子
vol_managed_momentum_20,42,波动率管理动量,5,1.0,0.0,0.0008230452674897119,0.05109366629146118,0.19259810849266806,0.2652864386433278,0.6428571428571429,2.4580727436254897,0.01396848768873136,0.06266720258737533,0.21613289026946594,0.2899475526804104,0.6260504201680672,2.7073021874936614,0.0067832481816300525,238,238,0.029746014089729326,0.9652715763615991,0.3344088044964474,0.001349834313121903,1.975458000080595,0.04821619637227372,7140,0.004086286672524092,0.7,238,,,,,,,,,,,0.20010582135808655,D,1,True,冻结后一次性评估；不用于重新选因子
trend_efficiency_60,3,趋势效率,5,1.0,0.0,0.00013717421124828533,0.01460018047154598,0.30318381700580993,0.048156199812162785,0.48739495798319327,0.3927776008091128,0.6944837498009266,0.006679690786214367,0.2750529086018377,0.024285112344998992,0.4831932773109244,0.2040283068000332,0.8383313785199435,238,238,-0.025695216907675195,-0.6197734634274545,0.5354069418234664,0.0003805871275914757,0.33871686417304336,0.7348230351196862,7140,-0.00019002074178793395,0.09999999999999999,238,,,,,,,,,,,0.899300933321394,C,0,True,冻结后一次性评估；不用于重新选因子
vol_managed_momentum_60,42,波动率管理动量,5,1.0,0.0,0.00013717421124828533,-0.01803794917501713,0.21930108545168925,-0.08225198310288703,0.47478991596638653,-0.7130655100654225,0.47580522056371355,-0.020870995784298144,0.23376642182648355,-0.08928141014105925,0.5,-0.7875581418814447,0.4309552068790784,238,238,-0.0001390433815350404,-0.004684571536474522,0.9962622663679673,-0.00039449540389953553,-0.5241438836132392,0.6001784680882736,7140,0.0006149864631929416,-0.09999999999999999,238,,,,,,,,,,,0.6691146633122532,D,1,False,冻结后一次性评估；不用于重新选因子
tsmom_120,1,时间序列动量,5,1.0,0.0,0.00013717421124828533,0.09366040058522415,0.339350150449259,0.27599928999951523,0.6302521008403361,2.293630653374353,0.021811723106780024,0.06234378067133416,0.30688482002933126,0.2031504219249929,0.6050420168067226,1.712926266910573,0.08672610521692566,238,238,0.07765109380793474,1.8337082318298084,0.06669731602755057,0.0019351378206038511,1.6373300384159917,0.10156152773927792,7140,0.004150738043412609,0.8999999999999998,238,,,,,,,,,,,0.2687269667684782,B,1,True,冻结后一次性评估；不用于重新选因子
trend_efficiency_120,3,趋势效率,5,1.0,0.0,0.00013717421124828533,0.07042233844010992,0.3027302805180022,0.23262403192574643,0.5798319327731093,1.8990742616413037,0.05755471267181788,0.038199306418896815,0.2628130114631822,0.14534785095390226,0.5714285714285714,1.229323856267349,0.21895040625645756,238,238,0.03205413422321098,0.7586899576650299,0.4480380456144395,0.0019080544573769449,1.7145587015211021,0.08642616594811661,7140,0.004531914704242223,0.09999999999999999,238,,,,,,,,,,,0.41819708418288376,C,0,True,冻结后一次性评估；不用于重新选因子
realized_vol_120,24,已实现波动率,5,1.0,0.0,0.00013717421124828533,-0.0805463436979362,0.34746037908804644,-0.23181447021194254,0.3697478991596639,-1.9828460696231127,0.047384626233442126,-0.06582290313233193,0.29237889115754356,-0.22512878023353722,0.3697478991596639,-1.9555232449215918,0.050521342474627,238,238,-0.08408416759362254,-2.0728684825501795,0.03818452092103884,-0.0015112715509011986,-1.606054295305693,0.10826198080802638,7140,-0.0045215682654162785,-0.39999999999999997,238,,,,,,,,,,,0.24215305717449873,D,0,True,冻结后一次性评估；不用于重新选因子
vol_managed_momentum_120,42,波动率管理动量,5,1.0,0.0,0.00013717421124828533,0.046231145460051484,0.2045616289917982,0.22600106231020042,0.634453781512605,1.9793196069985066,0.04778003343141464,0.044869649750890354,0.2115656419442664,0.21208382107105342,0.6176470588235294,1.9041261242576046,0.05689376010897862,238,238,0.059334445680385615,1.929156880799435,0.05371138934032855,0.0009169686759909056,1.2980428130595516,0.19427262358067243,7140,0.0018600797698300631,0.8999999999999998,238,,,,,,,,,,,0.24215305717449873,D,1,True,冻结后一次性评估；不用于重新选因子
carry,5,Carry,5,1.0,0.0,0.0015089163237311386,0.04818693404928764,0.3159927070024236,0.1524938170453347,0.5546218487394958,1.3346093174415259,0.18200424690642103,0.042500288548664736,0.24482886318441444,0.1735918224504923,0.5798319327731093,1.559300675443025,0.11892523195015536,238,238,0.07357793021235785,2.278613018696332,0.022690079364619604,0.0009922512106659601,1.3586718075598077,0.1742506095480162,7140,0.001549945720500503,0.6,238,,,,,,,,,,,0.3189358493208712,A,1,True,冻结后一次性评估；不用于重新选因子
curve_curvature,10,期限结构曲率,5,1.0,0.0,0.00013717421124828533,-0.012846477344301603,0.2497738671836535,-0.051432431619661226,0.4369747899159664,-0.49452897035394705,0.6209326517212861,-0.012385376842616914,0.21509657825142825,-0.057580538673839526,0.453781512605042,-0.5302391882327974,0.5959461036232232,238,238,-0.016351501668520584,-0.5724824133845405,0.5669951969828038,-0.0005214182924852388,-0.6422242249172634,0.5207276061235239,7140,1.3792549116961851e-05,0.09999999999999999,238,,,,,,,,,,,0.7813515580837815,B,0,True,冻结后一次性评估；不用于重新选因子
