feature_name,source_factor_id,source_factor,horizon,coverage,missing_rate,stale_rate,ic_mean,ic_std,icir,ic_hit_rate,ic_t_nw,ic_p_nw,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_hit_rate,rank_ic_t_nw,rank_ic_p_nw,ic_days,rank_ic_days,nonoverlap_rank_ic_mean,nonoverlap_rank_ic_t,nonoverlap_rank_ic_p,pooled_beta,pooled_t_two_way_cluster,pooled_p_two_way_cluster,pooled_observations,group_spread,group_monotonicity,group_days,gross_annual_return,gross_sharpe,average_one_way_turnover,gross_max_drawdown,net_1bps_annual_return,net_1bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,rank_ic_q_bh,transformation,category,usage_type,expected_direction,economic_meaning,baseline_rank_ic,candidate_rank_ic,delta_rank_ic,baseline_mse,candidate_mse,mse_reduction,oos_rows,inner_oos_first_year,inner_oos_last_year,correlation_cluster,rank_ic_q_bh_cluster,rank_ic_mean_cluster,coverage_cluster,cluster_representative,max_abs_factor_correlation,year_direction_consistency,year_count,product_direction_consistency,sector_direction_consistency,worst_product_correlation,worst_sector_correlation,classification,classification_reason,enter_ml
tsmom_20,1,时间序列动量,5,0.9851536129069168,0.014846387093083169,0.0008867784198180674,-0.00047150502688274564,0.2742492465235665,-0.0017192573283596195,0.5037406483790524,-0.04773526055138669,0.9619272322666683,-0.004233250088592266,0.27188959109624045,-0.015569739435496917,0.4945968412302577,-0.4382064584741821,0.6612366272197174,2406,2406,-0.005946098566091277,-0.4750309044806107,0.6347649458197091,0.00012761933913501357,0.4037965917032645,0.6863623030108901,68517,0.0008256735405207504,0.19999999999999998,2406,0.012880353647719197,0.14625313875182375,0.197448132780083,-0.20584367928860614,0.007904660701661112,0.08975189031973302,-0.0020467251904550724,-0.023237084222004184,-0.011998111082571263,-0.13620438948247923,0.831356967243485,20日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,0.011129790119287832,0.006625740733479491,-0.0045040493858083406,0.0010517976091934424,0.001051806083512701,-8.056986614744693e-06,49935,2018,2024,29,0.831356967243485,-0.004233250088592266,0.9851536129069168,False,0.9347702126486073,0.4,10,0.43333333333333335,0.2,-0.1292533278453219,-0.018686344155425888,E,开发期未发现足够稳定的方向或增量证据,False
csmom_20,2,横截面动量,5,0.9914182733565994,0.008581726643400622,0.23114880713999655,-0.0031279437311458524,0.3063683594068562,-0.01020974795570176,0.5041562759767249,-0.2851177872499663,0.7755539031339007,-0.007985891176061908,0.29806736664577804,-0.02679223581544338,0.499168744804655,-0.7542214939337017,0.45071623328703647,2406,2406,-0.01002188124763231,-0.7419034353536164,0.4581458442748585,-3.484369884833261e-06,-0.01109361935011747,0.9911487539489237,68554,0.00017540957434586987,0.09999999999999999,2406,-0.01073546081645205,-0.10519692224101299,0.19042876901798061,-0.2939612298391905,-0.01553426579570518,-0.15221210606316088,-0.025131875754211403,-0.24622506673661376,-0.034729485712717625,-0.3402124101756894,0.831356967243485,20日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,0.011129790119287832,0.007969227914332862,-0.00316056220495497,0.0010517976091934424,0.0010522528964862206,-0.0004328658753344733,49935,2018,2024,29,0.831356967243485,-0.007985891176061908,0.9914182733565994,True,0.947006967348972,0.5,10,0.3333333333333333,0.4,-0.1260215048675628,-0.05538069757920558,E,开发期未发现足够稳定的方向或增量证据,False
trend_efficiency_20,3,趋势效率,5,0.9851536129069168,0.014846387093083169,0.0008867784198180674,0.0008078455994132144,0.2455287190080902,0.003290228543026756,0.4925187032418953,0.09630719191103304,0.9232765993214985,4.9908820196670446e-05,0.23923354412505501,0.0002086196581637461,0.5012468827930174,0.006249376785005957,0.9950137512047086,2406,2406,-0.007418960967348065,-0.6564668349276407,0.5115237998225101,0.00022394596113811967,0.8002634750742663,0.42355816024877757,68517,0.00038190062462192435,0.7,2406,-0.009877273021705038,-0.1297158209940371,0.3482295988934993,-0.26731715839690795,-0.01865265891382121,-0.24495171502884505,-0.03620343069805358,-0.47538541806993295,-0.05375420248228594,-0.705748379424024,0.9950137512047085,20日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,0.011129790119287832,0.00773748378980744,-0.003392306329480392,0.0010517976091934424,0.0010519172886428287,-0.00011378562599899706,49935,2018,2024,10,0.9950137512047085,4.9908820196670446e-05,0.9851536129069168,True,0.2788474532535981,0.4,10,0.4,0.4,-0.07726795791241245,-0.028103892994228403,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_20,24,已实现波动率,5,0.9893014474512272,0.010698552548772833,0.0010727158304250815,0.015164342227893982,0.3643619290055906,0.04161889873972346,0.5091059602649006,1.1402549793151207,0.2541800882090095,0.0069104133213122995,0.3289824818923823,0.021005414274833194,0.5028973509933775,0.5809838125295689,0.5612513634454321,2416,2416,0.007738614712777926,0.5421715864362686,0.5877003071622546,0.0006256302371540253,1.4355674596489536,0.15112545970351435,68807,0.0009267351542238714,0.8999999999999998,2416,0.03334607573658326,0.30416406575779953,0.07675619834710744,-0.17920016631033775,0.031411819538236165,0.2865235330526646,0.027543307141541937,0.25124060134906206,0.023674794744847717,0.21595559483989776,0.831356967243485,20日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,0.011129790119287832,0.011129790119287832,0.0,0.0010517976091934424,0.0010517976091934424,0.0,49935,2018,2024,11,0.831356967243485,0.0069104133213122995,0.9893014474512272,False,0.9489886326044346,0.6,10,0.6666666666666666,0.6,-0.09332290739567092,-0.01752299718276281,D,主要用途是风险、波动或流动性刻画,False
momentum_quality_20,41,动量质量,5,0.9851536129069168,0.014846387093083169,0.0008724755420790663,0.0029879495856423486,0.2664919150658142,0.011212158481072227,0.5049875311720698,0.31581702465451195,0.752141395177692,-0.004519426755147243,0.27181805598464714,-0.016626661311279888,0.49044056525353286,-0.4679133714779294,0.6398465408482525,2406,2406,-0.006335304645691012,-0.5062486351243172,0.6126821166038832,0.0002258232307580665,0.7011424673226103,0.4832141099893559,68517,0.0008442283231013664,0.19999999999999998,2406,0.012754604630152147,0.1450684811614765,0.1964384508990318,-0.2042015657927264,0.007804355667496549,0.08876147098589213,-0.0020961422578146603,-0.023837833177118736,-0.011996640183125863,-0.1364139210710555,0.831356967243485,tsmom_20×trend_efficiency_20,趋势与动量,predictor,1,平滑趋势比震荡路径更可能持续,0.011129790119287832,0.0064440148082868,-0.004685775311001032,0.0010517976091934424,0.0010518869304387225,-8.492246464473978e-05,49935,2018,2024,29,0.831356967243485,-0.004519426755147243,0.9851536129069168,False,0.9347702126486073,0.4,10,0.43333333333333335,0.2,-0.1291805847710878,-0.018980720721002688,E,开发期未发现足够稳定的方向或增量证据,False
vol_managed_momentum_20,42,波动率管理动量,5,0.9851536129069168,0.014846387093083169,0.0008724755420790663,0.0022371751376018293,0.20761772090369965,0.010775453693760127,0.5029093931837074,0.30836105213532855,0.7578076148127925,0.00456242074908146,0.2365472279664372,0.01928756801888545,0.5058187863674148,0.5541909775687356,0.5794481523870258,2406,2406,0.0017037803496016614,0.15796239972777595,0.8744864273390927,0.00017278061401105238,0.6665380113778243,0.5050672759696024,68517,0.0009112329176382686,0.09999999999999999,2406,0.015047654500324633,0.2389796278375975,0.20298755186721992,-0.16534500596913393,0.009932368193270688,0.1577451008411818,-0.00029820442083719115,-0.004736142602607252,-0.01052877703494508,-0.1672157088024897,0.831356967243485,方向×10%目标波动/20日年化波动,趋势与动量,risk,1,按波动缩放可稳定不同品种风险预算,0.011129790119287832,0.011218851436698101,8.90613174102696e-05,0.0010517976091934424,0.0010520312161837546,-0.00022210260630979093,49935,2018,2024,30,0.831356967243485,0.00456242074908146,0.9851536129069168,True,0.6863161295732877,0.4,10,0.5666666666666667,0.6,-0.11552826001259371,-0.00590507587416968,D,主要用途是风险、波动或流动性刻画,True
tsmom_60,1,时间序列动量,5,0.9678328279649866,0.0321671720350134,0.0008724755420790663,-0.0060044069116787935,0.2839709434435941,-0.021144441184249067,0.5,-0.5742964061362528,0.5657672407308452,-0.0070429490147557675,0.27838238991360903,-0.02529954936065252,0.49577345731191885,-0.6965792042463151,0.486066173936334,2366,2366,-0.004976098059974656,-0.38654613370250257,0.699092242708042,-9.236452748849158e-06,-0.03347054893495325,0.9732993512129214,67288,-1.638752608953335e-05,-0.3,2366,-0.016987555470216808,-0.18882424824283525,0.12558368495077354,-0.23801451512716554,-0.020152264330976298,-0.2240106051317867,-0.026481682052495282,-0.29439005236294413,-0.03281109977401428,-0.3647769281465944,0.831356967243485,60日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,0.011129790119287832,0.011129790119287832,0.0,0.0010517976091934424,0.0010517976091934424,0.0,49935,2018,2024,36,0.831356967243485,-0.0070429490147557675,0.9678328279649866,False,0.9329969996446503,0.3,10,0.36666666666666664,0.4,-0.09527175033991951,-0.04170065532518017,E,开发期未发现足够稳定的方向或增量证据,False
csmom_60,2,横截面动量,5,0.974254820069798,0.025745179930201978,0.3438983923565421,-0.008227710438770677,0.308708150368438,-0.026652067426632703,0.5021132713440406,-0.7250432699870368,0.4684254854702421,-0.010323579531039311,0.29992858094988756,-0.034420125945797034,0.4940828402366864,-0.9477163984744,0.3432738504478593,2366,2366,-0.008663966278193054,-0.6225557895814773,0.5335764713438027,-6.936625100998253e-05,-0.2313483243636096,0.8170442073589284,67355,-0.00029356417930655827,-0.6,2366,-0.010830445578353895,-0.10585047241677907,0.11503516174402251,-0.2292908013502959,-0.013729331654303263,-0.13418471815620847,-0.019527103806202005,-0.19085511075544584,-0.025324875958100727,-0.24752713564594228,0.831356967243485,60日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,0.011129790119287832,0.0030108463334414244,-0.008118943785846407,0.0010517976091934424,0.0010526132346266076,-0.0007754585350224455,49935,2018,2024,36,0.831356967243485,-0.010323579531039311,0.974254820069798,True,0.9190433018252928,0.3,10,0.26666666666666666,0.2,-0.0920826458509809,-0.0475383846711581,E,开发期未发现足够稳定的方向或增量证据,False
trend_efficiency_60,3,趋势效率,5,0.9678328279649866,0.0321671720350134,0.0008724755420790663,0.0015800164214216418,0.2619355768816039,0.0060320802551224895,0.5063398140321217,0.168005056503878,0.8665793011092487,-0.0011454494391344501,0.25025491581085724,-0.004577130624679442,0.4974640743871513,-0.13064828063865122,0.8960535476004059,2366,2366,-0.0010972590226613703,-0.09901352543640646,0.9211275311309868,0.00013670352094093002,0.4769627583717648,0.6333886411353924,67288,0.00027606877262088386,0.7,2366,0.017920745281987213,0.21792823635032485,0.2231153305203938,-0.1780139576529266,0.0122982389528733,0.14955675184474032,0.0010532262946454439,0.012808219552965938,-0.010191786363582405,-0.12394001909555208,0.9440564162218562,60日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,0.011129790119287832,0.012825789426774651,0.0016959993074868191,0.0010517976091934424,0.0010518222136104447,-2.339272953962474e-05,49935,2018,2024,8,0.9440564162218562,-0.0011454494391344501,0.9678328279649866,True,0.4201979226469243,0.7,10,0.5666666666666667,0.8,-0.07997663495871185,-0.003625449582617843,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_60,24,已实现波动率,5,0.9805051776417415,0.0194948223582585,0.0012586532410320957,0.011592094333593319,0.36835170953242546,0.0314701792705346,0.5108514190317195,0.8565649478798959,0.39168536449131364,0.005393165942788875,0.3333546006435637,0.016178465611025022,0.49624373956594325,0.44464571641377887,0.6565758040998493,2396,2396,0.006672287963653368,0.4510274459676966,0.651969767996947,0.0004659693592866847,1.0681892331514609,0.2854351605153299,68174,0.0011743613294742923,0.8999999999999998,2396,0.03666188936024397,0.3282743992441221,0.02705555555555556,-0.17791483822997944,0.035980089360243966,0.3221673340317346,0.03461648936024397,0.3099530268503091,0.033252889360243953,0.297738539458371,0.831356967243485,60日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,0.011129790119287832,0.01282955720570386,0.0016997670864160284,0.0010517976091934424,0.001051853273320268,-5.2922849737578864e-05,49935,2018,2024,11,0.831356967243485,0.005393165942788875,0.9805051776417415,False,0.9560314197021824,0.4,10,0.6,0.8,-0.09794173197752087,-0.008817223689235957,D,主要用途是风险、波动或流动性刻画,True
