feature_name,correlation_cluster,rank_ic_q_bh,rank_ic_mean,coverage,cluster_representative
oi_surprise_60,1,0.007054828828284905,-0.01596960675802163,0.9804193603753075,True
oi_surprise_20,1,0.07810427063836325,-0.011682560187358478,0.9890869042851421,False
volume_shock_20,2,0.7255592055648534,-0.008453339169942054,0.9905171920590423,True
volume_shock_60,3,0.831356967243485,-0.005477088607649182,0.9816637107386006,True
oi_growth_5,4,0.1492649685796865,-0.01517276779991927,0.9922049316322444,True
oi_growth_20,5,0.831356967243485,-0.00661642870020702,0.9855111848503919,True
interaction__tsmom_20__oi_surprise_20,6,0.017031915158983082,-0.014499302668631848,0.9843097431203158,True
interaction__momentum_quality_60__carry,7,0.831356967243485,-0.003707229862865275,0.9643858344298873,True
interaction__tsmom_60__carry,7,0.831356967243485,-0.0031650246859410715,0.9643858344298873,False
trend_efficiency_60,8,0.9440564162218562,-0.0011454494391344501,0.9678328279649866,True
trend_efficiency_120,9,0.831356967243485,-0.006638695709987219,0.9425310372446937,True
trend_efficiency_20,10,0.9950137512047085,4.9908820196670446e-05,0.9851536129069168,True
low_vol_20,11,0.831356967243485,-0.0069104133213122995,0.9893014474512272,True
realized_vol_20,11,0.831356967243485,0.0069104133213122995,0.9893014474512272,False
low_vol_60,11,0.831356967243485,-0.005393165942788875,0.9805051776417415,False
realized_vol_60,11,0.831356967243485,0.005393165942788875,0.9805051776417415,False
realized_vol_120,11,0.8878343359534876,0.002662883738146287,0.9680759768865496,False
idiosyncratic_vol_60,12,0.831356967243485,-0.006475584502459103,0.9805051776417415,True
volume_oi_turnover,13,0.8560851121836762,-0.0027551192575626616,0.9953944733680417,True
amihud_20,14,0.831356967243485,0.005164779409865929,0.9893014474512272,True
seasonality_3y_month,15,0.831356967243485,0.012317321510797669,0.6867097660049202,True
basis_momentum_5,16,0.4760758587732126,0.009082582786666708,0.986998684135248,True
carry_change_5,16,0.831356967243485,0.0064294522299852275,0.986998684135248,False
carry_change_20,17,0.831356967243485,-0.00304009676417994,0.9803049373533955,True
basis_momentum_20,17,0.831356967243485,-0.002899555602199534,0.9803049373533955,False
basis_momentum_60,18,0.831356967243485,0.0069662047466803245,0.9629698495337262,True
carry_change_60,18,0.831356967243485,0.006194465943587512,0.9629698495337262,False
carry,19,9.307914099181037e-05,0.03809402080072452,0.9908318553693003,True
curve_curvature,20,0.007054828828284905,-0.02034615400180173,0.9833228445563247,True
term_structure_momentum_20,21,0.9950137512047085,0.00019892923291256462,0.9803049373533955,True
term_structure_acceleration_20,22,0.831356967243485,0.0040946853896648774,0.9710223697007838,True
term_structure_momentum_5,23,0.5854112839591044,0.010812837842624306,0.986998684135248,True
term_structure_acceleration_5,24,0.4760758587732126,0.011248179533130866,0.9840808970764918,True
realized_skew_60,25,0.010862553461521486,-0.025859014863942435,0.9805051776417415,True
realized_skew_120,26,0.007054828828284905,-0.02826576519894069,0.9680759768865496,True
term_structure_slope,27,0.0013053951958121467,0.041426848911377066,0.9908318553693003,True
term_structure_momentum_60,28,0.831356967243485,0.005396781370049062,0.9629698495337262,True
csmom_20,29,0.831356967243485,-0.007985891176061908,0.9914182733565994,True
reversal_20,29,0.831356967243485,0.007985891176061908,0.9914182733565994,False
momentum_quality_20,29,0.831356967243485,-0.004519426755147243,0.9851536129069168,False
tsmom_20,29,0.831356967243485,-0.004233250088592266,0.9851536129069168,False
vol_managed_momentum_20,30,0.831356967243485,0.00456242074908146,0.9851536129069168,True
volume_price_divergence_20,31,0.9556821126248424,0.0007849323329012334,0.9587505006007209,True
csmom_120,32,0.831356967243485,0.006298991272673121,0.948509640139596,True
tsmom_120,32,0.8404628488429213,0.0037854687024382167,0.9425310372446937,False
momentum_quality_120,32,0.8482304808464073,0.0034923699712657652,0.9425310372446937,False
value_120,33,0.831356967243485,0.005421146102751212,0.973482464671892,True
value_252,33,0.8550728104479752,0.003167647035322694,0.9463642084787459,False
multi_horizon_trend,34,0.8404628488429213,0.003634573137952339,0.948509640139596,True
value_60,35,0.8878343359534876,0.0022411686625713866,0.985496881972653,True
csmom_60,36,0.831356967243485,-0.010323579531039311,0.974254820069798,True
momentum_quality_60,36,0.831356967243485,-0.007341325141350905,0.9678328279649866,False
tsmom_60,36,0.831356967243485,-0.0070429490147557675,0.9678328279649866,False
relative_value_residual_60,37,0.831356967243485,0.0032625394479412805,0.9678328279649866,True
vol_managed_momentum_60,38,0.831356967243485,0.00696752666728229,0.9678328279649866,True
vol_managed_momentum_120,39,0.831356967243485,0.005642275305320009,0.9425310372446937,True
reversal_5,40,0.4525169640495158,0.01513718083413806,0.9978545683391499,True
price_oi_20,41,0.831356967243485,-0.00802648379429452,0.9855111848503919,True
correlation_risk_20_120,42,0.6095078132167796,0.012447256962882946,0.9664311459465644,True
