rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
22,idiosyncratic_volatility_60__csz,idiosyncratic_volatility_60,risk,volatility_risk,0.0150573006510984,0.5337931034482759,0.0571747559265923,0.0192340560430854,0.1926056644544504,-0.1947844089871762,0.1926056644544504,-0.1102111350835972,-0.3120890014422957,-0.8167836673390415,6,4,3
24,realized_skewness_60__csz,realized_skewness_60,risk,volatility_risk,0.0143908802087129,0.5413793103448276,0.0638581585077611,0.0119039441861169,0.1494759992456248,-0.1485192260492916,0.1494759992456248,-0.2302430372783675,-0.4833890616276962,-1.1162541225010172,6,4,2
32,realized_volatility_20__csz,realized_volatility_20,risk,volatility_risk,0.0126719113771528,0.5124137931034483,0.0401876945110926,0.027786946490121,0.2148691549355148,-0.1936237217367942,0.2148691549355148,-0.0189688181415214,-0.1748608001928789,-0.5645907553212726,6,5,5
34,amihud_20__csz,amihud_20,risk,trading_liquidity,0.0113637662140673,0.5275862068965518,0.0532340223307111,0.0215589250548662,0.2464468075870341,-0.2440331841593762,0.2464468075870341,-0.0992360797770422,-0.3296913380197601,-0.9058294836265542,6,4,3
72,low_volatility_20__csz,low_volatility_20,risk,volatility_risk,-0.012672587585022,0.4875862068965517,-0.0401898648379597,-0.027786946490121,-0.2148691549355147,-0.2856039393542509,-0.2148691549355147,-0.4487071280125509,-0.6045991100639084,-0.994329065192302,6,1,1
82,correlation_risk_20_120__csz,correlation_risk_20_120,risk,volatility_risk,-0.0308564046828037,0.4406896551724138,-0.1255536330131759,-0.0413502386995982,-0.4558856760158281,-0.3117974899154072,-0.4558856760158281,-0.7892811599662655,-1.0115448159332234,-1.567203955850619,6,0,1
