trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_0bps_return,net_3bps_return,net_5bps_return,net_10bps_return,fold_id,test_year
2019-01-02,29,5,5,0.0379447133489135,0.030115136928993803,0.003914788209959849,1.0,0.0,2.0,0.003914788209959849,0.003314788209959849,0.0029147882099598487,0.0019147882099598487,fold_2019,2019
2019-01-09,29,5,5,0.013128542037001359,0.00366228615432432,0.0047331279413385195,1.0,0.0,2.0,0.0047331279413385195,0.00413312794133852,0.0037331279413385194,0.0027331279413385194,fold_2019,2019
2019-01-16,29,5,5,0.01992527930980912,0.01090897245593712,0.0045081534269359996,1.0,0.0,2.0,0.0045081534269359996,0.003908153426936,0.0035081534269359995,0.0025081534269359995,fold_2019,2019
2019-01-23,29,5,5,0.02738653368390918,0.0016544705682614003,0.01286603155782389,1.0,0.0,2.0,0.01286603155782389,0.01226603155782389,0.01186603155782389,0.01086603155782389,fold_2019,2019
2019-01-30,29,5,5,0.0332274675005923,0.0014285395799906603,0.01589946396030082,1.0,0.0,2.0,0.01589946396030082,0.01529946396030082,0.01489946396030082,0.01389946396030082,fold_2019,2019
2019-02-13,29,5,5,0.006419956785102982,-0.0073141635741976,0.006867060179650291,1.0,0.0,2.0,0.006867060179650291,0.006267060179650291,0.005867060179650291,0.004867060179650291,fold_2019,2019
2019-02-20,29,5,5,-0.013902576307987658,0.00713452067435418,-0.010518548491170919,1.0,0.0,2.0,-0.010518548491170919,-0.011118548491170919,-0.01151854849117092,-0.012518548491170919,fold_2019,2019
2019-02-27,29,5,5,0.01139769841795204,-0.00195545031743894,0.00667657436769549,1.0,0.0,2.0,0.00667657436769549,0.00607657436769549,0.00567657436769549,0.00467657436769549,fold_2019,2019
2019-03-06,29,5,5,-0.00958379582832172,0.007309957080439659,-0.008446876454380688,1.0,0.0,2.0,-0.008446876454380688,-0.009046876454380688,-0.00944687645438069,-0.010446876454380688,fold_2019,2019
2019-03-13,29,5,5,0.00761481881547952,0.0013145481196646402,0.00315013534790744,1.0,0.0,2.0,0.00315013534790744,0.00255013534790744,0.00215013534790744,0.0011501353479074399,fold_2019,2019
2019-03-20,29,5,5,-0.00176238240977046,-0.01195019109751882,0.00509390434387418,1.0,0.0,2.0,0.00509390434387418,0.00449390434387418,0.00409390434387418,0.0030939043438741798,fold_2019,2019
2019-03-27,29,5,5,0.04529915363771906,0.0015421288209738599,0.0218785124083726,1.0,0.0,2.0,0.0218785124083726,0.0212785124083726,0.020878512408372598,0.0198785124083726,fold_2019,2019
2019-04-03,29,5,5,0.029305450504106982,0.0063215454396621604,0.011491952532222412,1.0,0.0,2.0,0.011491952532222412,0.010891952532222412,0.01049195253222241,0.009491952532222412,fold_2019,2019
2019-04-11,29,5,5,-0.03544995395829264,-0.0117385610589501,-0.01185569644967127,1.0,0.0,2.0,-0.01185569644967127,-0.01245569644967127,-0.012855696449671269,-0.01385569644967127,fold_2019,2019
2019-04-18,29,5,5,0.013164904754910643,-0.0016904739110886204,0.007427689332999632,1.0,0.0,2.0,0.007427689332999632,0.006827689332999632,0.006427689332999632,0.005427689332999632,fold_2019,2019
2019-04-25,29,5,5,-0.00467975208273564,-0.006834141748888939,0.0010771948330766494,1.0,0.0,2.0,0.0010771948330766494,0.00047719483307664945,7.719483307664938e-05,-0.0009228051669233506,fold_2019,2019
2019-05-07,29,5,5,-0.013564762466874741,-0.02041581920150834,0.003425528367316799,1.0,0.0,2.0,0.003425528367316799,0.0028255283673167993,0.002425528367316799,0.001425528367316799,fold_2019,2019
2019-05-14,29,5,5,0.06729288101833247,0.007990080756712458,0.029651400130810007,1.0,0.0,2.0,0.029651400130810007,0.029051400130810007,0.028651400130810006,0.027651400130810008,fold_2019,2019
2019-05-21,29,5,5,-0.0171995592347333,-0.00853521294089692,-0.004332173146918189,1.0,0.0,2.0,-0.004332173146918189,-0.004932173146918189,-0.005332173146918189,-0.006332173146918189,fold_2019,2019
2019-05-28,29,5,5,-0.04034648219047978,-0.01035681700109156,-0.01499483259469411,1.0,0.0,2.0,-0.01499483259469411,-0.01559483259469411,-0.01599483259469411,-0.016994832594694108,fold_2019,2019
2019-06-04,29,5,5,0.01242376740392568,0.005455011460066041,0.0034843779719298195,1.0,0.0,2.0,0.0034843779719298195,0.0028843779719298196,0.0024843779719298195,0.0014843779719298194,fold_2019,2019
2019-06-12,29,5,5,0.003964515135157439,0.010922467447438942,-0.0034789761561407513,1.0,0.0,2.0,-0.0034789761561407513,-0.004078976156140751,-0.004478976156140751,-0.005478976156140751,fold_2019,2019
2019-06-19,29,5,5,0.00683730157664488,0.00045483569509239993,0.00319123294077624,1.0,0.0,2.0,0.00319123294077624,0.00259123294077624,0.00219123294077624,0.0011912329407762399,fold_2019,2019
2019-06-26,29,5,5,0.009715448381337038,-0.01433829372255794,0.01202687105194749,1.0,0.0,2.0,0.01202687105194749,0.01142687105194749,0.011026871051947489,0.01002687105194749,fold_2019,2019
2019-07-03,29,5,5,-0.0097788094015679,0.0065211310616961615,-0.00814997023163203,1.0,0.0,2.0,-0.00814997023163203,-0.00874997023163203,-0.00914997023163203,-0.01014997023163203,fold_2019,2019
2019-07-10,29,5,5,-0.006481344835906362,0.011123221233653561,-0.008802283034779961,1.0,0.0,2.0,-0.008802283034779961,-0.009402283034779961,-0.009802283034779962,-0.010802283034779961,fold_2019,2019
2019-07-17,29,5,5,-0.0316518690895652,0.01079299055209732,-0.02122242982083126,1.0,0.0,2.0,-0.02122242982083126,-0.02182242982083126,-0.022222429820831262,-0.02322242982083126,fold_2019,2019
2019-07-24,29,5,5,0.01510887773225866,0.0007209813500837399,0.00719394819108746,1.0,0.0,2.0,0.00719394819108746,0.00659394819108746,0.0061939481910874596,0.0051939481910874595,fold_2019,2019
2019-07-31,29,5,5,-0.06852107226968693,0.022526614548761977,-0.045523843409224454,1.0,0.0,2.0,-0.045523843409224454,-0.04612384340922446,-0.046523843409224455,-0.047523843409224456,fold_2019,2019
2019-08-07,29,5,5,-0.006687410966933881,0.00863491452589208,-0.007661162746412981,1.0,0.0,2.0,-0.007661162746412981,-0.00826116274641298,-0.00866116274641298,-0.009661162746412981,fold_2019,2019
2019-08-14,29,5,5,-0.00891740078325406,-0.0110105262415158,0.0010465627291308703,1.0,0.0,2.0,0.0010465627291308703,0.00044656272913087033,4.6562729130870256e-05,-0.0009534372708691298,fold_2019,2019
2019-08-21,29,5,5,-0.012140442545128059,-0.002153923237659961,-0.0049932596537340486,1.0,0.0,2.0,-0.0049932596537340486,-0.005593259653734048,-0.005993259653734049,-0.006993259653734049,fold_2019,2019
2019-08-28,29,5,5,0.038469778589565004,0.0188318402986101,0.009818969145477452,1.0,0.0,2.0,0.009818969145477452,0.009218969145477452,0.008818969145477452,0.007818969145477452,fold_2019,2019
2019-09-04,29,5,5,0.0127012837727431,-0.00801518380444358,0.01035823378859334,1.0,0.0,2.0,0.01035823378859334,0.00975823378859334,0.00935823378859334,0.00835823378859334,fold_2019,2019
2019-09-11,29,5,5,-0.000298132668868481,0.0030684049355679394,-0.0016832688022182102,1.0,0.0,2.0,-0.0016832688022182102,-0.00228326880221821,-0.00268326880221821,-0.0036832688022182102,fold_2019,2019
2019-09-19,29,5,5,-0.024676590069422844,-0.0015181489107117794,-0.011579220579355532,1.0,0.0,2.0,-0.011579220579355532,-0.012179220579355532,-0.012579220579355531,-0.013579220579355532,fold_2019,2019
2019-09-26,29,5,5,0.00795493778576502,-0.00114840296026362,0.00455167037301432,1.0,0.0,2.0,0.00455167037301432,0.00395167037301432,0.0035516703730143198,0.0025516703730143198,fold_2019,2019
2019-10-10,29,5,5,-0.027656125380182202,0.0008277820669611794,-0.01424195372357169,1.0,0.0,2.0,-0.01424195372357169,-0.01484195372357169,-0.015241953723571691,-0.016241953723571692,fold_2019,2019
2019-10-17,29,5,5,0.018599637890741098,0.0073098973694036996,0.005644870260668699,1.0,0.0,2.0,0.005644870260668699,0.005044870260668699,0.004644870260668699,0.003644870260668699,fold_2019,2019
2019-10-24,29,5,5,-0.006167570136019361,0.0007608172356570799,-0.003464193685838221,1.0,0.0,2.0,-0.003464193685838221,-0.004064193685838221,-0.004464193685838221,-0.00546419368583822,fold_2019,2019
