factor_id,year,ic_mean,rank_ic,observations
tsmom_60,2025,0.058718279131838566,0.02520523699437775,237
csmom_60,2025,0.02512614247737043,0.010507988704261425,237
trend_efficiency_60,2025,0.019738062033555832,0.014017689318135709,237
multi_horizon_trend,2025,0.05103255867097743,0.04972719361957399,237
carry_annualized,2025,0.01716398209582243,0.032286254522193476,237
carry_change_20,2025,-0.053669236335563156,-0.05161641357788293,237
curve_curvature,2025,0.005570957912989251,0.008685105907943741,237
value_252,2025,-0.07180873539381966,-0.047709182434346714,237
short_reversal_5,2025,-0.011529379093876945,0.0045245270150072545,237
inventory_scarcity,2025,-0.13954997391005716,-0.13029199410536763,235
inventory_change_5,2025,-0.04563088208185514,-0.05567792496527389,237
inventory_surprise,2025,-0.1325177581739029,-0.09022556390977444,38
warehouse_tightness,2025,0.03159181023867336,0.06525378812644092,234
tightness_composite,2025,-0.13525286852538893,-0.11573888494536587,183
oi_growth_20,2025,-0.035959789071901095,-0.03241658813399594,237
price_oi_interaction_20,2025,-0.018279997835964585,-0.021560932586341845,237
volume_shock_20,2025,-0.021741668843877293,-0.028762226443345664,237
amihud_20,2025,0.051127417258623076,0.1108756104787137,237
turnover_oi,2025,0.05990539743857513,0.02603625967245799,237
realized_volatility_20,2025,-0.002246462500847323,-0.019586731578028066,237
low_volatility_20,2025,0.004502562490627646,0.019586731578028066,237
realized_skewness_60,2025,0.01306529561809761,0.011565712948493356,237
seasonality_3y,2025,-0.013101762441401755,-0.010327791143083432,237
sector_relative_value_60,2025,-0.04668104532287749,0.026220223063297694,237
factor_momentum,2025,,,237
information_consistency,2025,-0.13122821002889307,-0.11131525757091883,183
information_divergence,2025,-0.12053548940670746,-0.10617252698673563,183
warehouse_surprise,2025,-0.008146236842524149,-0.01587198587349821,234
momentum_quality_60,2025,0.0774362678832421,0.024886829885319917,237
vol_managed_momentum,2025,0.017970900442217438,0.011258938639728863,237
idiosyncratic_volatility_60,2025,0.06864180511549085,0.050460173235974494,237
term_structure_slope,2025,0.014998692610194892,0.016467633065614485,237
term_structure_momentum,2025,-0.07194966504349055,-0.0733369425915856,237
term_structure_acceleration,2025,-0.060278663781550834,-0.07828952513291078,237
inventory_acceleration,2025,-0.009438101497911976,0.013600412507970254,237
inventory_price_divergence,2025,-0.07432554689010043,-0.08361499565928164,237
oi_surprise_60,2025,0.0010629441026371155,0.0020972501321062796,237
volume_price_divergence_20,2025,0.05661309661037081,0.03501379414766845,237
momentum_carry_interaction,2025,-0.03446439808792098,-0.029107305286091352,237
nonlinear_tightness,2025,-0.13355211975764153,-0.11573888494536587,183
correlation_risk_20_120,2025,-0.01829872810163497,-0.007286395098592926,237
