trade_date,factor_id,gross_return,turnover,long_count,short_count,net_return_0bps,net_return_3bps,net_return_5bps,net_return_10bps
2025-01-02,tsmom_60,0.0031965634149606435,1.0,6,6,0.0031965634149606435,0.0028965634149606435,0.0026965634149606434,0.0021965634149606434
2025-01-09,tsmom_60,-0.0029630868511465926,0.5,6,6,-0.0029630868511465926,-0.0031130868511465926,-0.003213086851146593,-0.0034630868511465926
2025-01-16,tsmom_60,0.0006729723069342869,0.6666666666666666,6,6,0.0006729723069342869,0.0004729723069342869,0.00033963897360095356,6.3056402676202414e-06
2025-01-23,tsmom_60,-0.005381578191678967,0.3333333333333333,6,6,-0.005381578191678967,-0.005481578191678967,-0.005548244858345633,-0.0057149115250123
2025-02-07,tsmom_60,0.009295019128487503,0.6666666666666666,6,6,0.009295019128487503,0.009095019128487503,0.00896168579515417,0.008628352461820837
2025-02-14,tsmom_60,-0.010362772205593765,0.5,6,6,-0.010362772205593765,-0.010512772205593766,-0.010612772205593765,-0.010862772205593766
2025-02-21,tsmom_60,-0.012214148435011072,0.6666666666666666,6,6,-0.012214148435011072,-0.012414148435011072,-0.012547481768344405,-0.012880815101677738
2025-02-28,tsmom_60,-0.004195561010576017,0.3333333333333333,6,6,-0.004195561010576017,-0.004295561010576017,-0.004362227677242684,-0.00452889434390935
2025-03-07,tsmom_60,0.01029137946382592,1.0,6,6,0.01029137946382592,0.00999137946382592,0.00979137946382592,0.009291379463825921
2025-03-14,tsmom_60,0.01005843411841803,0.5,6,6,0.01005843411841803,0.00990843411841803,0.00980843411841803,0.00955843411841803
2025-03-21,tsmom_60,-0.009964011231571599,0.3333333333333333,6,6,-0.009964011231571599,-0.010064011231571598,-0.010130677898238266,-0.010297344564904932
2025-03-28,tsmom_60,-0.01230336721690229,0.8333333333333333,6,6,-0.01230336721690229,-0.01255336721690229,-0.012720033883568956,-0.013136700550235624
2025-04-07,tsmom_60,0.011284211280027701,0.6666666666666666,6,6,0.011284211280027701,0.0110842112800277,0.010950877946694368,0.010617544613361035
2025-04-14,tsmom_60,0.01132530361643962,0.6666666666666666,6,6,0.01132530361643962,0.01112530361643962,0.010991970283106287,0.010658636949772954
2025-04-21,tsmom_60,-0.007204440994125955,0.5,6,6,-0.007204440994125955,-0.007354440994125955,-0.007454440994125955,-0.007704440994125955
2025-04-28,tsmom_60,0.007406126911252539,0.5,6,6,0.007406126911252539,0.0072561269112525395,0.007156126911252539,0.006906126911252539
2025-05-08,tsmom_60,-0.019374757165604717,0.5,6,6,-0.019374757165604717,-0.019524757165604718,-0.019624757165604717,-0.019874757165604717
2025-05-15,tsmom_60,0.015565944661345421,0.5,6,6,0.015565944661345421,0.01541594466134542,0.015315944661345421,0.01506594466134542
2025-05-22,tsmom_60,0.025439705851002855,0.5,6,6,0.025439705851002855,0.025289705851002854,0.025189705851002855,0.024939705851002855
2025-05-29,tsmom_60,0.0055917826139145746,0.3333333333333333,6,6,0.0055917826139145746,0.005491782613914574,0.005425115947247908,0.0052584492805812415
2025-06-06,tsmom_60,0.008960068415325168,0.3333333333333333,6,6,0.008960068415325168,0.008860068415325169,0.0087934017486585,0.008626735081991835
2025-06-13,tsmom_60,-0.0033383302625059337,0.6666666666666666,6,6,-0.0033383302625059337,-0.0035383302625059338,-0.003671663595839267,-0.0040049969291726
2025-06-20,tsmom_60,-0.035126607410519796,0.16666666666666666,6,6,-0.035126607410519796,-0.0351766074105198,-0.03520994074385313,-0.035293274077186465
2025-06-27,tsmom_60,-0.0007717299436766726,0.6666666666666666,6,6,-0.0007717299436766726,-0.0009717299436766726,-0.001105063277010006,-0.0014383966103433392
2025-07-04,tsmom_60,-0.016765118912744754,0.8333333333333333,6,6,-0.016765118912744754,-0.017015118912744754,-0.01718178557941142,-0.017598452246078086
2025-07-11,tsmom_60,-0.0007612261144083021,0.5,6,6,-0.0007612261144083021,-0.0009112261144083021,-0.0010112261144083021,-0.0012612261144083021
2025-07-18,tsmom_60,-0.018592185173024484,0.6666666666666666,6,6,-0.018592185173024484,-0.018792185173024483,-0.01892551850635782,-0.01925885183969115
2025-07-25,tsmom_60,-0.024613391389105534,0.6666666666666666,6,6,-0.024613391389105534,-0.024813391389105533,-0.02494672472243887,-0.0252800580557722
2025-08-01,tsmom_60,0.00803247388660495,0.5,6,6,0.00803247388660495,0.007882473886604948,0.007782473886604949,0.007532473886604949
2025-08-08,tsmom_60,0.0011361778717181763,0.6666666666666666,6,6,0.0011361778717181763,0.0009361778717181763,0.000802844538384843,0.00046951120505150966
2025-08-15,tsmom_60,-0.008876581261699249,0.5,6,6,-0.008876581261699249,-0.00902658126169925,-0.009126581261699249,-0.00937658126169925
2025-08-22,tsmom_60,-0.0073680854103404985,0.16666666666666666,6,6,-0.0073680854103404985,-0.007418085410340498,-0.007451418743673832,-0.007534752077007165
2025-08-29,tsmom_60,0.0041923335943232585,0.5,6,6,0.0041923335943232585,0.0040423335943232585,0.003942333594323258,0.0036923335943232585
2025-09-05,tsmom_60,-0.001588925997721295,0.6666666666666666,6,6,-0.001588925997721295,-0.0017889259977212951,-0.0019222593310546283,-0.0022555926643879616
2025-09-12,tsmom_60,0.0084674662000709,0.3333333333333333,6,6,0.0084674662000709,0.008367466200070901,0.008300799533404233,0.008134132866737568
2025-09-19,tsmom_60,-0.004721903399451147,0.3333333333333333,6,6,-0.004721903399451147,-0.004821903399451147,-0.0048885700661178135,-0.00505523673278448
2025-09-26,tsmom_60,0.02244823881832958,0.5,6,6,0.02244823881832958,0.02229823881832958,0.02219823881832958,0.02194823881832958
2025-10-13,tsmom_60,0.003893837916961517,0.5,6,6,0.003893837916961517,0.003743837916961517,0.0036438379169615167,0.003393837916961517
2025-10-20,tsmom_60,-0.012804022843882443,0.6666666666666666,6,6,-0.012804022843882443,-0.013004022843882444,-0.013137356177215776,-0.01347068951054911
