factor_id,factor_name,category,protocol_role,usage_type,economic_meaning,expected_direction,orientation,coverage,ic_observations,ic_mean,rank_ic,ic_std,ic_ir,rank_ic_std,rank_ic_ir,rank_ic_hit_rate,p_ic_gt_002,p_ic_lt_neg002,rank_ic_t_stat,rank_ic_p_value,factor_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,turnover,t_stat,p_value,annual_return_0bps,sharpe_0bps,annual_return_3bps,sharpe_3bps,annual_return_5bps,sharpe_5bps,annual_return_10bps,sharpe_10bps,monotonicity,group_return_spread,rank_ic_fdr_q,portfolio_fdr_q
tsmom_60,时间序列动量,trend_momentum,core,predictor,波动率调整后的中期趋势延续,positive,1.0,1.0,237,0.058718279131838566,0.02520523699437775,0.3462300429547356,0.16959325259799915,0.3127899475025349,0.08058199183071087,0.540084388185654,0.569620253164557,0.39662447257383965,0.6502594772666986,0.5161571274092978,0.02318846892129378,0.02436190463696075,0.08982836529734742,0.3121351508242789,-0.10545019174609527,0.23102759922542154,0.5138888888888888,0.2656635801891464,0.7916601856357705,0.03770940841289683,0.4564657016571059,0.02968066432771521,0.369858056672688,0.02436190463696075,0.3121351508242789,0.011182115443938434,0.16789737920786937,0.19999999999999998,0.0016265313631105551,0.7414169592104294,0.881148298764503
csmom_60,横截面动量,trend_momentum,core,predictor,同日商品过去收益相对强弱,positive,1.0,1.0,237,0.02512614247737043,0.010507988704261425,0.35084096034288764,0.07161690143822967,0.32913572381531453,0.03192600481787171,0.5147679324894515,0.5316455696202531,0.45147679324894513,0.25968469939722516,0.7953333924036303,-0.028722398161057483,-0.03013666267227766,0.11267043242799007,-0.2155235956082689,-0.15457606406487434,-0.19496332019186063,0.5243055555555555,-0.17847174005930372,0.8591195912953904,-0.017209834694616344,-0.09840962123056834,-0.024985971901192894,-0.1687227484084473,-0.03013666267227766,-0.2155235956082689,-0.04289746558014129,-0.33225695003851635,-0.09999999999999999,-0.0004393109807785279,0.8598198836796004,0.881148298764503
trend_efficiency_60,趋势效率,trend_momentum,core,predictor,价格路径的单向和平滑程度,positive,1.0,1.0,237,0.019738062033555832,0.014017689318135709,0.2885705506970909,0.06839943294932628,0.2573954731750642,0.054459735228528115,0.4978902953586498,0.4641350210970464,0.46835443037974683,0.4455415148596538,0.6563368964442666,-0.07458734599497463,-0.07816709690500889,0.0778192458269445,-1.0067130486061178,-0.13914232852991404,-0.5617779846785003,0.8645833333333334,-0.8893124506792808,0.3783644797242922,-0.05782867405587855,-0.7272454867156228,-0.0700837771163102,-0.8949920535219885,-0.07816709690500889,-1.0067130486061178,-0.0980759664854105,-1.285561576215777,-0.3,-0.0022442123097885782,0.8044020536039362,0.6580251821292038
multi_horizon_trend,多周期趋势一致性,trend_momentum,core,predictor,20/60/120日趋势方向一致程度,positive,1.0,1.0,237,0.05103255867097743,0.04972719361957399,0.2837114114459289,0.17987488910259597,0.2807231070283235,0.17713965247099087,0.5907172995780591,0.5611814345991561,0.3881856540084388,1.493185652035886,0.1367242838738104,0.05308051934684155,0.055807293786637846,0.07924030357001392,0.7248278361245106,-0.06115845896722427,0.9125032698509589,0.736111111111111,0.7004134670351981,0.487122068290743,0.07556191596631567,0.9604842346768414,0.06366622873170091,0.8190148484137325,0.055807293786637846,0.7248278361245106,0.036407353611629834,0.48985414509680975,0.7,0.003015300705178672,0.36459809033016105,0.7494185666011431
carry_annualized,Carry因子,term_structure,core,predictor,完整可交易曲线最近两个合约之间的年化期限结构补偿,positive,1.0,1.0,237,0.01716398209582243,0.032286254522193476,0.2890011425173569,0.05939070671594868,0.2596485592559014,0.1243459798687855,0.5864978902953587,0.5021097046413502,0.41350210970464135,1.0956488914189133,0.2743492990742349,0.027293500636117685,0.028677563420681063,0.10496738286453956,0.321986727016246,-0.08342420784046012,0.3437558972753309,0.48263888888888884,0.427529965905063,0.6709458601990016,0.04125932175214797,0.4379477610822645,0.033692370316579234,0.36836819334271537,0.028677563420681063,0.321986727016246,0.016244140722929457,0.20606082620009367,0.6,0.001823833494127551,0.5219531731626489,0.8657365938051633
carry_change_20,Carry变化,term_structure,core,predictor,期限结构二十日边际变化,positive,1.0,1.0,237,-0.053669236335563156,-0.05161641357788293,0.22347466185204998,-0.24015803801101415,0.21250711777100625,-0.2428926339940473,0.4092827004219409,0.3881856540084388,0.5569620253164557,-2.163850347429176,0.031479716889792723,-0.1150796566384008,-0.12047257060395833,0.06230703043722877,-2.0268039009633183,-0.13149139985922953,-0.9162011411615695,0.7881944444444443,-1.8173011402374768,0.07554942821852548,-0.10280155190481821,-1.7001907410634,-0.11344537903091834,-1.895851579907283,-0.12047257060395833,-2.0268039009633183,-0.13780314945125294,-2.3558805890378527,-0.3,-0.004223080648714899,0.13990985284352322,0.2803200130676982
basis_fresh,基差,basis_spot,extension,predictor,新鲜现货相对主力期货的强弱,positive,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basis_shock_20,基差冲击,basis_spot,extension,predictor,基差日变化相对历史条件分布的异常,positive,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basis_momentum_20,基差动量,basis_spot,extension,predictor,新鲜可用基差的二十日边际变化,positive,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curve_curvature,期限结构曲率,term_structure,core,predictor,曲线第二个合约相对第一和第三个合约线性插值的弯曲程度,mixed,1.0,0.9725352112676057,237,0.005570957912989251,0.008685105907943741,0.22956812916174812,0.02426712250228815,0.22450493065699215,0.03868559092456282,0.5147679324894515,0.4936708860759494,0.45569620253164556,0.3415611206018084,0.7329851296229728,-0.0748202803902398,-0.07841073037970336,0.054801224600561624,-1.461811719146608,-0.08244946863179692,-0.9510155939254168,0.6986111111111111,-1.4475280742826153,0.15438689120090832,-0.06202843685880266,-1.1363083296079846,-0.07189158736732193,-1.3313934495915407,-0.07841073037970336,-1.461811719146608,-0.09451375928499461,-1.788912301024325,0.0,-0.002473315809258908,0.8144279218033031,0.4411054034311666
