trade_date,factor_id,quantile,return_5d,count
2025-01-02,tsmom_60,1,-0.017788274388208365,6
2025-01-02,tsmom_60,2,-0.004761092466479877,6
2025-01-02,tsmom_60,3,-0.022767006926852257,6
2025-01-02,tsmom_60,4,-0.013725838240985463,6
2025-01-02,tsmom_60,5,-0.011395147558287078,6
2025-01-09,tsmom_60,1,0.041649754300114306,6
2025-01-09,tsmom_60,2,0.02798232287663636,6
2025-01-09,tsmom_60,3,0.014713978527469121,6
2025-01-09,tsmom_60,4,0.019687844948032773,6
2025-01-09,tsmom_60,5,0.035723580597821124,6
2025-01-16,tsmom_60,1,-0.01273960852613402,6
2025-01-16,tsmom_60,2,-0.0005744220105930823,6
2025-01-16,tsmom_60,3,0.000275077994647747,6
2025-01-16,tsmom_60,4,-0.013063690391257524,6
2025-01-16,tsmom_60,5,-0.011393663912265447,6
2025-01-23,tsmom_60,1,0.018699446581237584,6
2025-01-23,tsmom_60,2,0.013872208185788456,6
2025-01-23,tsmom_60,3,0.024223491192721713,6
2025-01-23,tsmom_60,4,0.023899189144361916,6
2025-01-23,tsmom_60,5,0.00793629019787965,6
2025-02-07,tsmom_60,1,-0.021251016256284377,6
2025-02-07,tsmom_60,2,-0.003710446452454589,6
2025-02-07,tsmom_60,3,0.01525317152015985,6
2025-02-07,tsmom_60,4,0.0019530524494496733,6
2025-02-07,tsmom_60,5,-0.0026609779993093663,6
2025-02-14,tsmom_60,1,0.023535953397732696,6
2025-02-14,tsmom_60,2,0.006625370094863081,6
2025-02-14,tsmom_60,3,0.005977562797235769,6
2025-02-14,tsmom_60,4,0.0015094415705131,6
2025-02-14,tsmom_60,5,0.0028104089865451654,6
2025-02-21,tsmom_60,1,-0.013327420872274157,6
2025-02-21,tsmom_60,2,0.004550491370250098,6
2025-02-21,tsmom_60,3,-0.002332187605198155,6
2025-02-21,tsmom_60,4,-0.017193227596684273,6
2025-02-21,tsmom_60,5,-0.0377557177422963,6
2025-02-28,tsmom_60,1,-0.006297789930887347,6
2025-02-28,tsmom_60,2,-0.0219334478634348,6
2025-02-28,tsmom_60,3,0.006225999039993657,6
2025-02-28,tsmom_60,4,-0.002204307371837392,6
2025-02-28,tsmom_60,5,-0.014688911952039382,6
2025-03-07,tsmom_60,1,0.002726343823161855,6
2025-03-07,tsmom_60,2,0.004017998736713639,6
2025-03-07,tsmom_60,3,0.002909084638090272,6
2025-03-07,tsmom_60,4,0.02654019590618158,6
2025-03-07,tsmom_60,5,0.023309102750813698,6
2025-03-14,tsmom_60,1,-0.0284043466529638,6
2025-03-14,tsmom_60,2,-0.01658391271420645,6
2025-03-14,tsmom_60,3,-0.007144084261638002,6
2025-03-14,tsmom_60,4,-0.010413633847802861,6
2025-03-14,tsmom_60,5,-0.008287478416127739,6
2025-03-21,tsmom_60,1,0.014365045488607195,6
2025-03-21,tsmom_60,2,0.009136213749668035,6
2025-03-21,tsmom_60,3,0.010096721251237875,6
2025-03-21,tsmom_60,4,0.014312990497511687,6
2025-03-21,tsmom_60,5,-0.005562976974536005,6
2025-03-28,tsmom_60,1,-0.038672959546312634,6
2025-03-28,tsmom_60,2,-0.04506535432632593,6
2025-03-28,tsmom_60,3,-0.043669480597074005,6
2025-03-28,tsmom_60,4,-0.023096787921643453,6
2025-03-28,tsmom_60,5,-0.06327969398011722,6
2025-04-07,tsmom_60,1,-0.012838544076195058,6
2025-04-07,tsmom_60,2,-0.0060062373025264555,6
2025-04-07,tsmom_60,3,0.008852921464573801,6
2025-04-07,tsmom_60,4,0.018043710634159677,6
2025-04-07,tsmom_60,5,0.009729878483860347,6
2025-04-14,tsmom_60,1,-0.018875411955097437,6
2025-04-14,tsmom_60,2,0.004880823448428921,6
2025-04-14,tsmom_60,3,-0.004272238452575183,6
2025-04-14,tsmom_60,4,0.0032226723300154783,6
2025-04-14,tsmom_60,5,0.0037751952777818065,6
2025-04-21,tsmom_60,1,0.004337922024284698,6
2025-04-21,tsmom_60,2,0.011606298114399172,6
2025-04-21,tsmom_60,3,0.0010992967998394814,6
2025-04-21,tsmom_60,4,0.010026621750319967,6
2025-04-21,tsmom_60,5,-0.01007095996396721,6
2025-04-28,tsmom_60,1,-0.020192962218503845,6
2025-04-28,tsmom_60,2,-0.03697702264494881,6
2025-04-28,tsmom_60,3,-0.021655601487862258,6
2025-04-28,tsmom_60,4,-0.010461937139105093,6
2025-04-28,tsmom_60,5,-0.005380708395998764,6
2025-05-08,tsmom_60,1,0.025115455606616877,6
2025-05-08,tsmom_60,2,0.01870186524545192,6
2025-05-08,tsmom_60,3,0.030930811151927234,6
2025-05-08,tsmom_60,4,0.00014033127586747055,6
2025-05-08,tsmom_60,5,-0.013634058724592557,6
2025-05-15,tsmom_60,1,-0.030141124717238066,6
2025-05-15,tsmom_60,2,-0.008352179351904262,6
2025-05-15,tsmom_60,3,-0.013439692614538498,6
2025-05-15,tsmom_60,4,0.002396190550516967,6
2025-05-15,tsmom_60,5,0.0009907646054527763,6
2025-05-22,tsmom_60,1,-0.050776268151385674,6
2025-05-22,tsmom_60,2,-0.010436599914390332,6
2025-05-22,tsmom_60,3,-0.0006944536256912234,6
2025-05-22,tsmom_60,4,-0.007228678616647795,6
2025-05-22,tsmom_60,5,0.00010314355062004028,6
2025-05-29,tsmom_60,1,0.005794242438275828,6
2025-05-29,tsmom_60,2,0.00823321877511518,6
2025-05-29,tsmom_60,3,0.0033907656488492885,6
2025-05-29,tsmom_60,4,-0.007493286152594277,6
2025-05-29,tsmom_60,5,0.016977807666104978,6
2025-06-06,tsmom_60,1,-0.0012552103536439725,6
2025-06-06,tsmom_60,2,0.013452829480893954,6
2025-06-06,tsmom_60,3,0.029027278791427746,6
2025-06-06,tsmom_60,4,0.02534929951741242,6
2025-06-06,tsmom_60,5,0.016664926477006365,6
2025-06-13,tsmom_60,1,0.017796627048853837,6
2025-06-13,tsmom_60,2,0.005361210281569735,6
2025-06-13,tsmom_60,3,0.025776814141725463,6
2025-06-13,tsmom_60,4,0.011520237303367912,6
2025-06-13,tsmom_60,5,0.01111996652384197,6
2025-06-20,tsmom_60,1,0.02080348701765744,6
2025-06-20,tsmom_60,2,0.020380687811800247,6
2025-06-20,tsmom_60,3,0.0004645274662887777,6
2025-06-20,tsmom_60,4,-0.03130825442100351,6
2025-06-20,tsmom_60,5,-0.04944972780338216,6
2025-06-27,tsmom_60,1,0.00357807868025678,6
2025-06-27,tsmom_60,2,0.000730693529547688,6
2025-06-27,tsmom_60,3,0.0002596460353990378,6
2025-06-27,tsmom_60,4,0.000878771104068791,6
2025-06-27,tsmom_60,5,0.0020346187929034345,6
2025-07-04,tsmom_60,1,0.036256499027516965,6
2025-07-04,tsmom_60,2,0.005751051765424804,6
2025-07-04,tsmom_60,3,0.00622728094701384,6
2025-07-04,tsmom_60,4,0.003722874394990916,6
2025-07-04,tsmom_60,5,0.002726261202027458,6
2025-07-11,tsmom_60,1,0.01706123185287837,6
2025-07-11,tsmom_60,2,0.006225793864771012,6
2025-07-11,tsmom_60,3,0.00366788285067197,6
2025-07-11,tsmom_60,4,0.018229893557693222,6
2025-07-11,tsmom_60,5,0.015538779624061768,6
2025-07-18,tsmom_60,1,0.037570527195452376,6
2025-07-18,tsmom_60,2,0.10035099022534157,6
2025-07-18,tsmom_60,3,0.03216160970432991,6
2025-07-18,tsmom_60,4,0.014210744769200959,6
2025-07-18,tsmom_60,5,0.00038615684940340733,6
2025-07-25,tsmom_60,1,-0.008910706422020742,6
2025-07-25,tsmom_60,2,-0.020897150948753367,6
2025-07-25,tsmom_60,3,-0.015886236698873162,6
2025-07-25,tsmom_60,4,-0.04750386107006571,6
2025-07-25,tsmom_60,5,-0.05813748920023182,6
2025-08-01,tsmom_60,1,-0.004285455292953304,6
2025-08-01,tsmom_60,2,-0.00377550165268703,6
2025-08-01,tsmom_60,3,0.032554038738845326,6
2025-08-01,tsmom_60,4,-0.016780178006925234,6
2025-08-01,tsmom_60,5,0.011779492480256596,6
2025-08-08,tsmom_60,1,0.0036070261533319528,6
2025-08-08,tsmom_60,2,-0.004159295104811093,6
2025-08-08,tsmom_60,3,-0.002987876518543172,6
2025-08-08,tsmom_60,4,0.002801631315237659,6
2025-08-08,tsmom_60,5,0.005879381896768306,6
2025-08-15,tsmom_60,1,0.0018305650242040523,6
2025-08-15,tsmom_60,2,-0.006135684907362382,6
2025-08-15,tsmom_60,3,-0.008923006265105634,6
2025-08-15,tsmom_60,4,-0.011077364436205347,6
2025-08-15,tsmom_60,5,-0.015922597499194446,6
2025-08-22,tsmom_60,1,0.00908213179684303,6
2025-08-22,tsmom_60,2,-0.004082168173949741,6
2025-08-22,tsmom_60,3,-0.006313749207656798,6
2025-08-22,tsmom_60,4,-0.0032546749119219953,6
2025-08-22,tsmom_60,5,-0.0056540390238379685,6
2025-08-29,tsmom_60,1,-0.003496197869496583,6
2025-08-29,tsmom_60,2,0.014310224841282896,6
2025-08-29,tsmom_60,3,-0.006873159517396772,6
2025-08-29,tsmom_60,4,0.00039577757751596554,6
2025-08-29,tsmom_60,5,0.004888469319149935,6
2025-09-05,tsmom_60,1,0.0006387224139893788,6
2025-09-05,tsmom_60,2,-0.0031033538554698925,6
2025-09-05,tsmom_60,3,0.006742809248208599,6
2025-09-05,tsmom_60,4,-0.0018371098800234649,6
2025-09-05,tsmom_60,5,-0.002539129581453211,6
2025-09-12,tsmom_60,1,-0.0038063889297776745,6
2025-09-12,tsmom_60,2,-0.002354516865813209,6
2025-09-12,tsmom_60,3,0.004652866729297489,6
2025-09-12,tsmom_60,4,-0.0007628410737750002,6
2025-09-12,tsmom_60,5,0.013128543470364129,6
2025-09-19,tsmom_60,1,0.011161574833108054,6
2025-09-19,tsmom_60,2,-0.005360433413992856,6
2025-09-19,tsmom_60,3,0.001973135792145512,6
2025-09-19,tsmom_60,4,-0.02147633358772294,6
2025-09-19,tsmom_60,5,0.0017177680342057577,6
2025-09-26,tsmom_60,1,-0.021177192764714154,6
2025-09-26,tsmom_60,2,-0.016820390126910223,6
2025-09-26,tsmom_60,3,-0.03795315033171642,6
2025-09-26,tsmom_60,4,0.007433709347287117,6
2025-09-26,tsmom_60,5,0.023719284871945006,6
