feature_name,coefficient_mean,coefficient_std,mean_abs_coefficient,positive_share,folds,sign_consistency,source_factor,usage_type,category,correlation_cluster,cluster_representative
information_divergence__csz,0.015864867685686,0.005226191280056398,0.015864867685686,1.0,6,1.0,information_divergence,predictor,information_news,47,information_divergence__csz
tightness_composite__csz,-0.014072011529097702,,0.014072011529097702,0.0,1,1.0,tightness_composite,predictor,inventory_fundamental,28,tightness_composite__csz
vol_managed_momentum__csz,0.013530604581656414,0.002604644735015483,0.013530604581656414,1.0,5,1.0,vol_managed_momentum,predictor,trend_momentum,51,vol_managed_momentum__csz
value_252__csz,0.011609386205690934,0.00431684399177082,0.011609386205690936,1.0,6,1.0,value_252,predictor,value_reversion,17,value_252__csz
volume_price_divergence_20__csz,0.011580970881433362,0.004234554136713315,0.011580970881433362,1.0,4,1.0,volume_price_divergence_20,predictor,trading_liquidity,62,volume_price_divergence_20__csz
nonlinear_tightness__csz,-0.009736269286934107,0.004543231919671468,0.009736269286934107,0.0,2,1.0,nonlinear_tightness,predictor,factor_interaction,28,tightness_composite__csz
carry_annualized__csz,-0.00879109822943399,,0.00879109822943399,0.0,1,1.0,carry_annualized,predictor,term_structure,7,carry_annualized__csz
term_structure_acceleration__csz,0.007116482558313308,0.0016454656700027142,0.007116482558313308,1.0,6,1.0,term_structure_acceleration,predictor,term_structure,57,term_structure_acceleration__csz
inventory_scarcity__csz,0.007081736754662902,0.0017060729513970016,0.007081736754662902,1.0,4,1.0,inventory_scarcity,predictor,inventory_fundamental,20,inventory_scarcity__csz
warehouse_surprise__csz,0.0070479677967018655,0.0033099954032642575,0.0070479677967018655,1.0,3,1.0,warehouse_surprise,predictor,information_news,48,warehouse_surprise__csz
term_structure_slope__csz,0.006930886311439036,0.004440326739968278,0.006930886311439036,1.0,6,1.0,term_structure_slope,predictor,term_structure,54,term_structure_slope__csz
momentum_carry_interaction__csz,-0.006320695352965954,,0.006320695352965954,0.0,1,1.0,momentum_carry_interaction,predictor,factor_interaction,63,momentum_carry_interaction__csz
basis_fresh__csz,0.005407231533737369,0.0025511292215582865,0.005407231533737369,1.0,6,1.0,basis_fresh,predictor,basis_spot,11,basis_fresh__csz
basis_shock_20__csz,0.00500364588429794,,0.00500364588429794,1.0,1,1.0,basis_shock_20,predictor,basis_spot,13,basis_shock_20__csz
warehouse_tightness__csz,0.004652922749975956,0.000645015024128111,0.004652922749975956,1.0,3,1.0,warehouse_tightness,predictor,inventory_fundamental,26,warehouse_tightness__csz
term_structure_momentum__csz,0.004151923063957395,0.002255192817020545,0.004151923063957395,1.0,6,1.0,term_structure_momentum,predictor,term_structure,55,term_structure_momentum__csz
fundamental_underreaction__csz,0.0035736280385540884,,0.0035736280385540884,1.0,1,1.0,fundamental_underreaction,predictor,information_news,46,fundamental_underreaction__csz
inventory_surprise__csz,0.0025971916876776392,0.0013170177167384615,0.0025971916876776392,1.0,4,1.0,inventory_surprise,predictor,information_news,24,inventory_surprise__csz
short_reversal_5__csz,0.0024049054358114223,,0.0024049054358114223,1.0,1,1.0,short_reversal_5,predictor,value_reversion,19,short_reversal_5__csz
inventory_price_divergence__csz,0.0011441524616321891,0.002008405154946326,0.0020905427819274884,0.8,5,0.8,inventory_price_divergence,predictor,information_news,22,inventory_change_5__csz
inventory_acceleration__csz,0.0019730984694577712,0.0014383638706325027,0.0019730984694577712,1.0,2,1.0,inventory_acceleration,predictor,inventory_fundamental,60,inventory_acceleration__csz
inventory_change_5__csz,0.0016679970653898915,0.0002133159834995913,0.0016679970653898915,1.0,2,1.0,inventory_change_5,predictor,inventory_fundamental,22,inventory_change_5__csz
