trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_0bps_return,net_3bps_return,net_5bps_return,net_10bps_return,fold_id,test_year
2019-01-02,29,5,5,0.04859079254997462,0.014943901229922518,0.016823445660026054,1.0,0.0,2.0,0.016823445660026054,0.016223445660026054,0.015823445660026053,0.014823445660026054,fold_2019,2019
2019-01-09,29,5,5,0.01645574181220004,0.00177939643168494,0.0073381726902575495,1.0,0.0,2.0,0.0073381726902575495,0.00673817269025755,0.0063381726902575495,0.0053381726902575494,fold_2019,2019
2019-01-16,29,5,5,0.02894935286655346,-0.00032442945068168,0.01463689115861757,1.0,0.0,2.0,0.01463689115861757,0.01403689115861757,0.013636891158617569,0.01263689115861757,fold_2019,2019
2019-01-23,29,5,5,0.009122538336164419,0.009139843401227098,-8.652532531339824e-06,1.0,0.0,2.0,-8.652532531339824e-06,-0.0006086525325313398,-0.0010086525325313398,-0.00200865253253134,fold_2019,2019
2019-01-30,29,5,5,0.01932852511409586,0.00984054637486048,0.00474398936961769,1.0,0.0,2.0,0.00474398936961769,0.0041439893696176905,0.0037439893696176903,0.0027439893696176903,fold_2019,2019
2019-02-13,29,5,5,0.009096512024027139,0.0035678334380830805,0.0027643392929720292,1.0,0.0,2.0,0.0027643392929720292,0.0021643392929720294,0.0017643392929720292,0.0007643392929720292,fold_2019,2019
2019-02-20,29,5,5,0.00577851126584756,-0.0168665886533483,0.01132254995959793,1.0,0.0,2.0,0.01132254995959793,0.01072254995959793,0.01032254995959793,0.00932254995959793,fold_2019,2019
2019-02-27,29,5,5,0.019087053733321098,-0.0028805315342924197,0.01098379263380676,1.0,0.0,2.0,0.01098379263380676,0.01038379263380676,0.009983792633806759,0.00898379263380676,fold_2019,2019
2019-03-06,29,5,5,-0.01146724461272454,0.0020769773588646405,-0.00677211098579459,1.0,0.0,2.0,-0.00677211098579459,-0.0073721109857945895,-0.00777211098579459,-0.00877211098579459,fold_2019,2019
2019-03-13,29,5,5,-0.02946676738412114,0.00205196611429442,-0.01575936674920778,1.0,0.0,2.0,-0.01575936674920778,-0.01635936674920778,-0.01675936674920778,-0.017759366749207778,fold_2019,2019
