month,rank_ic_mean,rank_ic_hit_rate,ic_days,strategy_days,gross_return_total,gross_return_hit_rate,net_1bps_return_total,net_1bps_return_hit_rate,net_3bps_return_total,net_3bps_return_hit_rate,net_5bps_return_total,net_5bps_return_hit_rate
2025-01,-0.0006680764934921072,0.5555555555555556,18,18,0.00423229895448296,0.4444444444444444,0.0006239999516644001,0.3888888888888889,-0.006555895879430396,0.3888888888888889,-0.013687115765475433,0.2777777777777778
2025-02,0.025460388085527128,0.4444444444444444,18,18,0.004216268189583872,0.5555555555555556,0.0006080485134676294,0.5555555555555556,-0.006571689662481117,0.5555555555555556,-0.013702753216167318,0.5
2025-03,0.043190511073875774,0.6190476190476191,21,21,0.023570785578874043,0.6190476190476191,0.019285079785156034,0.6190476190476191,0.010764883059434904,0.6190476190476191,0.002312542117665739,0.5238095238095238
2025-04,0.12468573218964585,0.6190476190476191,21,21,0.05327468811264491,0.6190476190476191,0.04887055496275705,0.5714285714285714,0.040114847842163126,0.5714285714285714,0.03142877821958456,0.5238095238095238
2025-05,-0.01482673169765633,0.47368421052631576,19,19,-0.006148392592962515,0.3684210526315789,-0.009919498461243181,0.3684210526315789,-0.01742107986395003,0.2631578947368421,-0.024868793757071295,0.2631578947368421
2025-06,-0.07081201334816463,0.45,20,20,-0.005921779646083425,0.4,-0.009891786593245078,0.4,-0.017786659399797733,0.4,-0.025621704301667214,0.4
2025-07,-0.12623584849699981,0.34782608695652173,23,23,-0.04237504855463303,0.2608695652173913,-0.04677890114399086,0.2608695652173913,-0.05552856158263153,0.2608695652173913,-0.06420136998033588,0.21739130434782608
2025-08,-0.0030827904020340113,0.5238095238095238,21,21,0.008222142446172587,0.5238095238095238,0.003997654114536786,0.5238095238095238,-0.004400802857552177,0.38095238095238093,-0.01273232539968816,0.38095238095238093
2025-09,0.09379231064639872,0.6818181818181818,22,22,0.012153665925495272,0.6818181818181818,0.007711946901345801,0.6363636363636364,-0.0011157363875214932,0.5,-0.009869573735064918,0.36363636363636365
2025-10,0.07445282098168056,0.6470588235294118,17,17,0.013182936635763642,0.5294117647058824,0.009746237111124989,0.5294117647058824,0.002905726266037023,0.5294117647058824,-0.0038911522244230445,0.5294117647058824
2025-11,0.03288412404227494,0.5,20,20,0.006092927557659333,0.5,0.0020773936108056112,0.5,-0.005908043349242109,0.45,-0.01383300296415535,0.45
2025-12,-0.04663876238267462,0.36363636363636365,22,22,-0.024011947226516117,0.36363636363636365,-0.028302041990911686,0.3181818181818182,-0.03682829106594321,0.3181818181818182,-0.04528309799624319,0.2727272727272727
