trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_1bps_return,net_3bps_return,net_5bps_return,test_year
2025-01-02,30,6,6,-0.010070134496458534,-0.011693720281073516,0.0008117928923074913,1.0,0.0,2.0,0.0006117928923074914,0.00021179289230749139,-0.0001882071076925087,2025
2025-01-03,30,6,6,0.00014671700024181672,-0.0015898865022094168,0.0008683017512256168,1.0,0.0,2.0,0.0006683017512256168,0.00026830175122561685,-0.00013169824877438323,2025
2025-01-06,30,6,6,-0.00964009233258365,-0.01220783212518275,0.0012838698962995502,1.0,0.0,2.0,0.00108386989629955,0.0006838698962995502,0.00028386989629955017,2025
2025-01-07,30,6,6,-0.006910452851948767,-0.0036457924614185493,-0.0016323301952651087,1.0,0.0,2.0,-0.0018323301952651088,-0.0022323301952651086,-0.0026323301952651088,2025
2025-01-08,30,6,6,-0.004289583417923434,0.011460791686472816,-0.007875187552198125,1.0,0.0,2.0,-0.008075187552198125,-0.008475187552198124,-0.008875187552198124,2025
2025-01-09,30,6,6,0.0005304010243657172,0.0005084676746282335,1.0966674868741894e-05,1.0,0.0,2.0,-0.00018903332513125812,-0.000589033325131258,-0.0009890333251312581,2025
2025-01-10,30,6,6,0.026188536936047,0.010562775093039616,0.00781288092150369,1.0,0.0,2.0,0.007612880921503691,0.007212880921503691,0.0068128809215036905,2025
2025-01-13,30,6,6,0.0040083825648589,-0.00015053525610556659,0.002079458910482233,1.0,0.0,2.0,0.001879458910482233,0.0014794589104822333,0.0010794589104822332,2025
2025-01-14,30,6,6,-0.00544340390886075,0.00448612276105575,-0.00496476333495825,1.0,0.0,2.0,-0.00516476333495825,-0.00556476333495825,-0.00596476333495825,2025
2025-01-15,30,6,6,0.00424988176524745,0.009731806944545368,-0.002740962589648959,1.0,0.0,2.0,-0.002940962589648959,-0.003340962589648959,-0.003740962589648959,2025
2025-01-16,30,6,6,0.009720664741297383,0.0028027482796552003,0.0034589582308210912,1.0,0.0,2.0,0.003258958230821091,0.0028589582308210914,0.002458958230821091,2025
2025-01-17,30,6,6,-0.004757207764896199,-0.0026361027564508997,-0.0010605525042226495,1.0,0.0,2.0,-0.0012605525042226496,-0.0016605525042226493,-0.0020605525042226495,2025
2025-01-20,30,6,6,0.001832817736191817,0.0026033729599038336,-0.0003852776118560083,1.0,0.0,2.0,-0.0005852776118560083,-0.0009852776118560082,-0.0013852776118560084,2025
2025-01-21,30,6,6,-0.0006205349485315831,0.0005130677362216333,-0.0005668013423766082,1.0,0.0,2.0,-0.0007668013423766082,-0.0011668013423766083,-0.0015668013423766082,2025
2025-01-22,30,6,6,-0.010906175157843484,-0.005406845623002317,-0.0027496647674205834,1.0,0.0,2.0,-0.0029496647674205835,-0.0033496647674205833,-0.0037496647674205835,2025
2025-01-23,30,6,6,-0.0004929413200164833,0.0031910026183364338,-0.0018419719691764585,1.0,0.0,2.0,-0.0020419719691764583,-0.0024419719691764585,-0.0028419719691764583,2025
2025-01-24,30,6,6,-0.007787955154524166,0.00115170288520625,-0.004469829019865208,1.0,0.0,2.0,-0.004669829019865208,-0.005069829019865208,-0.005469829019865208,2025
2025-01-27,30,6,6,0.012858511488363084,-0.019987156402832485,0.016422833945597785,1.0,0.0,2.0,0.016222833945597787,0.015822833945597786,0.015422833945597784,2025
2025-02-05,30,6,6,0.0017399963540760338,-0.003423168545975533,0.0025815824500257834,1.0,0.0,2.0,0.0023815824500257833,0.0019815824500257835,0.0015815824500257833,2025
2025-02-06,30,6,6,0.006604325336277268,0.005219607094044767,0.0006923591211162503,1.0,0.0,2.0,0.0004923591211162503,9.235912111625036e-05,-0.0003076408788837497,2025
2025-02-07,30,6,6,0.00024873751312406685,-0.0023122628925346497,0.0012805002028293583,1.0,0.0,2.0,0.0010805002028293582,0.0006805002028293584,0.0002805002028293583,2025
2025-02-10,30,6,6,-0.0011504166566739325,-0.005697158975167767,0.002273371159246917,1.0,0.0,2.0,0.002073371159246917,0.0016733711592469172,0.001273371159246917,2025
2025-02-11,30,6,6,0.0034842544072967497,-0.00047738741596373304,0.0019808209116302412,1.0,0.0,2.0,0.0017808209116302411,0.0013808209116302414,0.0009808209116302412,2025
