feature_name,test_year,standardized_coefficient,source_factor,usage_type,classification
csmom_20__cs_robust_z,2020,-0.0008313252206556168,横截面动量,predictor,B
csmom_20__missing,2020,-0.008399792372631377,横截面动量,quality_flag,B
trend_efficiency_20__cs_robust_z,2020,0.003283404785243679,趋势效率,conditional,C
trend_efficiency_20__missing,2020,0.000976448565004988,趋势效率,quality_flag,C
momentum_quality_20__cs_robust_z,2020,-0.002570083490136314,动量质量,predictor,B
momentum_quality_20__missing,2020,0.000976448565004988,动量质量,quality_flag,B
vol_managed_momentum_20__cs_robust_z,2020,-0.0050473451453212255,波动率管理动量,risk,D
vol_managed_momentum_20__missing,2020,0.000976448565004988,波动率管理动量,quality_flag,D
trend_efficiency_60__cs_robust_z,2020,-0.0016345407975204896,趋势效率,conditional,C
trend_efficiency_60__missing,2020,0.0012892564900080197,趋势效率,quality_flag,C
realized_vol_60__cs_robust_z,2020,-0.0003049113465807574,已实现波动率,risk,D
realized_vol_60__missing,2020,0.004674930491274011,已实现波动率,quality_flag,D
vol_managed_momentum_60__cs_robust_z,2020,0.007663432654084164,波动率管理动量,risk,D
vol_managed_momentum_60__missing,2020,0.0012892564900080197,波动率管理动量,quality_flag,D
tsmom_120__cs_robust_z,2020,0.0031305055546899754,时间序列动量,predictor,B
tsmom_120__missing,2020,-0.0007196528234820836,时间序列动量,quality_flag,B
csmom_120__cs_robust_z,2020,0.0007993191104741747,横截面动量,predictor,B
csmom_120__missing,2020,0.001293694756367804,横截面动量,quality_flag,B
trend_efficiency_120__cs_robust_z,2020,-0.0002547408095649968,趋势效率,conditional,C
trend_efficiency_120__missing,2020,-0.0007196528234820836,趋势效率,quality_flag,C
realized_vol_120__cs_robust_z,2020,0.005751272296485046,已实现波动率,risk,D
realized_vol_120__missing,2020,-0.004032796178189393,已实现波动率,quality_flag,D
momentum_quality_120__cs_robust_z,2020,0.0006160110430432882,动量质量,predictor,B
momentum_quality_120__missing,2020,-0.0007196528234820836,动量质量,quality_flag,B
vol_managed_momentum_120__cs_robust_z,2020,-0.0030294509429622182,波动率管理动量,risk,D
vol_managed_momentum_120__missing,2020,-0.0007196528234820836,波动率管理动量,quality_flag,D
carry__cs_robust_z,2020,0.001170869931242196,Carry,predictor,A
carry__missing,2020,-0.005156451424124019,Carry,quality_flag,A
curve_curvature__cs_robust_z,2020,-0.007973708795388838,期限结构曲率,predictor,B
curve_curvature__missing,2020,-0.003759318130412388,期限结构曲率,quality_flag,B
