feature_name,source_factor_id,source_factor,horizon,coverage,missing_rate,stale_rate,ic_mean,ic_std,icir,ic_hit_rate,ic_t_nw,ic_p_nw,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_hit_rate,rank_ic_t_nw,rank_ic_p_nw,ic_days,rank_ic_days,nonoverlap_rank_ic_mean,nonoverlap_rank_ic_t,nonoverlap_rank_ic_p,pooled_beta,pooled_t_two_way_cluster,pooled_p_two_way_cluster,pooled_observations,group_spread,group_monotonicity,group_days,gross_annual_return,gross_sharpe,average_one_way_turnover,gross_max_drawdown,net_1bps_annual_return,net_1bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,rank_ic_q_bh,transformation,category,usage_type,expected_direction,economic_meaning,baseline_rank_ic,candidate_rank_ic,delta_rank_ic,baseline_mse,candidate_mse,mse_reduction,oos_rows,inner_oos_first_year,inner_oos_last_year,correlation_cluster,rank_ic_q_bh_cluster,rank_ic_mean_cluster,coverage_cluster,cluster_representative,max_abs_factor_correlation,year_direction_consistency,year_count,product_direction_consistency,sector_direction_consistency,worst_product_correlation,worst_sector_correlation,classification,classification_reason,enter_ml
tsmom_20,1,时间序列动量,5,0.9691262367385862,0.030873763261413778,0.0017582548575515557,0.0013207975258692892,0.2669947058555832,0.004946905301499519,0.5041876046901173,0.09647375118114093,0.9231443201919914,-0.00530910309198301,0.2675879449756566,-0.01984059144542553,0.4966499162479062,-0.3923445370619267,0.6948036603695329,1194,1194,-0.010909086585035222,-0.6483964700835507,0.5167285528368708,0.00030194806969052523,0.8562361942639286,0.3918671461446048,32169,0.0009809996340061347,0.7,1194,0.01496103685660386,0.1792545620836131,0.1961602671118531,-0.14396942481952157,0.010017798125385152,0.12002221274978533,0.00013132066294777102,0.0015731820784021038,-0.00975515679948963,-0.1168503367957876,0.8647349221757863,20日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,-0.006867451004366618,-0.007936381192096392,-0.0010689301877297736,0.0006640245360103885,0.0006641015101203426,-0.00011592058091202443,13580,2018,2019,26,0.8647349221757863,-0.00530910309198301,0.9691262367385862,True,0.9353005914703043,0.4,5,0.5517241379310345,0.6,-0.16736297104078418,-0.0371544713024463,E,开发期未发现足够稳定的方向或增量证据,False
csmom_20,2,横截面动量,5,0.9821790439861724,0.017820956013827605,0.243741804744308,0.007336551374488955,0.30394549489288003,0.024137720406333336,0.5159128978224455,0.47502258637762573,0.6347708745950067,0.0005108874195687556,0.29712314316655003,0.001719446738897689,0.516750418760469,0.0340497945553825,0.9728374433864773,1194,1194,-0.011252677491315493,-0.6091667859201512,0.5424138932619302,0.000490564333383298,1.2298011109683293,0.2187715921035892,32206,0.0019764261068705305,0.6,1194,0.03312764060846047,0.34463816193571445,0.18443238731218697,-0.12721108779192802,0.02847994444819334,0.2962545051274948,0.019184552127659134,0.19951684505451422,0.009889159807124912,0.10282157326069351,0.9757595174076832,20日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,-0.006867451004366618,-0.0020039736430008705,0.004863477361365748,0.0006640245360103885,0.0006639043638675859,0.00018097545540195887,13580,2018,2019,26,0.9757595174076832,0.0005108874195687556,0.9821790439861724,False,0.9458539493896293,0.4,5,0.4827586206896552,0.4,-0.15172702861137777,-0.046663905440930825,B,相对固定基准模型提供样本外增量信息,True
trend_efficiency_20,3,趋势效率,5,0.9691262367385862,0.030873763261413778,0.0017582548575515557,-0.0038840254248827407,0.25133964648783064,-0.015453293895958422,0.4882747068676717,-0.31583445041754943,0.7521281678437118,-0.003387339346445224,0.24422820450470284,-0.013869566593730568,0.4932998324958124,-0.2931261535933647,0.769425726661485,1194,1194,-0.015245793658721089,-0.9608403588449318,0.3366324424454261,-1.5709417142863815e-05,-0.03729637769925066,0.9702486936623917,32169,-0.00024476710486511324,-0.19999999999999998,1194,-0.009162985631812908,-0.12408173615699294,0.350361713967724,-0.20750209951016918,-0.017992100823799557,-0.24361143219335962,-0.03565033120777284,-0.4825661182980309,-0.05330856159174613,-0.7213585494318604,0.8901199582946591,20日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,-0.006867451004366618,-0.008919340853993924,-0.0020518898496273055,0.0006640245360103885,0.000664207311887469,-0.00027525470395818705,13580,2018,2019,39,0.8901199582946591,-0.003387339346445224,0.9691262367385862,True,0.28448535011825704,0.6,5,0.4827586206896552,0.4,-0.08358874847780297,-0.011909548100307617,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_20,24,已实现波动率,5,0.977708904517821,0.022291095482179002,0.002145666944808678,0.028117395547426653,0.3863590312560087,0.07277530295078193,0.5307308970099668,1.3915451912197818,0.1640601658357025,0.01692093284197283,0.35403139915408577,0.047795005986483986,0.5199335548172758,0.9260745732876157,0.35440722685005,1204,1204,0.014471698156059299,0.6711329017623229,0.5021358686331232,0.0008806133797231811,1.2610550639757367,0.20728900895318347,32452,0.0019184176746020124,0.8999999999999998,1204,0.056088815399068036,0.5307926660551817,0.0805739514348786,-0.1513049763316091,0.05405835182290911,0.5115819957465051,0.0499974246705912,0.4731576310574366,0.04593649751827332,0.4347297792654128,0.6735026488980571,20日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,-0.006867451004366618,-0.006867451004366618,0.0,0.0006640245360103885,0.0006640245360103885,0.0,13580,2018,2019,13,0.6735026488980571,0.01692093284197283,0.977708904517821,False,0.9562372258871276,0.6,5,0.43333333333333335,0.4,-0.13605445250632806,-0.039682663912566286,D,主要用途是风险、波动或流动性刻画,False
momentum_quality_20,41,动量质量,5,0.9691262367385862,0.030873763261413778,0.0017284539277625463,0.002949294460469049,0.2615365667121197,0.011276795813089557,0.49581239530988275,0.2205424733592174,0.8254486976033892,-0.005208527233306301,0.2678183130153341,-0.019447987610197826,0.4932998324958124,-0.3846743758058137,0.7004786821799363,1194,1194,-0.011891216560095511,-0.7049742270184847,0.48082627530252453,0.00033569098454763995,0.8370750629007085,0.40255037652216275,32169,0.0011746852609332771,0.7,1194,0.019752005988104414,0.23611247017815187,0.19538119087367836,-0.13635653595542507,0.01482839997808772,0.1772527872138078,0.004981187958054339,0.05954001078352992,-0.004866024061979053,-0.0581595258676758,0.8647349221757863,tsmom_20×trend_efficiency_20,趋势与动量,predictor,1,平滑趋势比震荡路径更可能持续,-0.006867451004366618,-0.0043887591266190806,0.0024786918777475377,0.0006640245360103885,0.0006652197838684276,-0.0018000055618734932,13580,2018,2019,26,0.8647349221757863,-0.005208527233306301,0.9691262367385862,False,0.9353005914703043,0.4,5,0.5517241379310345,0.6,-0.1690266394666564,-0.036776528871930725,B,相对固定基准模型提供样本外增量信息,True
vol_managed_momentum_20,42,波动率管理动量,5,0.9691262367385862,0.030873763261413778,0.0017284539277625463,-0.0011324182441167664,0.19927745968734553,-0.005682620833753416,0.5134003350083752,-0.11913957775849177,0.9051647755106719,-0.009236403834393786,0.23358754672122406,-0.039541507944415404,0.48911222780569513,-0.8290296207121983,0.40708764631172434,1194,1194,-0.007764720410803228,-0.5294697414810443,0.5964796294635422,2.649577050509588e-05,0.10331548738923686,0.9177125842366691,32169,-0.00015549993799783977,-0.39999999999999997,1194,-0.017610009752887824,-0.30372397313991856,0.20260155815247635,-0.15518011915666574,-0.022715569018330228,-0.39183868455559945,-0.03292668754921503,-0.5681228526427192,-0.04313780608009984,-0.7444557703720374,0.7064167980115217,方向×10%目标波动/20日年化波动,趋势与动量,risk,1,按波动缩放可稳定不同品种风险预算,-0.006867451004366618,0.0003881653270785489,0.007255616331445168,0.0006640245360103885,0.0006641804773568955,-0.0002348427475948766,13580,2018,2019,27,0.7064167980115217,-0.009236403834393786,0.9691262367385862,True,0.687003054620046,0.2,5,0.6206896551724138,0.8,-0.09795749519202172,-0.014605191477987894,D,主要用途是风险、波动或流动性刻画,True
tsmom_60,1,时间序列动量,5,0.9342293479556563,0.06577065204434374,0.0015794492788174992,-0.015462393970680888,0.2797806131005531,-0.05526613799049653,0.4696707105719237,-1.0429939640816492,0.296951088271839,-0.01570275796834095,0.2758374684578516,-0.05692757425643339,0.46360485268630847,-1.0964867383509955,0.2728658237921844,1154,1154,-0.01724166364560453,-0.9856710336469987,0.3242945681522347,-0.0001662387287737117,-0.4482734149610584,0.6539558846456985,30980,-0.00034316738972490254,-0.49999999999999994,1154,-0.04150578786451094,-0.5123165573674614,0.1285118019573978,-0.23801451512716554,-0.04474428527383735,-0.5523044771680579,-0.051221280092490204,-0.632281007014493,-0.05769827491114307,-0.712256124721474,0.6735026488980571,60日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,-0.006867451004366618,-0.006867451004366618,0.0,0.0006640245360103885,0.0006640245360103885,0.0,13580,2018,2019,19,0.6735026488980571,-0.01570275796834095,0.9342293479556563,False,0.9332388711438395,0.2,5,0.2413793103448276,0.0,-0.12900436518960598,-0.05110183418230854,E,开发期未发现足够稳定的方向或增量证据,False
csmom_60,2,横截面动量,5,0.9476099654309215,0.052390034569078536,0.3461079985695554,-0.01838546919071464,0.3084321709366282,-0.059609440658809215,0.48873483535528595,-1.1272010801744625,0.25965747390535265,-0.019795912634016984,0.3030991614873436,-0.06531167073137414,0.4731369150779896,-1.2554594764366218,0.20931201000256705,1154,1154,-0.024484422711023687,-1.2681704875766127,0.2047370738350146,-0.0002125465054381416,-0.4879024790179722,0.6256189184977388,31047,-0.0006142380975430815,-0.7,1154,-0.029496657174590452,-0.3181005724762259,0.11286701208981001,-0.2292908013502959,-0.03234090587925367,-0.3487691546836112,-0.038029403288580094,-0.410101498875274,-0.043717900697906514,-0.4714262310387648,0.649968873165866,60日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,-0.006867451004366618,-0.023710151626047116,-0.016842700621680497,0.0006640245360103885,0.0006662716051688525,-0.0033840152533593775,13580,2018,2019,19,0.649968873165866,-0.019795912634016984,0.9476099654309215,True,0.9262779841023777,0.2,5,0.2413793103448276,0.0,-0.18572061005437893,-0.05559310008949313,E,开发期未发现足够稳定的方向或增量证据,False
trend_efficiency_60,3,趋势效率,5,0.9342293479556563,0.06577065204434374,0.0015794492788174992,-0.0025089737533677534,0.2652271150623841,-0.009459718146757421,0.5043327556325823,-0.18144739800350732,0.8560164180329181,-0.009211339236140526,0.25191974363384395,-0.03656457847753635,0.4913344887348354,-0.7262324183339095,0.46769630144595875,1154,1154,-0.008438837207310115,-0.5327089389848798,0.5942350773328267,4.646867140542077e-05,0.1119825403938867,0.9108372502349259,30980,-0.0005106349754694479,-0.19999999999999998,1154,-0.006124466475172012,-0.08232886089416175,0.22646804835924006,-0.16500295100326523,-0.011831461293824857,-0.1590515031107028,-0.02324545093113056,-0.312506732915238,-0.03465944056843626,-0.46596452832903545,0.7261600469818833,60日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,-0.006867451004366618,-0.004210401167139634,0.0026570498372269847,0.0006640245360103885,0.0006641570249825533,-0.0001995242118022988,13580,2018,2019,37,0.7261600469818833,-0.009211339236140526,0.9342293479556563,True,0.4388894011089586,1.0,5,0.5517241379310345,0.6,-0.21573978239259967,-0.05739379655903208,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_60,24,已实现波动率,5,0.9597389438550483,0.04026105614495168,0.0023244725235427345,0.02735903539880971,0.39679481956436186,0.06895008213274306,0.549831081081081,1.3079319839063976,0.19089638003333154,0.01921960789417686,0.3637923828107225,0.05283125431512025,0.5304054054054054,1.0138209914152303,0.31066817698314875,1184,1184,0.01909058414951038,0.8354884380107273,0.40344275412191666,0.0007834729443392926,1.1224380322809973,0.2616762413678534,31836,0.0018183045267420148,0.9999999999999999,1184,0.04531747825744323,0.4070916660470272,0.029910213243546577,-0.1651496188671695,0.04456374088370586,0.4003190696430682,0.04305626613623111,0.3867734383491342,0.041548791388756355,0.3732272937097632,0.6735026488980571,60日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,-0.006867451004366618,-0.005226261570562982,0.0016411894338036366,0.0006640245360103885,0.000664113711625278,-0.00013429566236419554,13580,2018,2019,13,0.6735026488980571,0.01921960789417686,0.9597389438550483,False,0.9646974550736849,0.4,5,0.5517241379310345,0.6,-0.12288703681102535,-0.04727461736605792,D,主要用途是风险、波动或流动性刻画,True
