trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_1bps_return,net_3bps_return,net_5bps_return,test_year
2020-01-02,30,6,6,0.01977491531522233,0.0017237286017267163,0.009025593356747807,1.0,0.0,2.0,0.008825593356747806,0.008425593356747807,0.008025593356747806,2020
2020-01-03,30,6,6,0.016395585897978234,0.01017861901899775,0.0031084834394902424,1.0,0.0,2.0,0.0029084834394902423,0.0025084834394902425,0.0021084834394902423,2020
2020-01-06,30,6,6,0.0010698955413025665,-0.002486005503332183,0.0017779505223173748,1.0,0.0,2.0,0.0015779505223173747,0.0011779505223173748,0.0007779505223173748,2020
2020-01-07,30,6,6,0.017644836003321385,0.004079417977266383,0.006782709013027501,1.0,0.0,2.0,0.006582709013027501,0.006182709013027501,0.0057827090130275005,2020
2020-01-08,30,6,6,-0.0050488530652733,-0.022941418079242496,0.008946282506984598,1.0,0.0,2.0,0.008746282506984598,0.008346282506984598,0.007946282506984599,2020
2020-01-09,30,6,6,0.004994281558044133,0.003310299270791316,0.0008419911436264086,1.0,0.0,2.0,0.0006419911436264086,0.0002419911436264086,-0.00015800885637359146,2020
2020-01-10,30,6,6,0.005239963439420451,-0.002364656816987084,0.0038023101282037676,1.0,0.0,2.0,0.0036023101282037675,0.003202310128203768,0.0028023101282037676,2020
2020-01-13,30,6,6,-0.004584445358495033,-0.007140706908250767,0.0012781307748778673,1.0,0.0,2.0,0.0010781307748778672,0.0006781307748778674,0.0002781307748778673,2020
2020-01-14,30,6,6,-0.014745881231692333,-0.0021143079662810332,-0.0063157866327056495,1.0,0.0,2.0,-0.006515786632705649,-0.006915786632705649,-0.0073157866327056495,2020
2020-01-15,30,6,6,-0.0023782013240643495,0.0009853704887377997,-0.0016817859064010747,1.0,0.0,2.0,-0.0018817859064010748,-0.0022817859064010746,-0.0026817859064010748,2020
2020-01-16,30,6,6,0.006142818005109517,-0.0014850270588079,0.003813922531958709,1.0,0.0,2.0,0.0036139225319587087,0.003213922531958709,0.002813922531958709,2020
2020-01-17,30,6,6,0.0037648993298844,-0.008177711692216066,0.005971305511050233,1.0,0.0,2.0,0.005771305511050233,0.005371305511050233,0.004971305511050233,2020
2020-01-20,30,6,6,-0.00955606468789265,-0.005864101688293,-0.0018459814997998252,1.0,0.0,2.0,-0.0020459814997998253,-0.002445981499799825,-0.0028459814997998253,2020
2020-01-21,30,6,6,0.0029181501931383504,-0.00661599059128315,0.00476707039221075,1.0,0.0,2.0,0.00456707039221075,0.00416707039221075,0.00376707039221075,2020
2020-01-22,30,6,6,-0.012770633628449267,-0.010412863487193481,-0.0011788850706278926,1.0,0.0,2.0,-0.0013788850706278927,-0.0017788850706278924,-0.0021788850706278926,2020
2020-01-23,30,6,6,0.0008330361775781502,-0.0006848259061992333,0.0007589310418886917,1.0,0.0,2.0,0.0005589310418886918,0.0001589310418886918,-0.00024106895811130827,2020
2020-02-03,30,6,6,0.028245931302912686,0.015495602680987599,0.006375164310962544,1.0,0.0,2.0,0.006175164310962544,0.005775164310962544,0.005375164310962544,2020
2020-02-04,30,6,6,0.008132114138404834,0.00205803617627145,0.003037038981066692,1.0,0.0,2.0,0.002837038981066692,0.002437038981066692,0.002037038981066692,2020
2020-02-05,30,6,6,0.008660978226002267,0.003417448779850734,0.0026217647230757663,1.0,0.0,2.0,0.0024217647230757662,0.0020217647230757665,0.0016217647230757663,2020
2020-02-06,30,6,6,0.0015247768561933671,0.0037831963056208996,-0.0011292097247137664,1.0,0.0,2.0,-0.0013292097247137665,-0.0017292097247137662,-0.0021292097247137664,2020
2020-02-07,30,6,6,0.0016270107392214663,0.003529358308271333,-0.0009511737845249334,1.0,0.0,2.0,-0.0011511737845249334,-0.0015511737845249334,-0.0019511737845249334,2020
2020-02-10,30,6,6,0.004180045535253183,0.0019600284465209833,0.0011100085443661,1.0,0.0,2.0,0.0009100085443661,0.0005100085443661,0.00011000854436609992,2020
2020-02-11,30,6,6,-0.00253540566750125,-0.00021866353946684968,-0.0011583710640172002,1.0,0.0,2.0,-0.0013583710640172003,-0.0017583710640172003,-0.0021583710640172005,2020
2020-02-12,30,6,6,-0.0025869992222146165,-0.004951833750427099,0.0011824172641062413,1.0,0.0,2.0,0.0009824172641062412,0.0005824172641062413,0.00018241726410624126,2020
2020-02-13,30,6,6,-0.001529920134594167,0.0008284135991610832,-0.001179166866877625,1.0,0.0,2.0,-0.001379166866877625,-0.0017791668668776248,-0.002179166866877625,2020
2020-02-14,30,6,6,0.010816913486757266,0.00286571464184155,0.0039755994224578576,1.0,0.0,2.0,0.0037755994224578575,0.0033755994224578577,0.0029755994224578575,2020
2020-02-17,30,6,6,-0.0062437059532711335,-0.0077054019597032,0.0007308480032160334,1.0,0.0,2.0,0.0005308480032160334,0.00013084800321603348,-0.0002691519967839666,2020
2020-02-18,30,6,6,0.004021819822612366,0.00375902643332615,0.00013139669464310778,1.0,0.0,2.0,-6.860330535689223e-05,-0.00046860330535689217,-0.0008686033053568922,2020
2020-02-19,30,6,6,0.008888266984115016,0.006124345570027733,0.0013819607070436413,1.0,0.0,2.0,0.0011819607070436412,0.0007819607070436414,0.0003819607070436413,2020
2020-02-20,30,6,6,-0.0026367276806171327,0.0031475699584113327,-0.0028921488195142327,1.0,0.0,2.0,-0.003092148819514233,-0.0034921488195142326,-0.0038921488195142327,2020
2020-02-21,30,6,6,-0.005397981021665683,-0.005697445532613599,0.00014973225547395804,1.0,0.0,2.0,-5.026774452604197e-05,-0.0004502677445260419,-0.000850267744526042,2020
2020-02-24,30,6,6,0.009526490489492249,0.005753935740193433,0.0018862773746494079,1.0,0.0,2.0,0.0016862773746494078,0.001286277374649408,0.0008862773746494078,2020
2020-02-25,30,6,6,-0.0041597960866768995,-0.0061296073930825505,0.0009849056532028255,1.0,0.0,2.0,0.0007849056532028255,0.00038490565320282554,-1.509434679717453e-05,2020
2020-02-26,30,6,6,-0.006645070213156051,-0.0037835395617102498,-0.0014307653257229008,1.0,0.0,2.0,-0.0016307653257229009,-0.002030765325722901,-0.0024307653257229006,2020
2020-02-27,30,6,6,-0.017420940964544517,-0.010578980237217333,-0.003420980363663592,1.0,0.0,2.0,-0.003620980363663592,-0.004020980363663592,-0.004420980363663592,2020
2020-02-28,30,6,6,0.030374376682490167,0.014528846374333932,0.007922765154078117,1.0,0.0,2.0,0.007722765154078117,0.007322765154078117,0.006922765154078117,2020
