feature_name,test_year,standardized_coefficient,source_factor,usage_type,classification
tsmom_20__cs_robust_z,2021,-0.0016902633455836604,时间序列动量,predictor,B
tsmom_20__missing,2021,0.0008419815783958834,时间序列动量,quality_flag,B
csmom_20__cs_robust_z,2021,-0.00164249783779597,横截面动量,predictor,B
csmom_20__missing,2021,-0.008275485688782959,横截面动量,quality_flag,B
trend_efficiency_20__cs_robust_z,2021,0.004726310876615954,趋势效率,conditional,C
trend_efficiency_20__missing,2021,0.0008419815783958834,趋势效率,quality_flag,C
momentum_quality_20__cs_robust_z,2021,0.004322372145089459,动量质量,predictor,B
momentum_quality_20__missing,2021,0.0008419815783958834,动量质量,quality_flag,B
vol_managed_momentum_20__cs_robust_z,2021,-0.0011947113971336484,波动率管理动量,risk,D
vol_managed_momentum_20__missing,2021,0.0008419815783958834,波动率管理动量,quality_flag,D
trend_efficiency_60__cs_robust_z,2021,-0.0015559614748492108,趋势效率,conditional,C
trend_efficiency_60__missing,2021,0.0007251492061632526,趋势效率,quality_flag,C
realized_vol_60__cs_robust_z,2021,-0.0001601311354908192,已实现波动率,risk,D
realized_vol_60__missing,2021,0.00458463835988768,已实现波动率,quality_flag,D
vol_managed_momentum_60__cs_robust_z,2021,0.010214906257274557,波动率管理动量,risk,D
vol_managed_momentum_60__missing,2021,0.0007251492061632526,波动率管理动量,quality_flag,D
tsmom_120__cs_robust_z,2021,0.0030026136639336124,时间序列动量,predictor,B
tsmom_120__missing,2021,-0.0010942265285708917,时间序列动量,quality_flag,B
csmom_120__cs_robust_z,2021,0.0025138657008645757,横截面动量,predictor,B
csmom_120__missing,2021,0.002087065073676359,横截面动量,quality_flag,B
trend_efficiency_120__cs_robust_z,2021,0.0011333410412600986,趋势效率,conditional,C
trend_efficiency_120__missing,2021,-0.0010942265285708917,趋势效率,quality_flag,C
momentum_quality_120__cs_robust_z,2021,-0.001539910198732575,动量质量,predictor,B
momentum_quality_120__missing,2021,-0.0010942265285708917,动量质量,quality_flag,B
vol_managed_momentum_120__cs_robust_z,2021,-0.0009913109017469827,波动率管理动量,risk,D
vol_managed_momentum_120__missing,2021,-0.0010942265285708917,波动率管理动量,quality_flag,D
carry__cs_robust_z,2021,0.00487027482847241,Carry,predictor,A
carry__missing,2021,-0.005176709713715454,Carry,quality_flag,A
curve_curvature__cs_robust_z,2021,-0.007877893260209545,期限结构曲率,predictor,B
curve_curvature__missing,2021,-0.002507666412183208,期限结构曲率,quality_flag,B
term_structure_slope__cs_robust_z,2021,0.019917429692335335,期限结构斜率,predictor,A
term_structure_slope__missing,2021,-0.005176709713715454,期限结构斜率,quality_flag,A
basis_momentum_5__cs_robust_z,2021,0.0015667906512601335,基差动量,predictor,B
basis_momentum_5__missing,2021,0.0037809047029715424,基差动量,quality_flag,B
term_structure_momentum_5__cs_robust_z,2021,0.004726033447296796,期限结构动量,predictor,B
term_structure_momentum_5__missing,2021,0.0037809047029715424,期限结构动量,quality_flag,B
term_structure_acceleration_5__cs_robust_z,2021,0.009906290811690853,期限结构加速度,predictor,B
term_structure_acceleration_5__missing,2021,0.010894017422699909,期限结构加速度,quality_flag,B
carry_change_20__cs_robust_z,2021,-0.0013350675997561578,Carry变化,predictor,B
carry_change_20__missing,2021,0.007541615829508076,Carry变化,quality_flag,B
basis_momentum_20__cs_robust_z,2021,-0.0011900071694706206,基差动量,predictor,B
basis_momentum_20__missing,2021,0.007541615829508076,基差动量,quality_flag,B
term_structure_acceleration_20__cs_robust_z,2021,0.0021992208941308974,期限结构加速度,predictor,B
term_structure_acceleration_20__missing,2021,-0.003097048969760782,期限结构加速度,quality_flag,B
carry_change_60__cs_robust_z,2021,-0.004723916062851561,Carry变化,predictor,B
carry_change_60__missing,2021,0.008184151544813289,Carry变化,quality_flag,B
basis_momentum_60__cs_robust_z,2021,-0.002569603308919265,基差动量,predictor,B
basis_momentum_60__missing,2021,0.008184151544813289,基差动量,quality_flag,B
value_120__cs_robust_z,2021,0.005938602751240415,价值因子,predictor,B
value_120__missing,2021,-0.004396527520158366,价值因子,quality_flag,B
value_252__cs_robust_z,2021,0.006693010121919789,价值因子,predictor,B
value_252__missing,2021,0.0023113752599870792,价值因子,quality_flag,B
reversal_5__cs_robust_z,2021,0.016724918306499043,短期反转,predictor,B
oi_growth_5__cs_robust_z,2021,-0.008489994020719047,持仓量增长,predictor,B
