feature_name,horizon,year,rank_ic_mean,rank_ic_days
tsmom_60,1,2016,-0.010994798456862602,244
tsmom_60,1,2017,-0.0030789429337959064,244
tsmom_60,1,2018,-0.00020596104703214183,243
tsmom_60,1,2019,-0.006667292059452954,244
tsmom_60,1,2020,0.03719402219411175,242
tsmom_60,5,2015,-0.05459667144449753,184
tsmom_60,5,2016,-0.00917722532476631,244
tsmom_60,5,2017,-0.03903300706579395,244
tsmom_60,5,2018,0.02309225706416,243
tsmom_60,5,2019,-0.0073979111147002615,244
tsmom_60,5,2020,0.0720616611494431,238
tsmom_60,20,2015,-0.12617501459892763,184
tsmom_60,20,2016,-0.0156605416441482,244
tsmom_60,20,2017,-0.04728317220120499,244
tsmom_60,20,2018,0.029862411684463623,243
tsmom_60,20,2019,-0.007867416799016572,244
tsmom_60,20,2020,0.1405177936336124,223
csmom_60,1,2015,-0.028072063381421784,184
csmom_60,1,2016,-0.00975376813126546,244
csmom_60,1,2017,-0.011713532372409128,244
csmom_60,1,2018,-0.0015206980992892984,243
csmom_60,1,2019,-0.009033523072972376,244
csmom_60,1,2020,0.028122168629191122,242
csmom_60,5,2015,-0.06060718267240007,184
csmom_60,5,2016,-0.006079685341980424,244
csmom_60,5,2017,-0.05523719449948958,244
csmom_60,5,2018,0.024964025772880604,243
csmom_60,5,2019,-0.009614659883173168,244
csmom_60,5,2020,0.053706666203745125,238
csmom_60,20,2015,-0.1048003928438711,184
csmom_60,20,2016,0.005308953341740228,244
csmom_60,20,2017,-0.07704077343421606,244
csmom_60,20,2018,0.013639583379898406,243
csmom_60,20,2019,-0.010416610586197923,244
csmom_60,20,2020,0.12304389744744498,223
trend_efficiency_60,1,2015,-0.004261753298453222,184
trend_efficiency_60,1,2016,-0.0041194138623157186,244
trend_efficiency_60,1,2017,-0.0032733168291134316,244
trend_efficiency_60,1,2018,-1.9855085649829513e-05,243
trend_efficiency_60,1,2019,0.009792910286779345,244
trend_efficiency_60,1,2020,0.002622131316419265,242
trend_efficiency_60,5,2015,-0.02201803631151457,184
trend_efficiency_60,5,2016,-0.009517704517704515,244
trend_efficiency_60,5,2017,-0.01119337857042775,244
trend_efficiency_60,5,2018,-0.0001362489740522947,243
trend_efficiency_60,5,2019,-0.008838057552020244,244
trend_efficiency_60,5,2020,-0.005858850770564067,238
trend_efficiency_60,20,2015,0.03053272814142379,184
trend_efficiency_60,20,2016,-0.06910456574391001,244
trend_efficiency_60,20,2017,-0.033103544906823594,244
trend_efficiency_60,20,2018,-0.014104717791392971,243
trend_efficiency_60,20,2019,0.015040557394994929,244
trend_efficiency_60,20,2020,9.377634342094033e-05,223
realized_vol_60,1,2015,0.0020534840997019008,214
realized_vol_60,1,2016,0.040761735301942444,244
realized_vol_60,1,2017,0.04031400714814194,244
realized_vol_60,1,2018,-0.008900909244462487,243
realized_vol_60,1,2019,0.010358415180417697,244
realized_vol_60,1,2020,-0.014716198442268713,242
realized_vol_60,5,2015,-0.013721828534912647,214
realized_vol_60,5,2016,0.07398326627834824,244
realized_vol_60,5,2017,0.045823675413839346,244
realized_vol_60,5,2018,-0.005731411265681167,243
realized_vol_60,5,2019,-0.0003387260312076567,244
realized_vol_60,5,2020,-0.0318045126838277,238
realized_vol_60,20,2015,-0.01977867926466057,214
realized_vol_60,20,2016,0.11794201245020916,244
realized_vol_60,20,2017,0.0686955303348746,244
realized_vol_60,20,2018,0.02294548395016679,243
realized_vol_60,20,2019,-0.025118217628110222,244
realized_vol_60,20,2020,-0.060148616977081085,223
momentum_quality_60,1,2015,-0.028090654538862725,184
momentum_quality_60,1,2016,-0.010425758001057326,244
momentum_quality_60,1,2017,-0.003921126961637033,244
momentum_quality_60,1,2018,-0.00020601702005904453,243
momentum_quality_60,1,2019,-0.005981284524967409,244
momentum_quality_60,1,2020,0.03761858990553229,242
momentum_quality_60,5,2015,-0.05382651165259861,184
momentum_quality_60,5,2016,-0.008167097019556037,244
momentum_quality_60,5,2017,-0.04019355871814888,244
momentum_quality_60,5,2018,0.02163119664183947,243
momentum_quality_60,5,2019,-0.007109433183486321,244
momentum_quality_60,5,2020,0.07102262484526625,238
momentum_quality_60,20,2015,-0.12561912724956203,184
momentum_quality_60,20,2016,-0.014532216417462317,244
momentum_quality_60,20,2017,-0.048165896034748495,244
momentum_quality_60,20,2018,0.028529910718075892,243
momentum_quality_60,20,2019,-0.00831583622708552,244
momentum_quality_60,20,2020,0.1358092378249304,223
vol_managed_momentum_60,1,2015,-0.01168367575846933,184
vol_managed_momentum_60,1,2016,-0.009917363925888207,244
vol_managed_momentum_60,1,2017,0.011885172371775,244
vol_managed_momentum_60,1,2018,0.006366712342699729,243
vol_managed_momentum_60,1,2019,0.009210673169362197,244
vol_managed_momentum_60,1,2020,0.0446030470814675,242
vol_managed_momentum_60,5,2015,-0.03548607793173011,184
vol_managed_momentum_60,5,2016,-0.012673792509858083,244
vol_managed_momentum_60,5,2017,0.006540162933605556,244
vol_managed_momentum_60,5,2018,0.04801109868798247,243
vol_managed_momentum_60,5,2019,0.007246493849094189,244
vol_managed_momentum_60,5,2020,0.09404099793421261,238
vol_managed_momentum_60,20,2015,-0.13381602696820089,184
vol_managed_momentum_60,20,2016,0.006025040533237253,244
vol_managed_momentum_60,20,2017,0.018425108589043015,244
vol_managed_momentum_60,20,2018,0.08850228528389448,243
vol_managed_momentum_60,20,2019,0.004413084246323363,244
vol_managed_momentum_60,20,2020,0.14657776916340243,223
tsmom_120,1,2015,-0.031186119858755492,124
tsmom_120,1,2016,-0.01777253457560678,244
tsmom_120,1,2017,0.007792172723622315,244
tsmom_120,1,2018,-0.005108424292295919,243
tsmom_120,1,2019,0.003303003195092034,244
tsmom_120,1,2020,0.03421882457016904,242
tsmom_120,5,2015,-0.05005967151128442,124
tsmom_120,5,2016,-0.0071443583738665705,244
tsmom_120,5,2017,-0.012825016513541104,244
tsmom_120,5,2018,0.018529247111622592,243
tsmom_120,5,2019,0.01971049018816119,244
