feature_name,source_factor_id,source_factor,horizon,coverage,missing_rate,stale_rate,ic_mean,ic_std,icir,ic_hit_rate,ic_t_nw,ic_p_nw,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_hit_rate,rank_ic_t_nw,rank_ic_p_nw,ic_days,rank_ic_days,nonoverlap_rank_ic_mean,nonoverlap_rank_ic_t,nonoverlap_rank_ic_p,pooled_beta,pooled_t_two_way_cluster,pooled_p_two_way_cluster,pooled_observations,group_spread,group_monotonicity,group_days,gross_annual_return,gross_sharpe,average_one_way_turnover,gross_max_drawdown,net_1bps_annual_return,net_1bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,rank_ic_q_bh,transformation,category,usage_type,expected_direction,economic_meaning,baseline_rank_ic,candidate_rank_ic,delta_rank_ic,baseline_mse,candidate_mse,mse_reduction,oos_rows,inner_oos_first_year,inner_oos_last_year,correlation_cluster,rank_ic_q_bh_cluster,rank_ic_mean_cluster,coverage_cluster,cluster_representative,max_abs_factor_correlation,year_direction_consistency,year_count,product_direction_consistency,sector_direction_consistency,worst_product_correlation,worst_sector_correlation,classification,classification_reason,enter_ml
tsmom_20,1,时间序列动量,5,0.9745874749057435,0.02541252509425651,0.0014444498849336533,0.014410105123130372,0.2696767342163655,0.05343473609246891,0.5247042449547669,1.145981103135412,0.2518029710661681,0.008226750072804954,0.27055118786941457,0.030407369997487183,0.5121781489213639,0.6606205608780394,0.5088556798612736,1437,1437,0.005645458815995525,0.35593374245408294,0.7218901855689811,0.0006259894919401025,1.657060072363005,0.09750733049780035,39452,0.0018358797412570094,0.8999999999999998,1437,0.03780373260600368,0.4509070053501537,0.1948993754337266,-0.14396942481952157,0.032892268345073764,0.39231065947915905,0.02306933982321395,0.27512785219851976,0.01324641130135413,0.1579625941584826,0.7159703491569955,20日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,-0.008373426618557226,-0.002661005447273713,0.005712421171283513,0.0007620981763656543,0.0007618463022640374,0.000330500858587576,20870,2018,2020,20,0.7159703491569955,0.008226750072804954,0.9745874749057435,False,0.9345827255012045,0.5,6,0.5,0.8,-0.09183999729407868,-0.018937166217779185,B,相对固定基准模型提供样本外增量信息,True
csmom_20,2,横截面动量,5,0.9853106791362679,0.014689320863732092,0.2403172893306566,0.015597881855178236,0.30588560267709,0.050992533544131,0.5323590814196242,1.102335274255999,0.2703159394001513,0.008954969584974349,0.2988451740370071,0.02996524743566855,0.5281837160751566,0.6524935317780449,0.5140828441839407,1437,1437,0.0025264895467898793,0.14621652854670802,0.883750457895418,0.0006411453175152889,1.6050401486106167,0.10848496940096015,39489,0.002148147854910241,0.7,1437,0.03205944935280668,0.3341262432983919,0.18495257922738836,-0.13493121137532704,0.02739864435627649,0.2855201397971362,0.01807703436321613,0.18833773250979427,0.00875542437015575,0.09119788529404589,0.7159703491569955,20日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,-0.008373426618557226,0.001317390432223002,0.009690817050780228,0.0007620981763656543,0.0007618783117083096,0.00028849912539252,20870,2018,2020,20,0.7159703491569955,0.008954969584974349,0.9853106791362679,True,0.9460774209969594,0.6666666666666666,6,0.5,0.4,-0.11564727060310792,-0.0322217205969134,B,相对固定基准模型提供样本外增量信息,True
trend_efficiency_20,3,趋势效率,5,0.9745874749057435,0.02541252509425651,0.0014444498849336533,0.004763338689262222,0.2526389570918519,0.018854331667979517,0.4989561586638831,0.4219579839928463,0.6730556856456767,0.004012916379614706,0.24561441418375785,0.016338277185199805,0.5038274182324287,0.37682949668373356,0.7063003187170542,1437,1437,-0.006590758525315442,-0.4453080774730135,0.6560971313223396,0.00029091871918526856,0.7364556316765436,0.461453459412396,39452,0.0005402160302083376,0.7999999999999999,1437,0.00566009004417495,0.0769602042990793,0.345176960444136,-0.2414982661925119,-0.0030383693590172746,-0.041308385932634514,-0.020435288165401733,-0.27776391838459236,-0.037832206971786186,-0.5140885638567748,0.8271802370529676,20日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,-0.008373426618557226,-0.010996296176089817,-0.002622869557532591,0.0007620981763656543,0.0007623585573958534,-0.0003416633686762545,20870,2018,2020,40,0.8271802370529676,0.004012916379614706,0.9745874749057435,True,0.29410761106778627,0.5,6,0.5,0.6,-0.10144556118270298,-0.03543752831336924,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_20,24,已实现波动率,5,0.981687313323214,0.018312686676785983,0.001762718503647848,0.02127988694514342,0.3774399687791151,0.05637952709135795,0.5169315825846579,1.1873607409178961,0.23508535856039758,0.013252650395102308,0.3425275993694861,0.03869075198464989,0.5058742225293711,0.8257847423920306,0.40892621069160495,1447,1447,0.010631059993071425,0.5617317377623007,0.5742988071110573,0.0007115129997428108,1.1673781919653003,0.2430576740996453,39742,0.0015962179179911866,0.9999999999999999,1447,0.050247937880888945,0.4816199357594355,0.08040431886055595,-0.1513049763316091,0.048221749045602946,0.4622062466101297,0.04416937137503092,0.4233752774096244,0.04011699370445889,0.38454007324378503,0.7159703491569955,20日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,-0.008373426618557226,-0.008373426618557226,0.0,0.0007620981763656543,0.0007620981763656543,0.0,20870,2018,2020,34,0.7159703491569955,0.013252650395102308,0.981687313323214,False,0.9492743054164543,0.5,6,0.5333333333333333,0.6,-0.11374126624117487,-0.02479718777541064,D,主要用途是风险、波动或流动性刻画,False
momentum_quality_20,41,动量质量,5,0.9745874749057435,0.02541252509425651,0.0014199676834940997,0.014606228054585708,0.2638866667657471,0.055350382926135845,0.523312456506611,1.193218923795461,0.23278364524081652,0.008469114462296402,0.27069692379718724,0.03128633433840449,0.5080027835768963,0.6795618889157173,0.49678190794825305,1437,1437,0.004778010195835557,0.30024285200915285,0.7639919207771936,0.0006064822945336,1.4297263411755476,0.1527955770158269,39452,0.0019881133216325176,0.8999999999999998,1437,0.0400229785551647,0.47871128637944,0.19425167707610458,-0.13635653595542507,0.03512783629284684,0.42015195670719646,0.025337551768211185,0.30303744846357034,0.015547267243575504,0.185932787789321,0.7159703491569955,tsmom_20×trend_efficiency_20,趋势与动量,predictor,1,平滑趋势比震荡路径更可能持续,-0.008373426618557226,0.0004953729013412203,0.008868799519898446,0.0007620981763656543,0.0007621599584429337,-8.106839669144981e-05,20870,2018,2020,20,0.7159703491569955,0.008469114462296402,0.9745874749057435,False,0.9345827255012045,0.5,6,0.5,0.8,-0.09201332313609066,-0.018646130118774272,B,相对固定基准模型提供样本外增量信息,True
vol_managed_momentum_20,42,波动率管理动量,5,0.9745874749057435,0.02541252509425651,0.0014199676834940997,0.011747510779169319,0.20249409889684786,0.0580140895125719,0.5274878218510787,1.320259270385562,0.18674846913650978,0.008898469103498584,0.2362434865474564,0.03766651615900135,0.5135699373695198,0.8525582507004663,0.39390432303058076,1437,1437,0.009918124886724257,0.7292350971523434,0.4658578656682145,0.0004509302281767788,1.574273610553203,0.11542420791728959,39452,0.0014284226017386985,0.0,1437,0.02962609706664455,0.502151576926913,0.2029493407356003,-0.16534500596913393,0.024511773680107426,0.4155054411113471,0.014283126907033167,0.24215387439409025,0.004054480133958918,0.06874588958110037,0.7159703491569955,方向×10%目标波动/20日年化波动,趋势与动量,risk,1,按波动缩放可稳定不同品种风险预算,-0.008373426618557226,-0.00985739093521687,-0.0014839643166596438,0.0007620981763656543,0.000762605146233599,-0.0006652290789650766,20870,2018,2020,21,0.7159703491569955,0.008898469103498584,0.9745874749057435,True,0.6888996098805119,0.3333333333333333,6,0.6666666666666666,1.0,-0.0627239472449274,0.0020046567647013544,D,主要用途是风险、波动或流动性刻画,True
tsmom_60,1,时间序列动量,5,0.9449395289624443,0.055060471037555736,0.0013954854820545464,0.001219269619181294,0.28251410430888446,0.0043157831789106555,0.5082319255547602,0.09055135206521649,0.9278490884758017,-0.0006099361065946854,0.27847213132064474,-0.0021902949630976856,0.49749463135289906,-0.04673613513920412,0.9627235301242301,1397,1397,-0.001705076691410712,-0.10643280398734997,0.9152389670665495,0.00024406201776318773,0.6633584981375932,0.5071009793119305,38223,0.0004925635864637953,0.49999999999999994,1397,-0.012608384308904534,-0.1497248912690496,0.12542231739233883,-0.23801451512716554,-0.015769026707191474,-0.1872620935073462,-0.022090311503765354,-0.2623398910658627,-0.028411596300339247,-0.33742029584401095,0.9627235301242302,60日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,-0.008373426618557226,-0.008373426618557226,0.0,0.0007620981763656543,0.0007620981763656543,0.0,20870,2018,2020,24,0.9627235301242302,-0.0006099361065946854,0.9449395289624443,False,0.9337548750716536,0.3333333333333333,6,0.3,0.4,-0.19942313645944118,-0.037996396928300154,E,开发期未发现足够稳定的方向或增量证据,False
csmom_60,2,横截面动量,5,0.9559320374088038,0.044067962591196164,0.35100132203887774,-0.004179495188320496,0.3089353241044671,-0.013528706050160813,0.5125268432355047,-0.28420397160723626,0.7762540720079256,-0.006879436281484053,0.30140560777044334,-0.022824513227781656,0.49821045096635647,-0.48692276460146183,0.6263130658092348,1397,1397,-0.009967644922833226,-0.5737340230921673,0.5661478012042336,0.0001010541514106154,0.2457052354181916,0.8059104191435876,38290,0.0002961437709248695,0.19999999999999998,1397,-0.0037238417641807303,-0.03883419333397257,0.11102783725910065,-0.2292908013502959,-0.006521743263110089,-0.06801289087873351,-0.012117546260968741,-0.12637138486554092,-0.017713349258827414,-0.1847302638523406,0.7698431433905178,60日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,-0.008373426618557226,-0.017907767990940866,-0.00953434137238364,0.0007620981763656543,0.0007635289718129011,-0.0018774424235864819,20870,2018,2020,24,0.7698431433905178,-0.006879436281484053,0.9559320374088038,True,0.9252174728664921,0.3333333333333333,6,0.26666666666666666,0.0,-0.27404977805875674,-0.04821958537635933,E,开发期未发现足够稳定的方向或增量证据,False
trend_efficiency_60,3,趋势效率,5,0.9449395289624443,0.055060471037555736,0.0013954854820545464,-0.003737684495802384,0.2688173813342918,-0.01390417716760038,0.49677881173944166,-0.29475555568672357,0.7681806201633702,-0.00908290907774148,0.25636230761403034,-0.03542997081855096,0.4889047959914102,-0.7740989326852238,0.43887228860813987,1397,1397,-0.00910949478333874,-0.6294559531189803,0.5290505965734903,1.4648371034885758e-05,0.04031684775821059,0.9678405221303791,38223,-0.0003741579170647292,-0.3,1397,0.003474021268947872,0.044399492559215756,0.21921246728527244,-0.1657869610155387,-0.002050132906641005,-0.02620095852633293,-0.013098441257818718,-0.16738859677675455,-0.02414674960899646,-0.30854970067899684,0.7159703491569955,60日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,-0.008373426618557226,-0.005869882417924301,0.002503544200632925,0.0007620981763656543,0.0007621983168372661,-0.00013140101199216414,20870,2018,2020,38,0.7159703491569955,-0.00908290907774148,0.9449395289624443,True,0.4291499581785335,1.0,6,0.4666666666666667,0.6,-0.1351242797250363,-0.04039460994463072,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_60,24,已实现波动率,5,0.9666307594378887,0.033369240562111324,0.002032022719482936,0.016383215608944394,0.38552629658349896,0.042495714959345315,0.52697967764541,0.8893837448523828,0.3737968779759343,0.012089394785211129,0.35030999824181275,0.03451056163365921,0.5073580939032937,0.7304446344092979,0.4651184437885275,1427,1427,0.012051396831494372,0.6065104774257978,0.5441758270264945,0.00047338538963831786,0.7559913221808973,0.44965439859455225,39109,0.0013464111075900864,0.9999999999999999,1427,0.032545763191772284,0.30021795187413836,0.029885860703470764,-0.16915123404802113,0.031792639502044834,0.2932708732466747,0.030286392122589913,0.2793762399750344,0.028780144743134988,0.2654810485615366,0.7159703491569955,60日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,-0.008373426618557226,-0.007041131082402996,0.0013322955361542302,0.0007620981763656543,0.0007621374947810969,-5.1592323222888616e-05,20870,2018,2020,34,0.7159703491569955,0.012089394785211129,0.9666307594378887,False,0.9556644769130342,0.3333333333333333,6,0.6333333333333333,0.8,-0.15801133575630677,-0.038299809412233946,D,主要用途是风险、波动或流动性刻画,True
