feature_name,product,correlation,observations
tsmom_20,AG,-0.07563381284288886,1437
tsmom_20,AL,0.1888711156884159,1437
tsmom_20,AU,-0.06436442215328705,1437
tsmom_20,BU,0.031184958641050982,1437
tsmom_20,C,-0.02056252724657697,1437
tsmom_20,CF,-0.08040634363322927,1437
tsmom_20,CU,0.014665319486235028,1437
tsmom_20,EG,-0.0014851444643539896,477
tsmom_20,FG,-0.07279716532742124,1437
tsmom_20,FU,-0.003916711084422597,780
tsmom_20,HC,0.1029972440038524,1437
tsmom_20,I,0.10445672766774519,1437
tsmom_20,J,0.1378219279191749,1437
tsmom_20,JM,0.031357586893403906,1437
tsmom_20,M,-0.03172557263627045,1437
tsmom_20,MA,0.015592964569003134,1437
tsmom_20,NI,-0.009022162184790402,1383
tsmom_20,OI,0.0127235200845581,1437
tsmom_20,P,0.04117031865315145,1437
tsmom_20,PP,-0.01383264370056933,1437
tsmom_20,RB,0.08039854251326628,1437
tsmom_20,RM,-0.09183999729407868,1437
tsmom_20,RU,-0.012864336223340904,1437
tsmom_20,SA,0.10239515764583437,236
tsmom_20,SC,0.047896734178151164,651
tsmom_20,SR,-0.018785767310065187,1437
tsmom_20,TA,-0.04166353096587392,1437
tsmom_20,V,0.0155379824229094,1437
tsmom_20,Y,0.026895172350581194,1437
tsmom_20,ZN,-0.011413446048026275,1437
csmom_20,AG,-0.07828645350918095,1437
csmom_20,AL,0.10113650320984761,1437
csmom_20,AU,-0.04637016426745823,1437
csmom_20,BU,0.02410189587367042,1437
csmom_20,C,-0.06916883131502734,1437
csmom_20,CF,-0.11564727060310792,1437
csmom_20,CU,-0.056960305336433,1437
csmom_20,EG,-0.05541726687954024,477
csmom_20,FG,-0.10912304628053539,1437
csmom_20,FU,-0.02638615007147684,817
csmom_20,HC,0.046929151215950676,1437
csmom_20,I,0.07874942647104782,1437
csmom_20,J,0.08533497188935855,1437
csmom_20,JM,0.004731222307080848,1437
csmom_20,M,0.011284457191409197,1437
csmom_20,MA,-0.00858202945247548,1437
csmom_20,NI,-0.04303689109889636,1383
csmom_20,OI,-0.03653796133221713,1437
csmom_20,P,0.017549005573432135,1437
csmom_20,PP,-0.05414588307062034,1437
csmom_20,RB,0.008502494795688544,1437
csmom_20,RM,-0.04569655995952923,1437
csmom_20,RU,0.0060267004723127205,1437
csmom_20,SA,0.04521953456383582,236
csmom_20,SC,0.06068995802906526,651
csmom_20,SR,0.03815869325441972,1437
csmom_20,TA,-0.04248389752196974,1437
csmom_20,V,0.003851689247540592,1437
csmom_20,Y,0.0351931095606971,1437
csmom_20,ZN,-0.07406139257844792,1437
trend_efficiency_20,AG,-0.0024295118911142467,1437
trend_efficiency_20,AL,-0.04423822641351733,1437
trend_efficiency_20,AU,0.06982503340571519,1437
trend_efficiency_20,BU,-0.054967118387201815,1437
trend_efficiency_20,C,-0.05418283348796393,1437
trend_efficiency_20,CF,-0.040109601743244676,1437
trend_efficiency_20,CU,0.05525104145335409,1437
trend_efficiency_20,EG,-0.00907141099117471,477
trend_efficiency_20,FG,-0.05120048831139005,1437
trend_efficiency_20,FU,0.08915155361924752,780
trend_efficiency_20,HC,0.03840044147539801,1437
trend_efficiency_20,I,0.05168271297243537,1437
trend_efficiency_20,J,0.0975751315333006,1437
trend_efficiency_20,JM,0.011612756624281871,1437
trend_efficiency_20,M,-0.008044488683513401,1437
trend_efficiency_20,MA,-0.05472381303523402,1437
trend_efficiency_20,NI,0.03815627076384154,1383
trend_efficiency_20,OI,-0.026276167345578954,1437
trend_efficiency_20,P,-0.050669699046628,1437
trend_efficiency_20,PP,0.013382222975340845,1437
trend_efficiency_20,RB,0.01176806440060369,1437
trend_efficiency_20,RM,-0.039217665059238654,1437
trend_efficiency_20,RU,-0.09493771769800109,1437
trend_efficiency_20,SA,0.008927862252187687,236
trend_efficiency_20,SC,-0.04650933076422885,651
trend_efficiency_20,SR,0.011907368070220728,1437
trend_efficiency_20,TA,0.022461310470147655,1437
trend_efficiency_20,V,0.03640015986053586,1437
trend_efficiency_20,Y,-0.10144556118270298,1437
trend_efficiency_20,ZN,0.007269276115730995,1437
realized_vol_20,AG,0.05289913821223818,1447
realized_vol_20,AL,-8.533206982696596e-05,1447
realized_vol_20,AU,0.04438298614894094,1447
realized_vol_20,BU,0.012696841260813463,1447
realized_vol_20,C,0.014522164252817243,1447
realized_vol_20,CF,-0.03425199468689487,1447
realized_vol_20,CU,-0.017595639527869533,1447
realized_vol_20,EG,-0.004966718157211981,487
realized_vol_20,FG,0.016085571504559134,1447
realized_vol_20,FU,0.09426245825598079,780
realized_vol_20,HC,0.06743691753606712,1447
realized_vol_20,I,-0.06678685789757362,1447
realized_vol_20,J,0.11549919962047281,1447
realized_vol_20,JM,0.062213663688526794,1447
realized_vol_20,M,-0.05162898562691799,1447
realized_vol_20,MA,-0.11374126624117487,1447
realized_vol_20,NI,-0.06637548621182965,1393
realized_vol_20,OI,-0.0684792208453432,1447
realized_vol_20,P,0.1047640629856388,1447
realized_vol_20,PP,0.04282593769189269,1447
realized_vol_20,RB,0.08663067218738296,1447
realized_vol_20,RM,-0.043121574966818114,1447
realized_vol_20,RU,-0.07757172721514267,1447
realized_vol_20,SA,0.12751688807590555,246
realized_vol_20,SC,-0.051851268603785854,661
realized_vol_20,SR,0.03892902531190516,1447
realized_vol_20,TA,-0.03524221220593975,1447
realized_vol_20,V,-0.012974946361365435,1447
realized_vol_20,Y,0.10830517456551396,1447
realized_vol_20,ZN,0.06267098007021078,1447
momentum_quality_20,AG,-0.07460477456686307,1437
momentum_quality_20,AL,0.18764736083421055,1437
momentum_quality_20,AU,-0.06251897103613356,1437
momentum_quality_20,BU,0.03164472100731754,1437
momentum_quality_20,C,-0.02034036603718796,1437
momentum_quality_20,CF,-0.08140865511390412,1437
momentum_quality_20,CU,0.015292519629515567,1437
momentum_quality_20,EG,-0.0017793649393127422,477
momentum_quality_20,FG,-0.07460115533765728,1437
momentum_quality_20,FU,-0.007051736253697584,780
momentum_quality_20,HC,0.10217823087068927,1437
momentum_quality_20,I,0.10501822089939836,1437
momentum_quality_20,J,0.13871703497847027,1437
momentum_quality_20,JM,0.0298612987850095,1437
momentum_quality_20,M,-0.030227743766883655,1437
momentum_quality_20,MA,0.014594335153411042,1437
momentum_quality_20,NI,-0.009185895823833655,1383
momentum_quality_20,OI,0.012721673998534805,1437
momentum_quality_20,P,0.040290275493156454,1437
momentum_quality_20,PP,-0.014660871086183391,1437
momentum_quality_20,RB,0.08082964909427057,1437
momentum_quality_20,RM,-0.09201332313609066,1437
momentum_quality_20,RU,-0.012655904416499978,1437
momentum_quality_20,SA,0.08741800453742461,236
momentum_quality_20,SC,0.047516587904476285,651
momentum_quality_20,SR,-0.015911510452700815,1437
momentum_quality_20,TA,-0.04108636723400717,1437
momentum_quality_20,V,0.015371923648142364,1437
momentum_quality_20,Y,0.02805988076245617,1437
momentum_quality_20,ZN,-0.010448135147845018,1437
vol_managed_momentum_20,AG,-0.0627239472449274,1437
vol_managed_momentum_20,AL,0.17781490448407544,1437
vol_managed_momentum_20,AU,-0.05915851617833057,1437
vol_managed_momentum_20,BU,0.098540499149107,1437
vol_managed_momentum_20,C,-0.00662868634796181,1437
vol_managed_momentum_20,CF,-0.04549881618014816,1437
