trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_1bps_return,net_3bps_return,net_5bps_return,test_year
2021-01-04,30,6,6,0.007526933909026549,-0.006180917384711084,0.006853925646868817,1.0,0.0,2.0,0.006653925646868817,0.006253925646868817,0.005853925646868817,2021
2021-01-05,30,6,6,0.002542132309010851,0.007757173639444867,-0.0026075206652170077,1.0,0.0,2.0,-0.0028075206652170078,-0.0032075206652170075,-0.0036075206652170077,2021
2021-01-06,30,6,6,0.0067761497423351495,0.01147374846093955,-0.0023487993593022,1.0,0.0,2.0,-0.0025487993593022,-0.0029487993593021997,-0.0033487993593022,2021
2021-01-07,30,6,6,-0.0013198137922166002,-0.0007836999873518498,-0.0002680569024323752,1.0,0.0,2.0,-0.00046805690243237525,-0.0008680569024323752,-0.0012680569024323752,2021
2021-01-08,30,6,6,-0.02104672477957108,-0.01997680254786272,-0.0005349611158541809,1.0,0.0,2.0,-0.0007349611158541809,-0.0011349611158541807,-0.001534961115854181,2021
2021-01-11,30,6,6,-0.0062495574942361826,0.0025695463750324507,-0.004409551934634316,1.0,0.0,2.0,-0.004609551934634316,-0.005009551934634316,-0.005409551934634316,2021
2021-01-12,30,6,6,-0.015368819637048683,0.007891004810713117,-0.011629912223880899,1.0,0.0,2.0,-0.0118299122238809,-0.012229912223880899,-0.0126299122238809,2021
2021-01-13,30,6,6,-0.007583597539731431,-0.005576745938841401,-0.001003425800445015,1.0,0.0,2.0,-0.0012034258004450151,-0.0016034258004450149,-0.002003425800445015,2021
2021-01-14,30,6,6,0.0013222635194447836,0.002001954606896283,-0.0003398455437257497,1.0,0.0,2.0,-0.0005398455437257497,-0.0009398455437257497,-0.0013398455437257499,2021
2021-01-15,30,6,6,0.011044266261751099,-0.00032862465847096717,0.005686445460111033,1.0,0.0,2.0,0.005486445460111033,0.005086445460111033,0.004686445460111033,2021
2021-01-18,30,6,6,-0.015174501688495665,-0.0015512233533976332,-0.006811639167549016,1.0,0.0,2.0,-0.0070116391675490155,-0.007411639167549016,-0.007811639167549016,2021
2021-01-19,30,6,6,0.00044389574263598394,0.00919647638267405,-0.0043762903200190335,1.0,0.0,2.0,-0.004576290320019033,-0.004976290320019033,-0.0053762903200190336,2021
2021-01-20,30,6,6,0.009536102548632982,0.004396469853635,0.002569816347498991,1.0,0.0,2.0,0.002369816347498991,0.001969816347498991,0.0015698163474989909,2021
2021-01-21,30,6,6,-0.018221282342612232,-0.012777952368203416,-0.002721664987204408,1.0,0.0,2.0,-0.002921664987204408,-0.003321664987204408,-0.003721664987204408,2021
2021-01-22,30,6,6,0.005075100767422084,-0.0024436971406361337,0.003759398954029109,1.0,0.0,2.0,0.003559398954029109,0.003159398954029109,0.002759398954029109,2021
2021-01-25,30,6,6,-0.009555421254520765,-0.004650825098455483,-0.002452298078032641,1.0,0.0,2.0,-0.002652298078032641,-0.003052298078032641,-0.003452298078032641,2021
