test_year,selected_alpha,train_start,train_end,train_rows,test_rows,test_days,pearson_ic_mean,rank_ic_mean,rank_icir,rank_ic_hit_rate,target_r2,target_mae,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_1bps_annual_return,net_1bps_annual_volatility,net_1bps_sharpe,net_1bps_max_drawdown,net_1bps_total_return,net_1bps_hit_rate,net_3bps_annual_return,net_3bps_annual_volatility,net_3bps_sharpe,net_3bps_max_drawdown,net_3bps_total_return,net_3bps_hit_rate,net_5bps_annual_return,net_5bps_annual_volatility,net_5bps_sharpe,net_5bps_max_drawdown,net_5bps_total_return,net_5bps_hit_rate,train_start_year,train_end_year,ml_feature_count
2019,100.0,2015-01-05,2018-12-27,25969,7094,244,0.018545501443379034,0.03146299408149672,0.1218005607509835,0.5573770491803278,0.00013728304986648787,0.516920733590023,0.02409268658858102,0.07859072156795262,0.3065589182528314,-0.060293028735847964,0.020558611252458947,0.5,-0.02630731341141896,0.07859072156795262,-0.3347381584818842,-0.08572446463927874,-0.028050343772509367,0.48360655737704916,-0.12710731341141895,0.07859072156795262,-1.6173323119513163,-0.15538641044528945,-0.11845865278272238,0.45901639344262296,-0.227907313411419,0.07859072156795262,-2.8999264654207484,-0.22282282645150098,-0.20048865593298404,0.4098360655737705,2015,2018,100
2020,100.0,2015-01-05,2019-12-30,33062,7290,243,0.026556148149210024,0.03500584580592578,0.1725296335605483,0.5432098765432098,0.00031192682595582166,0.5164438893110339,0.07847733962792988,0.06392249914575203,1.2276951101206295,-0.06868505000452019,0.07648638676613784,0.51440329218107,0.028077339627929878,0.06392249914575203,0.439240330136494,-0.09060391336613016,0.02542983960762668,0.49382716049382713,-0.07272266037207008,0.06392249914575203,-1.137669229831776,-0.13941013310812278,-0.0695605722124657,0.46502057613168724,-0.17352266037207015,0.06392249914575203,-2.714578789800048,-0.19802267110333216,-0.15578441758570982,0.3786008230452675,2015,2019,102
2021,100.0,2015-01-05,2020-12-30,40352,7290,243,0.031777389395788884,0.03570991391462397,0.13917771039724888,0.5596707818930041,0.00103146357101902,0.515717273940164,0.1822102086147139,0.11045501407316312,1.6496327499811068,-0.08375710524407276,0.1850682222903961,0.5473251028806584,0.13181020861471393,0.11045501407316312,1.1933383895764622,-0.08706611178793389,0.12888257688071048,0.5308641975308642,0.031010208614713933,0.11045501407316312,0.28074966876717267,-0.09365029483911802,0.024346649049996172,0.5020576131687243,-0.06978979138528613,0.11045501407316312,-0.6318390520421174,-0.13665823740898309,-0.07054525632928699,0.48148148148148145,2015,2020,106
2022,100.0,2015-01-05,2021-12-30,47642,7259,242,0.02235268408397533,0.037656857635630064,0.1431124651646717,0.5413223140495868,-0.0007229007066760218,0.51637249759085,0.16309767689780405,0.09965918365604466,1.6365544138983286,-0.09357410303346614,0.16396249965764897,0.5495867768595041,0.11269767689780406,0.09965918365604466,1.130830825252988,-0.0993751679332161,0.10899556006299571,0.5206611570247934,0.011897676897804106,0.09965918365604466,0.11938364796230673,-0.11086959357590853,0.006697155417915823,0.48760330578512395,-0.08890232310219594,0.09965918365604466,-0.8920635293283754,-0.15524376463677503,-0.08620019890540243,0.45867768595041325,2015,2021,84
2023,0.01,2015-01-05,2022-12-29,54901,7260,242,0.003312694903706113,0.009303365870878965,0.03728479844490698,0.5289256198347108,-0.0030609379364161526,0.5169571296255514,0.060742779325752554,0.0730552916466856,0.8314631008458695,-0.07681637813795017,0.057357522460612875,0.5247933884297521,0.01034277932575257,0.0730552916466856,0.1415746771058412,-0.08784419801657972,0.00740598595929054,0.5206611570247934,-0.0904572206742474,0.0730552916466856,-1.2382021703742156,-0.11505365706893722,-0.08555571689712349,0.48760330578512395,-0.19125722067424747,0.0730552916466856,-2.6179790178542732,-0.16615018198178633,-0.16997123713747964,0.45454545454545453,2015,2022,80
2024,100.0,2015-01-05,2023-12-28,62161,7260,242,0.004006913226468024,0.029097829808151274,0.12212360643189579,0.5371900826446281,-0.0004434632291407947,0.51659569358036,0.02856627187655167,0.07263531825092609,0.39328349574881166,-0.0569428927411626,0.02522737185955415,0.5,-0.021833728123448325,0.07263531825092609,-0.30059382472892177,-0.07698397312782135,-0.02321229692911686,0.4793388429752066,-0.12263372812344833,0.07263531825092609,-1.6883484656843888,-0.13602145183044823,-0.1133595330674485,0.4256198347107438,-0.22343372812344833,0.07263531825092609,-3.076103106639856,-0.20056992957808717,-0.1952183210666124,0.4049586776859504,2015,2023,65
2025,0.1,2015-01-05,2024-12-30,69421,7260,242,0.01336534902219734,0.01577831612170731,0.05878614306037747,0.512396694214876,-0.0013488093385516375,0.51717764349991,0.10304801118780718,0.08780542732959476,1.1735950079827802,-0.11114963262958633,0.09995515466793559,0.5371900826446281,0.052648011187807195,0.08780542732959476,0.599598598731063,-0.12023049566428856,0.04799927356991884,0.5289256198347108,-0.048151988812192764,0.08780542732959475,-0.5483942197723713,-0.13873343679945171,-0.048693691302440056,0.4834710743801653,-0.14895198881219285,0.08780542732959476,-1.6963870382758073,-0.15984866335152448,-0.13649879449163316,0.4462809917355372,2015,2024,65
