trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_0bps_return,net_3bps_return,net_5bps_return,net_10bps_return,feature_name,fold_id,test_year
2025-01-02,30,6,6,-0.011395147558287065,-0.017788274388208347,0.003196563414960641,1.0,0.0,2.0,0.003196563414960641,0.002596563414960641,0.002196563414960641,0.0011965634149606408,tsmom_60__csz,fold_2025,2025
2025-01-09,30,6,6,0.03572358059782107,0.04164975430011426,-0.0029630868511465944,1.0,0.0,2.0,-0.0029630868511465944,-0.003563086851146594,-0.003963086851146594,-0.004963086851146594,tsmom_60__csz,fold_2025,2025
2025-01-16,30,6,6,-0.011393663912265433,-0.012739608526134016,0.0006729723069342913,1.0,0.0,2.0,0.0006729723069342913,7.297230693429138e-05,-0.0003270276930657087,-0.0013270276930657087,tsmom_60__csz,fold_2025,2025
2025-01-23,30,6,6,0.0079362901978796,0.018699446581237567,-0.005381578191678983,1.0,0.0,2.0,-0.005381578191678983,-0.005981578191678983,-0.006381578191678983,-0.007381578191678983,tsmom_60__csz,fold_2025,2025
2025-02-07,30,6,6,-0.0026609779993093507,-0.02125101625628438,0.009295019128487514,1.0,0.0,2.0,0.009295019128487514,0.008695019128487514,0.008295019128487513,0.007295019128487514,tsmom_60__csz,fold_2025,2025
2025-02-14,30,6,6,0.002810408986545216,0.023535953397732665,-0.010362772205593724,1.0,0.0,2.0,-0.010362772205593724,-0.010962772205593723,-0.011362772205593723,-0.012362772205593724,tsmom_60__csz,fold_2025,2025
2025-02-21,30,6,6,-0.03775571774229625,-0.013327420872274133,-0.01221414843501106,1.0,0.0,2.0,-0.01221414843501106,-0.01281414843501106,-0.01321414843501106,-0.01421414843501106,tsmom_60__csz,fold_2025,2025
2025-02-28,30,6,6,-0.014688911952039384,-0.006297789930887317,-0.0041955610105760335,1.0,0.0,2.0,-0.0041955610105760335,-0.004795561010576033,-0.0051955610105760336,-0.006195561010576034,tsmom_60__csz,fold_2025,2025
2025-03-07,30,6,6,0.023309102750813618,0.00272634382316185,0.010291379463825884,1.0,0.0,2.0,0.010291379463825884,0.009691379463825884,0.009291379463825883,0.008291379463825884,tsmom_60__csz,fold_2025,2025
2025-03-14,30,6,6,-0.0082874784161277,-0.028404346652963746,0.010058434118418023,1.0,0.0,2.0,0.010058434118418023,0.009458434118418024,0.009058434118418023,0.008058434118418023,tsmom_60__csz,fold_2025,2025
2025-03-21,30,6,6,-0.005562976974535984,0.014365045488607167,-0.009964011231571576,1.0,0.0,2.0,-0.009964011231571576,-0.010564011231571576,-0.010964011231571577,-0.011964011231571576,tsmom_60__csz,fold_2025,2025
2025-03-28,30,6,6,-0.06327969398011718,-0.0386729595463126,-0.01230336721690229,1.0,0.0,2.0,-0.01230336721690229,-0.01290336721690229,-0.013303367216902291,-0.01430336721690229,tsmom_60__csz,fold_2025,2025
2025-04-07,30,6,6,0.009729878483860333,-0.012838544076195064,0.011284211280027698,1.0,0.0,2.0,0.011284211280027698,0.010684211280027698,0.010284211280027697,0.009284211280027698,tsmom_60__csz,fold_2025,2025
2025-04-14,30,6,6,0.0037751952777818156,-0.0188754119550974,0.011325303616439608,1.0,0.0,2.0,0.011325303616439608,0.010725303616439608,0.010325303616439609,0.009325303616439608,tsmom_60__csz,fold_2025,2025
2025-04-21,30,6,6,-0.010070959963967167,0.004337922024284717,-0.0072044409941259425,1.0,0.0,2.0,-0.0072044409941259425,-0.007804440994125942,-0.008204440994125942,-0.009204440994125943,tsmom_60__csz,fold_2025,2025
2025-04-28,30,6,6,-0.00538070839599875,-0.020192962218503818,0.007406126911252534,1.0,0.0,2.0,0.007406126911252534,0.006806126911252534,0.006406126911252534,0.005406126911252534,tsmom_60__csz,fold_2025,2025
2025-05-08,30,6,6,-0.01363405872459255,0.02511545560661685,-0.0193747571656047,1.0,0.0,2.0,-0.0193747571656047,-0.0199747571656047,-0.0203747571656047,-0.021374757165604698,tsmom_60__csz,fold_2025,2025
2025-05-15,30,6,6,0.0009907646054527995,-0.03014112471723801,0.015565944661345405,1.0,0.0,2.0,0.015565944661345405,0.014965944661345406,0.014565944661345406,0.013565944661345405,tsmom_60__csz,fold_2025,2025
2025-05-22,30,6,6,0.00010314355062001665,-0.05077626815138562,0.025439705851002817,1.0,0.0,2.0,0.025439705851002817,0.024839705851002817,0.024439705851002816,0.023439705851002815,tsmom_60__csz,fold_2025,2025
2025-05-29,30,6,6,0.016977807666104933,0.0057942424382758,0.005591782613914567,1.0,0.0,2.0,0.005591782613914567,0.004991782613914567,0.004591782613914567,0.0035917826139145667,tsmom_60__csz,fold_2025,2025
2025-06-06,30,6,6,0.016664926477006348,-0.0012552103536439838,0.008960068415325166,1.0,0.0,2.0,0.008960068415325166,0.008360068415325167,0.007960068415325167,0.006960068415325166,tsmom_60__csz,fold_2025,2025
2025-06-13,30,6,6,0.011119966523841984,0.017796627048853784,-0.0033383302625059003,1.0,0.0,2.0,-0.0033383302625059003,-0.0039383302625059,-0.0043383302625059,-0.0053383302625059,tsmom_60__csz,fold_2025,2025
