month,rebalance_days,gross_return_total,gross_return_hit_rate,net_0bps_return_total,net_0bps_return_hit_rate,net_3bps_return_total,net_3bps_return_hit_rate,net_5bps_return_total,net_5bps_return_hit_rate,net_10bps_return_total,net_10bps_return_hit_rate
2025-01,4,-0.020237853825310737,0.25,-0.020237853825310737,0.25,-0.022599230004942905,0.25,-0.02417110770094455,0.25,-0.028092507257457933,0.0
2025-02,4,-0.018726650626135877,0.25,-0.018726650626135877,0.25,-0.021090777467649757,0.25,-0.022664487082673657,0.25,-0.026590459946649214,0.25
2025-03,4,-0.0046423147253154,0.25,-0.0046423147253154,0.25,-0.007031964502260513,0.25,-0.008622672266501041,0.25,-0.012591080550079403,0.25
2025-04,4,-0.013037358622929096,0.25,-0.013037358622929096,0.25,-0.015411718832026078,0.25,-0.01699224387045639,0.25,-0.020935231433099055,0.0
2025-05,4,-0.005578259551089371,0.25,-0.005578259551089371,0.25,-0.007966089965520617,0.25,-0.009555586125385873,0.25,-0.013520969958654705,0.25
2025-06,4,0.007266740256879789,0.5,0.007266740256879789,0.5,0.00485565548154554,0.5,0.0032506720157650104,0.5,-0.0007533755142019594,0.5
2025-07,4,0.007928331783417786,0.75,0.007928331783417786,0.75,0.005516202000363846,0.75,0.003910522463228094,0.75,-9.52631447058705e-05,0.5
2025-08,5,-0.024033865226509632,0.2,-0.024033865226509632,0.2,-0.026972547707410865,0.2,-0.028927733557852497,0.2,-0.033801950551157534,0.2
2025-09,4,0.0021329893735999583,0.25,0.0021329893735999583,0.25,-0.0002687693009685299,0.25,-0.0018675416439462023,0.25,-0.005856083324087935,0.25
2025-10,3,0.005103864404508274,0.6666666666666666,0.005103864404508274,0.6666666666666666,0.0032987782780555808,0.6666666666666666,0.0020965889573656415,0.3333333333333333,-0.0009046821383847936,0.3333333333333333
2025-11,4,0.0031600873357071624,0.75,0.0031600873357071624,0.75,0.0007565433428682322,0.75,-0.0008434180636871513,0.5,-0.004834928385248127,0.5
2025-12,4,0.008004416433064598,0.75,0.008004416433064598,0.75,0.005592157714693791,0.75,0.003986392301384312,0.75,-1.9607714692781997e-05,0.75
