trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_0bps_return,net_3bps_return,net_5bps_return,net_10bps_return,fold_id,test_year
2025-01-02,30,6,6,-0.018383277037907483,0.006950744654399932,-0.012667010846153707,1.0,0.0,2.0,-0.012667010846153707,-0.013267010846153707,-0.013667010846153706,-0.014667010846153707,fold_2025,2025
2025-01-09,30,6,6,0.02348911388206855,0.020546209088049966,0.0014714523970092916,1.0,0.0,2.0,0.0014714523970092916,0.0008714523970092916,0.00047145239700929157,-0.0005285476029907085,fold_2025,2025
2025-01-16,30,6,6,-0.013751849409616884,-0.009960614122914034,-0.0018956176433514247,1.0,0.0,2.0,-0.0018956176433514247,-0.0024956176433514245,-0.0028956176433514247,-0.0038956176433514247,fold_2025,2025
2025-01-23,30,6,6,0.009044878906884284,0.023533102164621053,-0.007244111628868385,1.0,0.0,2.0,-0.007244111628868385,-0.007844111628868385,-0.008244111628868385,-0.009244111628868384,fold_2025,2025
2025-02-07,30,6,6,0.00028770703911295,0.006008461882872768,-0.002860377421879909,1.0,0.0,2.0,-0.002860377421879909,-0.0034603774218799088,-0.003860377421879909,-0.0048603774218799085,fold_2025,2025
2025-02-14,30,6,6,0.015462523821567783,0.004723487258217882,0.005369518281674951,1.0,0.0,2.0,0.005369518281674951,0.004769518281674951,0.004369518281674951,0.003369518281674951,fold_2025,2025
2025-02-21,30,6,6,-0.03075048972359726,-0.012167342487058698,-0.00929157361826928,1.0,0.0,2.0,-0.00929157361826928,-0.00989157361826928,-0.010291573618269281,-0.01129157361826928,fold_2025,2025
2025-02-28,30,6,6,-0.019298736311403848,0.004676171360475199,-0.011987453835939523,1.0,0.0,2.0,-0.011987453835939523,-0.012587453835939523,-0.012987453835939522,-0.013987453835939523,fold_2025,2025
2025-03-07,30,6,6,0.017885107716470484,0.02768774604016172,-0.004901319161845618,1.0,0.0,2.0,-0.004901319161845618,-0.005501319161845618,-0.005901319161845618,-0.006901319161845618,fold_2025,2025
2025-03-14,30,6,6,-0.010894726132830117,-0.0100049290098037,-0.0004448985615132083,1.0,0.0,2.0,-0.0004448985615132083,-0.0010448985615132082,-0.0014448985615132083,-0.0024448985615132084,fold_2025,2025
