feature_name,source_factor_id,source_factor,horizon,coverage,missing_rate,stale_rate,ic_mean,ic_std,icir,ic_hit_rate,ic_t_nw,ic_p_nw,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_hit_rate,rank_ic_t_nw,rank_ic_p_nw,ic_days,rank_ic_days,nonoverlap_rank_ic_mean,nonoverlap_rank_ic_t,nonoverlap_rank_ic_p,pooled_beta,pooled_t_two_way_cluster,pooled_p_two_way_cluster,pooled_observations,group_spread,group_monotonicity,group_days,gross_annual_return,gross_sharpe,average_one_way_turnover,gross_max_drawdown,net_1bps_annual_return,net_1bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,rank_ic_q_bh
tsmom_20,1,时间序列动量,1,0.9617186909530647,0.038281309046935275,0.002040662081475323,0.0007880651861259914,0.28322360990096146,0.002782484081752805,0.5052410901467506,0.08642910122156858,0.9311253140499911,-0.008257947682901596,0.2831579285303559,-0.029163752276907567,0.48846960167714887,-0.92115983745921,0.356966983339261,954,954,-0.008257947682901596,-0.92115983745921,0.356966983339261,5.044047585452685e-05,0.37390961515520094,0.7084715626264445,25317,0.00018961276497346456,0.7,954,0.02389120838665654,0.2801103298963542,0.19371069182389938,-0.14396942481952157,0.019009698952694273,0.22286505803551676,0.009246680084769742,0.10839248147750893,-0.0005163387831547808,-0.006051849856661041,
tsmom_20,1,时间序列动量,5,0.9617186909530647,0.038281309046935275,0.002040662081475323,0.0029426731789544925,0.27049399778964844,0.01087888530984293,0.508421052631579,0.19020878964983792,0.8491455237137082,-0.004302122680707074,0.27036225676618053,-0.015912438119747286,0.4978947368421053,-0.28205397726136533,0.7779021218490293,950,950,-0.013259543642483749,-0.6967515087442018,0.48595831755006824,0.0003348579978698236,0.7652595155585695,0.44411702617107074,25103,0.0009457514238052413,0.39999999999999997,950,,,,,,,,,,,0.9021899351770342
tsmom_20,1,时间序列动量,20,0.9617186909530647,0.038281309046935275,0.002040662081475323,0.01471174802779892,0.2706047314033019,0.05436618920706502,0.5144385026737968,0.5598215209074973,0.5756011828671305,0.0020503535229701607,0.2601017496714385,0.007882890159563227,0.4855614973262032,0.0820832498013686,0.9345805128936201,935,935,-0.01732879332292392,-0.58331575573105,0.5596807579293603,0.0011977761931610596,1.17572599690783,0.2397043866355586,24582,0.003565206805790247,0.7,935,,,,,,,,,,,
csmom_20,2,横截面动量,1,0.9782707278361424,0.02172927216385756,0.24563525054795557,0.0014625994524286184,0.31391713690743944,0.004659189577343385,0.5041928721174004,0.14347787935919068,0.8859127802034197,-0.009589243003268216,0.30874437131081234,-0.031058843154146913,0.4968553459119497,-0.9720113945240648,0.3310448799486557,954,954,-0.009589243003268216,-0.9720113945240648,0.3310448799486557,6.070584048645644e-05,0.41753447084447115,0.6762875162857034,25408,0.00028360592565540083,0.0,954,0.03573434663258049,0.3566008637234405,0.18326345213137665,-0.12721108779192802,0.031116107638869808,0.31047807623417717,0.02187962965144842,0.21826312651712212,0.01264315166402705,0.12609149373472464,
csmom_20,2,横截面动量,5,0.9782707278361424,0.02172927216385756,0.24563525054795557,0.007000588036967048,0.3139610794784939,0.022297630166756333,0.5073684210526316,0.3937728717384767,0.6937487348079265,0.0023236074270557012,0.3055236278876192,0.007605328082548149,0.5157894736842106,0.13484219590784627,0.8927366429704009,950,950,-0.013147568301833277,-0.6192229553235931,0.5357694914264787,0.0005007174812920574,1.0599480481008714,0.28916823493739796,25140,0.0019271842606629873,0.6,950,,,,,,,,,,,0.9081286540560974
csmom_20,2,横截面动量,20,0.9782707278361424,0.02172927216385756,0.24563525054795557,0.01722357961153716,0.30176898583713396,0.057075380240807126,0.5133689839572193,0.5853786922165172,0.5582931128294906,0.008165330274863747,0.2858505878676943,0.028565028799741574,0.5005347593582887,0.29860733786205274,0.7652396659618379,935,935,-0.011024324171793005,-0.32360508421374484,0.7462370382877067,0.0014775643853296517,1.283649203336851,0.19926472540926354,24602,0.004945855422520824,0.7,935,,,,,,,,,,,
trend_efficiency_20,3,趋势效率,1,0.9617186909530647,0.038281309046935275,0.002040662081475323,0.007512246638005498,0.25663003945882024,0.029272670704673837,0.5314465408805031,0.9351090069620213,0.34973212526238207,0.005658761804795849,0.24824852474427683,0.02279474494611798,0.5251572327044025,0.7378727815148503,0.46059176038560345,954,954,0.005658761804795849,0.7378727815148503,0.46059176038560345,9.110002983206322e-05,0.6754620449102364,0.49938225771424716,25317,4.864281736787403e-05,0.39999999999999997,954,0.006128994988352106,0.07898704615992956,0.34409503843466105,-0.16497392833028102,-0.002542199980201361,-0.032756493724838666,-0.01988458991730828,-0.2561150433217502,-0.0372269798544152,-0.47928274763468026,
trend_efficiency_20,3,趋势效率,5,0.9617186909530647,0.038281309046935275,0.002040662081475323,0.0072535677536502505,0.2555559139645598,0.02838348618555612,0.5105263157894737,0.5228193934525588,0.6010999424563888,0.005996271846725568,0.249293040796226,0.024053105644561357,0.5147368421052632,0.4598681709049947,0.6456108477341018,950,950,-0.007126210752345053,-0.39183214865445315,0.6951822394376235,0.00025077857432468975,0.49882634932589676,0.6179017232030077,25103,0.0002874474990969836,0.3,950,,,,,,,,,,,0.9021899351770342
trend_efficiency_20,3,趋势效率,20,0.9617186909530647,0.038281309046935275,0.002040662081475323,0.007400720329320594,0.24883639027949783,0.029741310428944744,0.4919786096256685,0.3466982886600803,0.7288179960241065,0.007251860152468668,0.23528283524605106,0.030821883563605098,0.49518716577540106,0.384641500339015,0.7005030424729745,935,935,0.020095646588676675,0.7041860961306018,0.4813168885871195,0.0006706797782580727,0.5225654748541698,0.6012766716695376,24582,0.0014391784487204297,0.6,935,,,,,,,,,,,
realized_vol_20,24,已实现波动率,1,0.9721109515531706,0.02788904844682938,0.002494142544025395,0.028186576111576996,0.3849077751419768,0.07322942775364856,0.5300829875518672,2.299309230593791,0.02148738604695901,0.0222047765413001,0.3587707714497984,0.06189126402792024,0.5238589211618258,1.9770496316047874,0.04803602035142005,964,964,0.0222047765413001,1.9770496316047874,0.04803602035142005,0.00027575627805810935,1.2681801833307766,0.20473361212607166,25591,0.000559386889287647,0.8999999999999998,964,0.07048274805024353,0.6277886919132011,0.08087828492392808,-0.13448901654135492,0.06844461527016052,0.609633495424506,0.06436834970999455,0.5733211477646156,0.06029208414982858,0.5370066663049986,
realized_vol_20,24,已实现波动率,5,0.9721109515531706,0.02788904844682938,0.002494142544025395,0.03514285421272314,0.3984746407065613,0.0881934522869738,0.5447916666666667,1.5120777777941363,0.13051407734815526,0.025464264223962498,0.36406280071062574,0.06994470232679086,0.5302083333333333,1.2192309054137178,0.22275656492473528,960,960,0.029074273627075358,1.2172494586275273,0.22350931759368797,0.0011458284583179836,1.3468123746133809,0.1780406682530964,25373,0.0023932818662642788,0.8999999999999998,960,,,,,,,,,,,0.6385317844874736
realized_vol_20,24,已实现波动率,20,0.9721109515531706,0.02788904844682938,0.002494142544025395,0.0589009091482268,0.38431602782652874,0.1532616515666458,0.5703703703703704,1.3291532246723818,0.1837974234827745,0.048747436755099585,0.3387984188994599,0.143883306520287,0.5862433862433862,1.2816574787149921,0.19996282735344073,945,945,0.05002036756347101,1.0126734701342266,0.311216153898496,0.004244784949175499,1.3474202850682955,0.17784491106600575,24852,0.010338963175906341,0.9999999999999999,945,,,,,,,,,,,
momentum_quality_20,41,动量质量,1,0.9617186909530647,0.038281309046935275,0.002002872042929484,0.0022617132538458123,0.280895806737684,0.008051787173732804,0.5052410901467506,0.25100642403651646,0.8018091424964994,-0.008686177049240722,0.2823465358809246,-0.030764241615856006,0.48846960167714887,-0.9715050065750758,0.3312968612086702,954,954,-0.008686177049240722,-0.9715050065750758,0.3312968612086702,7.509022320976677e-05,0.4889817374796185,0.6248546262505263,25317,0.0002092805880557756,0.09999999999999999,954,0.02636935409502772,0.30787689991747524,0.19404262753319357,-0.13635653595542507,0.02147947988119124,0.2507776184245619,0.01169973145351829,0.13658749665673567,0.001919983025845344,0.022412800996224336,
momentum_quality_20,41,动量质量,5,0.9617186909530647,0.038281309046935275,0.002002872042929484,0.006075383764464765,0.26374353629938835,0.023035194908315387,0.5021052631578947,0.4032006843226339,0.6868005963073476,-0.004526649515034271,0.2703807762447857,-0.016741757967793276,0.49473684210526314,-0.29704432735588776,0.7664326672400229,950,950,-0.01468480219115428,-0.771050696621194,0.44067688263896476,0.00041523812032070767,0.8085074433365269,0.418798522902593,25103,0.001061969201334671,0.39999999999999997,950,,,,,,,,,,,0.9021899351770342
momentum_quality_20,41,动量质量,20,0.9617186909530647,0.038281309046935275,0.002002872042929484,0.023283707307101123,0.26788364251597047,0.08691724171143826,0.5165775401069519,0.9188455381418843,0.3581763697244731,0.0014553884249624595,0.26013853926590225,0.0055946667074763,0.48663101604278075,0.058338642189504214,0.9534788878978542,935,935,-0.020669830699177733,-0.6867037226853276,0.49226945059606997,0.0015550868263439761,1.4723922449657274,0.1409149861271396,24582,0.003626420753939489,0.39999999999999997,935,,,,,,,,,,,
vol_managed_momentum_20,42,波动率管理动量,1,0.9617186909530647,0.038281309046935275,0.002002872042929484,-0.0038636224811357256,0.20702760453455782,-0.01866235418132752,0.5041928721174004,-0.5638828976402872,0.5728338299509242,-0.009938386609215796,0.23859695976655432,-0.04165345031612982,0.48427672955974843,-1.2726006590386283,0.2031597846229658,954,954,-0.009938386609215796,-1.2726006590386283,0.2031597846229658,-5.346253288469581e-05,-0.6298127031974138,0.528817133381943,25317,-0.0001031181152402942,-0.6,954,-0.012992882520277062,-0.21075436824062865,0.1993361285814116,-0.1439982645076714,-0.018016152960528626,-0.2922762879535889,-0.02806269384103177,-0.45537133929921186,-0.03810923472153492,-0.6185145223033415,
vol_managed_momentum_20,42,波动率管理动量,5,0.9617186909530647,0.038281309046935275,0.002002872042929484,-0.003098252799306829,0.20207362108684565,-0.01533229712340972,0.5126315789473684,-0.288862968269147,0.7726862432531141,-0.0112863436220968,0.24015477800328713,-0.04699612356637067,0.48736842105263156,-0.8792543250858509,0.37926339501853057,950,950,-0.013914062344189381,-0.857169358854964,0.39135129388295675,-6.0216338645036554e-05,-0.19588002150212852,0.8447040748762518,25103,-0.000498433680938693,-0.39999999999999997,950,,,,,,,,,,,0.7060277269722791
vol_managed_momentum_20,42,波动率管理动量,20,0.9617186909530647,0.038281309046935275,0.002002872042929484,0.0029573824208380083,0.19707827250543763,0.01500613123527562,0.509090909090909,0.16838271999068927,0.8662822014599234,-0.004735696127176859,0.23304628217158876,-0.020320839633433976,0.48877005347593583,-0.2259580137471981,0.8212340759699246,935,935,-0.016807776066763595,-0.5106811156520983,0.609574366138224,0.0005150078677273149,0.6688711230141188,0.5035776922918747,24582,0.0006940628825367855,0.09999999999999999,935,,,,,,,,,,,
tsmom_60,1,时间序列动量,1,0.9189781573577205,0.08102184264227952,0.0018517118887461264,-0.007814623751261882,0.28413406648027256,-0.02750329746821982,0.4890590809628009,-0.8205135712128494,0.41192339588666693,-0.009380418688238691,0.27690384668905094,-0.033876086592514655,0.5043763676148797,-1.0278503930617515,0.304020207398667,914,914,-0.009380418688238691,-1.0278503930617515,0.304020207398667,-0.00011544353555447323,-0.930623455197541,0.3520483772306481,24157,-0.0004013395789984305,-0.7,914,-0.05056878695380223,-0.6018438142000243,0.12698760029175785,-0.22825463043479643,-0.053768874481154534,-0.6399461556258593,-0.06016904953585912,-0.7161508472807672,-0.06656922459056372,-0.7923534571259641,
