factor_id,product,time_series_ic,time_series_rank_ic,observations
tsmom_60,AG,-0.05075381487572657,-0.07851108495876512,1448
tsmom_60,AL,-0.04991183867802474,-0.06052258560239755,1450
tsmom_60,AU,-0.04761618011019577,-0.05768068272332951,1450
tsmom_60,BU,-0.13367363585680483,-0.12590881563875952,1448
tsmom_60,C,0.051467158178967305,0.03623976085952174,1450
tsmom_60,CF,0.08015904350339587,0.044783711296535585,1448
tsmom_60,CS,-0.030651983786060166,-0.043294258895935904,1449
tsmom_60,CU,0.039562885105804114,-0.045567143753854844,1450
tsmom_60,FU,-0.08196587875060407,-0.08663971367304683,1446
tsmom_60,HC,0.0015142115755020047,0.010313315778643023,1450
tsmom_60,I,-0.0037612359088404976,0.004757736422433825,1448
tsmom_60,J,-0.017185982076774603,-0.010279064728003908,1450
tsmom_60,JM,0.03950234492447061,0.06342050179130768,1450
tsmom_60,L,-0.0551945851437017,-0.06613523870126774,1450
tsmom_60,M,0.029340916885164083,0.020164359021948523,1450
tsmom_60,MA,-0.05549176459261371,-0.05254430009371456,1448
tsmom_60,NI,-0.02262252989693407,-0.02578920771198534,1440
tsmom_60,P,0.04383395315843217,0.06243963224395061,1448
tsmom_60,PP,-0.09666216332966152,-0.07758545953550051,1450
tsmom_60,RB,-0.015374482084273226,-0.005993474732478889,1450
tsmom_60,RM,-0.007730062411919129,-0.04048021800157212,1450
tsmom_60,SA,0.014172252438372324,0.009408151107660318,1164
tsmom_60,SC,-0.026741978669805513,-0.04758504209926789,1441
tsmom_60,SF,-0.023795772562264894,-0.0670207928424659,1450
tsmom_60,SN,0.0641713028536295,0.05353751793985846,1450
tsmom_60,SR,-0.04308361156348463,-0.07071046628820675,1450
tsmom_60,TA,-0.014430811908522842,-0.03101272065919517,1446
tsmom_60,V,0.02821697365104357,0.008593923238338989,1450
tsmom_60,Y,-0.01236459524429641,0.019101422330085507,1450
tsmom_60,ZN,-0.051172338140559666,-0.05123811346815026,1450
csmom_60,AG,-0.05665827536115788,-0.07223393702192606,1448
csmom_60,AL,-0.023842422719379225,-0.027851941460040143,1450
csmom_60,AU,0.016244698258133242,-0.007322484906480492,1450
csmom_60,BU,-0.11049343592984223,-0.12114848638374996,1448
csmom_60,C,-0.0007550624869073552,-0.00907668676496791,1450
csmom_60,CF,0.104267727731679,0.09496114796785605,1448
csmom_60,CS,-0.11628526005522903,-0.10695104896532635,1449
csmom_60,CU,0.028754231351140438,-0.006760545373019421,1450
csmom_60,FU,-0.11025076156704874,-0.11434033547869998,1446
csmom_60,HC,0.0243331519478821,0.009024100271032528,1450
csmom_60,I,0.027430189923842503,0.018487203166898166,1448
csmom_60,J,-0.015679359116774975,-0.0152416930058537,1450
csmom_60,JM,0.04943430789664287,0.07246566831879839,1450
csmom_60,L,-0.06340656441987517,-0.07432425927016612,1450
csmom_60,M,0.06618980841495054,0.05389131181822136,1450
csmom_60,MA,-0.09764497958641405,-0.11241990730669946,1448
csmom_60,NI,0.045590361951915896,0.03267163709163364,1440
csmom_60,P,0.04827690583830785,0.0680269595689507,1448
csmom_60,PP,-0.0953984972045071,-0.10467221218792626,1450
csmom_60,RB,0.01729456030195305,0.0035630421295495974,1450
csmom_60,RM,0.019017492180195137,0.00437756359633317,1450
csmom_60,SA,-0.018047945063910047,-0.03503233882450205,1164
csmom_60,SC,-0.0033606045911896546,-0.03101108387395175,1441
csmom_60,SF,-0.0815153686536444,-0.11553255415733518,1450
csmom_60,SN,0.07356153156496872,0.09324962226709534,1450
csmom_60,SR,-0.06237421759551425,-0.06597343979048048,1450
csmom_60,TA,-0.026668330031838133,-0.028820528407908542,1446
csmom_60,V,-0.03635496771182689,-0.04901197782522912,1450
csmom_60,Y,-0.0286407471877156,-0.014855008187108837,1450
csmom_60,ZN,-0.02976881967050431,-0.028593698074051887,1450
trend_efficiency_60,AG,0.07385451670119933,0.013779030636651604,1448
trend_efficiency_60,AL,-0.033088327883623564,-0.009165421821873306,1450
trend_efficiency_60,AU,-0.04857003085326113,-0.04737028007971282,1450
trend_efficiency_60,BU,0.0339015389308164,0.0314258871455637,1448
trend_efficiency_60,C,0.05133331217308917,0.03567637781583566,1450
trend_efficiency_60,CF,-0.06002340201842475,-0.03991544714075181,1448
trend_efficiency_60,CS,0.00890771799923532,0.008568012804721654,1449
trend_efficiency_60,CU,0.02767680028823891,0.011192031522874797,1450
trend_efficiency_60,FU,-0.0010340729734232923,-0.016069742336281296,1446
trend_efficiency_60,HC,-0.007502998883272548,0.012848889688611594,1450
trend_efficiency_60,I,-0.018942320523036616,-0.01652308548697533,1448
trend_efficiency_60,J,0.03841864443499912,0.018695042048800452,1450
trend_efficiency_60,JM,0.027473442254997312,-0.0013981038694273595,1450
trend_efficiency_60,L,0.03925088266148901,0.001849029452067216,1450
trend_efficiency_60,M,0.04416824966119815,0.05601684386609932,1450
trend_efficiency_60,MA,0.04319001077098179,0.05454796614985586,1448
trend_efficiency_60,NI,0.01952486686451747,0.007364309633662954,1440
trend_efficiency_60,P,-0.011019554410861691,-0.001062540391270417,1448
trend_efficiency_60,PP,0.03940704016033117,0.034019726699384745,1450
trend_efficiency_60,RB,0.012572714214731308,0.025751842311611848,1450
trend_efficiency_60,RM,0.055110004841727116,0.016273816554231605,1450
trend_efficiency_60,SA,-0.0822548522137547,-0.06808914767107183,1164
trend_efficiency_60,SC,-0.01444286660931418,-0.03262371807507635,1441
trend_efficiency_60,SF,0.05345170315768724,0.02283475853764305,1450
trend_efficiency_60,SN,0.004550733920979596,0.030853339698172968,1450
trend_efficiency_60,SR,0.004215313462940513,-0.019138659722814165,1450
trend_efficiency_60,TA,0.011000171065633509,0.0039185590943100965,1446
trend_efficiency_60,V,0.0013523735297362785,-0.004786964413097029,1450
trend_efficiency_60,Y,-0.0015518924685333844,0.004671395052032189,1450
trend_efficiency_60,ZN,-0.04962909248676213,-0.01501353184373204,1450
multi_horizon_trend,AG,-0.039321241311589074,-0.08457013189122596,1448
multi_horizon_trend,AL,0.020455710854565753,0.00917710235749188,1450
multi_horizon_trend,AU,-0.03016326833335669,-0.04589869335790702,1450
multi_horizon_trend,BU,-0.12236260028992163,-0.14981248435818606,1448
multi_horizon_trend,C,0.031993686735055815,0.005136593495318293,1450
multi_horizon_trend,CF,0.10638610244466373,0.05278955576555939,1448
multi_horizon_trend,CS,-0.04094287497751186,-0.07486849933857641,1449
multi_horizon_trend,CU,0.012281585369680248,-0.0695107824572899,1450
multi_horizon_trend,FU,-0.08218750708592104,-0.10252603742729968,1446
multi_horizon_trend,HC,0.03256498871778463,0.03639558018784891,1450
multi_horizon_trend,I,-0.005617615153759803,0.012121521448854533,1448
multi_horizon_trend,J,-0.014927429413737224,-0.0033966694518602707,1450
multi_horizon_trend,JM,0.05526220786661686,0.07486591696918948,1450
multi_horizon_trend,L,-0.053603869488485424,-0.08572182265380249,1450
multi_horizon_trend,M,0.012776286727666609,0.007969770459015424,1450
multi_horizon_trend,MA,-0.00565290780267486,-0.011131593623350578,1448
multi_horizon_trend,NI,-0.03214086988323609,-0.04117145140837752,1440
multi_horizon_trend,P,0.05902722109061596,0.07661284663410958,1448
multi_horizon_trend,PP,-0.09262266601149008,-0.12813240404084095,1450
multi_horizon_trend,RB,0.011122578464325478,0.008015920440815352,1450
multi_horizon_trend,RM,-0.01897484941667071,-0.03820360808268082,1450
multi_horizon_trend,SA,0.019580122342613446,0.012408626626627813,1104
multi_horizon_trend,SC,0.009451060175213914,-0.0037852365557075984,1441
multi_horizon_trend,SF,-0.06246901506410989,-0.1065175512328131,1450
multi_horizon_trend,SN,0.06419590717983067,0.04340751325250206,1450
multi_horizon_trend,SR,-0.0631426114631803,-0.07923109314344051,1450
multi_horizon_trend,TA,0.03062068551746433,0.007154457016874423,1446
multi_horizon_trend,V,0.011802661830130763,-0.010128965350133596,1450
multi_horizon_trend,Y,0.011315400415860665,0.03039962742841918,1450
multi_horizon_trend,ZN,-0.054563029578193256,-0.06857581278802599,1450
carry_annualized,AG,0.03321580794292133,0.03432906943648789,1436
carry_annualized,AL,0.10120637624120879,0.12150627264582568,1450
carry_annualized,AU,0.07261583137019162,0.06481193263064368,1450
carry_annualized,BU,-0.019331919948679534,-0.03701181084230086,1448
carry_annualized,C,-0.07599522278255307,-0.06739460485411347,1450
carry_annualized,CF,-0.038270475065276394,-0.02468685596277309,1448
carry_annualized,CS,-0.03864042723710233,-0.07714647396513814,1449
carry_annualized,CU,0.13396427267299177,0.11996903812214364,1450
carry_annualized,FU,-0.01616010590787044,-0.04603371272571135,1446
carry_annualized,HC,0.08156450368993547,0.11684758097799065,1450
carry_annualized,I,0.01885337226085619,0.012283847143582454,1448
carry_annualized,J,0.04694698686834742,0.023267063620903854,1450
carry_annualized,JM,0.05724039516924415,0.05881388310958911,1450
carry_annualized,L,0.008217382110589096,0.005769995443264962,1450
carry_annualized,M,0.016267264359228532,0.02754959215860266,1450
carry_annualized,MA,-0.06555603627228883,-0.0438536997632571,1448
carry_annualized,NI,0.011220710964755635,0.00576006213802259,1440
carry_annualized,P,-0.0074569513584223455,0.07536048017253316,1448
carry_annualized,PP,0.037968743621472,0.04141716462864062,1450
carry_annualized,RB,0.08098566844707462,0.06949723012937634,1450
carry_annualized,RM,0.05907898244476894,0.044109150603803896,1450
carry_annualized,SA,-0.004386571076854315,-0.024513163827418798,1224
carry_annualized,SC,0.025067061141975135,-0.005100677289797499,1441
carry_annualized,SF,-0.12343351787639067,-0.022612441874990178,1450
carry_annualized,SN,0.0504307380128991,0.09862514963936309,1430
carry_annualized,SR,-0.035895045300563616,-0.0316432067524713,1450
carry_annualized,TA,-0.05952224717309396,-0.021211377337733678,1446
carry_annualized,V,0.03540855709812268,0.09396566995203541,1450
carry_annualized,Y,0.005835104125312083,0.0003367825234950808,1450
carry_annualized,ZN,0.08844838687408368,0.11434904594587557,1450
carry_change_20,AG,0.0056057032330808845,-0.015222433216045212,1411
carry_change_20,AL,0.0535521766969483,0.08294964019042782,1450
carry_change_20,AU,0.05834543846015769,0.07501848440767786,1450
carry_change_20,BU,-0.010656803382135776,0.003416468510011452,1443
carry_change_20,C,-0.05926345741198925,-0.03855523890059354,1450
carry_change_20,CF,-0.13539775020188155,-0.04890172077680334,1448
carry_change_20,CS,-0.09126573710562343,-0.09922430035437152,1449
carry_change_20,CU,0.11564476517683236,0.1415956742328723,1450
carry_change_20,FU,0.019206866336642946,0.0029083318984141886,1446
carry_change_20,HC,-0.0431045775200433,-0.004976924965679711,1450
carry_change_20,I,-0.0365643607829421,-0.040829229623821024,1448
carry_change_20,J,0.024720106709265603,-0.08292413619519627,1450
carry_change_20,JM,0.07555512424652557,0.02174552379106573,1450
carry_change_20,L,-0.029383775367529126,-0.032812323152236283,1450
carry_change_20,M,-0.03730039480347854,-0.0615037977536969,1450
carry_change_20,MA,-0.057910986273340015,0.00016390187254281512,1448
carry_change_20,NI,0.033497433465185036,0.01792250666146058,1440
carry_change_20,P,0.07126987742859937,0.06185039218446879,1448
carry_change_20,PP,0.02410921787915123,0.04262587979654885,1450
carry_change_20,RB,-0.03272906742218645,-0.024886629540048874,1450
carry_change_20,RM,-0.010419808948077761,-0.011600968758238786,1450
carry_change_20,SA,-0.15619919490210585,-0.06960228407081379,1204
carry_change_20,SC,0.02051249974130336,0.04612584583843958,1441
carry_change_20,SF,-0.14657664582293312,-0.10304449440841357,1450
carry_change_20,SN,0.07361682179685552,0.09162646797855749,1410
carry_change_20,SR,-0.0937823192237578,-0.0890633792661845,1450
carry_change_20,TA,-0.01443432774464156,0.015427184560359295,1446
carry_change_20,V,0.06094158730789383,0.030504005159979898,1450
carry_change_20,Y,0.009510188302418385,-0.015553144047418031,1450
carry_change_20,ZN,0.11652401584096822,0.1452001387877576,1450
basis_fresh,AG,0.08427442133171979,0.05020688976513903,1206
basis_fresh,AL,0.09847778884330703,0.10359036193571804,1208
basis_fresh,AU,0.09612303984855575,0.05323975311741271,1208
basis_fresh,BU,0.05724044281080988,0.05343515260107175,1206
basis_fresh,C,-0.04240707191814862,-0.032007605686274414,1208
basis_fresh,CF,0.008288687413730062,0.02603650566710614,1206
basis_fresh,CS,0.06286732177166468,0.045118562661537326,1207
basis_fresh,CU,0.05653412338140626,0.0729859573615388,1208
basis_fresh,FU,,,0
basis_fresh,HC,0.03320271041000089,0.058898622653909355,1208
basis_fresh,I,,,0
basis_fresh,J,0.013875725180423536,-0.02520067321369361,1208
basis_fresh,JM,0.04678686719385964,0.05529092645310439,1208
basis_fresh,L,0.0632587794007919,0.056996973492581295,1208
basis_fresh,M,-0.03638428628770591,-0.056481205840320195,1208
basis_fresh,MA,-0.13260823769153773,-0.08617470941710564,1206
basis_fresh,NI,0.08626427116787251,0.06543959494475607,1198
basis_fresh,P,0.012473050116831278,0.15178216304720382,1206
basis_fresh,PP,0.12488671676703215,0.09725755752709621,1208
basis_fresh,RB,0.06825044757560611,0.08643059108446789,1208
basis_fresh,RM,-0.005154303465897871,0.016941482687922883,1208
basis_fresh,SA,-0.06826709108076523,-0.08858342062566904,978
basis_fresh,SC,,,0
basis_fresh,SF,-0.1481878351560488,0.04185765680433527,1208
basis_fresh,SN,0.12396242307916173,0.13212744790043113,1208
basis_fresh,SR,0.08082919713350134,0.08521869683485395,1208
basis_fresh,TA,-0.05925279484373324,-0.02601181277584415,1204
basis_fresh,V,-0.17564229172673476,0.008698152100859273,1208
basis_fresh,Y,0.03154355221344024,0.02999820820918967,1208
basis_fresh,ZN,0.1669453099160102,0.16105710065364356,1208
basis_shock_20,AG,-0.01690712466072019,-0.0020599455045650105,1196
basis_shock_20,AL,0.005197563512808992,-0.003565334966533613,1198
basis_shock_20,AU,-0.001139792613856846,0.02569801277730991,1198
basis_shock_20,BU,-0.012897048653735322,0.01638586786147135,1196
basis_shock_20,C,-0.010179631768413978,-0.022526084476632485,1198
basis_shock_20,CF,-0.004906663226005482,0.021584286409200227,1196
basis_shock_20,CS,-0.0372519171907501,-0.03648889835547848,1197
basis_shock_20,CU,0.025541416057408412,0.04084685471926357,1198
basis_shock_20,FU,,,0
basis_shock_20,HC,-0.01159321883518473,-0.01186938158937133,1198
basis_shock_20,I,,,0
basis_shock_20,J,0.0051481588985810844,0.011000949022632048,1198
basis_shock_20,JM,0.023880365111969164,0.027141459114064882,1198
basis_shock_20,L,-0.011388881213579892,-0.02193823788689775,1198
basis_shock_20,M,0.017538346897394794,0.01241324013668379,1198
basis_shock_20,MA,0.03809201297127244,0.05557938870175062,1196
basis_shock_20,NI,0.018933179344542292,0.04280086245384353,1188
basis_shock_20,P,0.014433659930136348,0.009317549172362037,1196
basis_shock_20,PP,-0.01731678609292635,-0.02274528979857123,1198
basis_shock_20,RB,0.028922762189028006,0.03257605887213379,1198
basis_shock_20,RM,-0.0005795522800908835,-0.002400868136900014,1198
basis_shock_20,SA,0.033064964204087645,0.011236444675940547,959
basis_shock_20,SC,,,0
basis_shock_20,SF,0.012104170494749983,0.0051500701778917956,1198
basis_shock_20,SN,0.05607033821249029,0.016254464183533154,1198
basis_shock_20,SR,0.058069433351757516,0.03436663711217512,1198
