factor_family,lookback_window,rank_ic,rank_ic_std,rank_ic_t_stat,rank_ic_p_value,date_count,coverage,diagnostic_only,rank_ic_fdr_q
tsmom,40,-0.011437261352697169,0.2708000901664074,-0.8940950287253533,0.3714195285038757,1450,0.9990748022389786,True,0.6499841748817825
tsmom,60,-0.006862567523740022,0.2678300555266534,-0.5482024463343599,0.5836373457574038,1450,0.9986122033584679,True,0.8754560186361057
tsmom,80,0.0002006303719916294,0.27165692377295825,0.015440901048136498,0.9876825586756003,1450,0.9981496044779572,True,0.9876825586756003
carry_change,10,0.0010484866045688667,0.21602064507402247,0.11413490184963856,0.9091466672326819,1450,0.9983809039182125,True,0.954604000594316
basis_momentum,10,-0.0035548927428707545,0.25646366350889616,-0.30673152933381626,0.7591010766767109,1198,0.7419623444511264,True,0.885617922789496
short_reversal,10,0.01965125446377999,0.27807116052159503,1.5703559691979851,0.11655064573291715,1450,0.9997687005597446,True,0.6495593560910932
realized_volatility,10,0.01661692547974798,0.30748313444242936,1.1188201898864458,0.2634022943798719,1450,0.9997687005597446,True,0.6499841748817825
oi_growth,10,0.017004138321611413,0.21374876431353473,1.8164414437648626,0.06950922699026292,1450,0.9997687005597446,True,0.6495593560910932
term_structure_momentum,10,0.016160578836456215,0.24854487560831529,1.4240165338297526,0.15465698954549836,1450,0.9051440995512791,True,0.6495593560910932
carry_change,20,-0.009002980925107849,0.2165331437623113,-0.9346544355737657,0.35012214423636556,1450,0.9976407457093954,True,0.6499841748817825
basis_momentum,20,-0.0051760509632833435,0.2583641460530427,-0.4042635362104714,0.6860911551383878,1198,0.7417541749548966,True,0.885617922789496
short_reversal,20,0.017365521508533835,0.28740231423181845,1.286405091454594,0.19850721905049576,1450,0.9995374011194893,True,0.6499841748817825
realized_volatility,20,0.012773858409813175,0.315420055966928,0.8374532553431975,0.4024759447224461,1450,0.9995374011194893,True,0.6501534491670283
oi_growth,20,0.014473062120129176,0.21446875616442956,1.4523667972115029,0.14661613943970667,1450,0.9995374011194893,True,0.6495593560910932
term_structure_momentum,20,0.0137088277679188,0.2568279145891492,1.1491030095892634,0.2507031479941272,1450,0.8929083591617708,True,0.6499841748817825
carry_change,40,0.003477864645640463,0.22402049378012073,0.33597910293463235,0.7369352678300876,1450,0.9971781468288847,True,0.885617922789496
basis_momentum,40,-0.0051445550072254905,0.2449333304467687,-0.4295349566026752,0.6676112643991392,1198,0.7414072257945136,True,0.885617922789496
short_reversal,40,0.013149423712949715,0.29356004650995793,0.9471004135557662,0.34374552846969586,1450,0.9990748022389786,True,0.6499841748817825
realized_volatility,40,0.015177519383354812,0.3178691404606586,0.9841737657837315,0.32519438253741206,1450,0.9990748022389786,True,0.6499841748817825
oi_growth,40,0.026106890602418276,0.2065607723107389,2.721203539567868,0.006582331002372869,1450,0.9990748022389786,True,0.13822895104983024
term_structure_momentum,40,0.002544029102606716,0.2509370513299869,0.21837166946571065,0.8271702874025124,1450,0.8837257713836333,True,0.9142408439711979
