trade_date,factor_id,gross_return,turnover,long_count,short_count,net_return_0bps,net_return_3bps,net_return_5bps,net_return_10bps
2019-01-02,tsmom_60,-0.03634257478749347,1.0,5,5,-0.03634257478749347,-0.03664257478749347,-0.03684257478749347,-0.03734257478749347
2019-01-09,tsmom_60,0.0026747192202287496,0.4,5,5,0.0026747192202287496,0.0025547192202287497,0.0024747192202287495,0.0022747192202287494
2019-01-16,tsmom_60,-0.007869636793306057,0.2,5,5,-0.007869636793306057,-0.007929636793306057,-0.007969636793306057,-0.008069636793306058
2019-01-23,tsmom_60,0.0159070103689808,0.4,5,5,0.0159070103689808,0.0157870103689808,0.0157070103689808,0.0155070103689808
2019-01-30,tsmom_60,-0.013701383147351042,0.4,5,5,-0.013701383147351042,-0.013821383147351042,-0.013901383147351043,-0.014101383147351041
2019-02-13,tsmom_60,0.007010729547809392,0.6000000000000001,5,5,0.007010729547809392,0.006830729547809392,0.006710729547809392,0.006410729547809392
2019-02-20,tsmom_60,-0.0010417385122691082,0.8,5,5,-0.0010417385122691082,-0.0012817385122691081,-0.0014417385122691081,-0.001841738512269108
2019-02-27,tsmom_60,-0.0037721887538952224,0.6000000000000001,5,5,-0.0037721887538952224,-0.003952188753895223,-0.004072188753895222,-0.004372188753895222
2019-03-06,tsmom_60,-0.011947213739755536,0.4,5,5,-0.011947213739755536,-0.012067213739755537,-0.012147213739755537,-0.012347213739755536
2019-03-13,tsmom_60,-0.0029045837427415845,0.4,5,5,-0.0029045837427415845,-0.0030245837427415843,-0.0031045837427415846,-0.0033045837427415846
2019-03-20,tsmom_60,-0.0005124724533542846,0.4,5,5,-0.0005124724533542846,-0.0006324724533542846,-0.0007124724533542846,-0.0009124724533542846
2019-03-27,tsmom_60,0.022011804946727123,0.8,5,5,0.022011804946727123,0.021771804946727123,0.021611804946727122,0.021211804946727125
2019-04-03,tsmom_60,0.005910637274483333,0.6000000000000001,5,5,0.005910637274483333,0.005730637274483332,0.005610637274483333,0.005310637274483333
2019-04-11,tsmom_60,-0.010268097576568614,0.6000000000000001,5,5,-0.010268097576568614,-0.010448097576568614,-0.010568097576568614,-0.010868097576568614
2019-04-18,tsmom_60,0.00709662568133167,0.6000000000000001,5,5,0.00709662568133167,0.006916625681331671,0.0067966256813316705,0.0064966256813316706
2019-04-25,tsmom_60,0.0004607969772471355,0.6000000000000001,5,5,0.0004607969772471355,0.00028079697724713547,0.00016079697724713548,-0.00013920302275286455
2019-05-07,tsmom_60,-0.009665543971485446,0.6000000000000001,5,5,-0.009665543971485446,-0.009845543971485446,-0.009965543971485446,-0.010265543971485446
2019-05-14,tsmom_60,0.0020376759448871517,1.0,5,5,0.0020376759448871517,0.0017376759448871518,0.0015376759448871517,0.0010376759448871517
2019-05-21,tsmom_60,0.00915226921087632,1.0,5,5,0.00915226921087632,0.00885226921087632,0.008652269210876319,0.00815226921087632
2019-05-28,tsmom_60,0.007462839578543689,0.4,5,5,0.007462839578543689,0.007342839578543689,0.00726283957854369,0.007062839578543689
2019-06-04,tsmom_60,0.0031888072460891314,0.8,5,5,0.0031888072460891314,0.002948807246089131,0.002788807246089131,0.0023888072460891314
2019-06-12,tsmom_60,-0.014963312175617095,0.2,5,5,-0.014963312175617095,-0.015023312175617094,-0.015063312175617094,-0.015163312175617095
2019-06-19,tsmom_60,0.004328062923676645,0.8,5,5,0.004328062923676645,0.0040880629236766455,0.003928062923676645,0.0035280629236766454
2019-06-26,tsmom_60,0.018803875022222572,1.0,5,5,0.018803875022222572,0.01850387502222257,0.01830387502222257,0.01780387502222257
2019-07-03,tsmom_60,-0.00045354213772549337,0.2,5,5,-0.00045354213772549337,-0.0005135421377254934,-0.0005535421377254934,-0.0006535421377254933
2019-07-10,tsmom_60,0.00505901715487005,0.2,5,5,0.00505901715487005,0.00499901715487005,0.0049590171548700495,0.00485901715487005
2019-07-17,tsmom_60,-0.0040911799736338735,0.6000000000000001,5,5,-0.0040911799736338735,-0.004271179973633873,-0.0043911799736338734,-0.004691179973633873
