factor_id,horizon_days,ic_mean,rank_ic,date_count
tsmom_60,1,0.0006256278880529447,-0.0009838351154159678,1454
tsmom_60,5,-0.004655762489440451,-0.006877317885937934,1450
tsmom_60,20,-0.00169977970236793,0.0022510822710353597,1435
tsmom_60,5d_signal_delayed_1d,,-0.005797477817416374,1449
csmom_60,1,-0.00016235933317562887,-0.003654452172591054,1454
csmom_60,5,-0.00507534885818434,-0.00875812488929412,1450
csmom_60,20,0.0001622415965779745,-0.0009710076886155814,1435
csmom_60,5d_signal_delayed_1d,,-0.006830079909495217,1449
trend_efficiency_60,1,0.0045993840660626135,0.005754886584440009,1454
trend_efficiency_60,5,0.00880920961908906,0.005024116078940003,1450
trend_efficiency_60,20,0.005823890358255422,-3.832068573966796e-05,1435
trend_efficiency_60,5d_signal_delayed_1d,,0.00430630345129616,1449
multi_horizon_trend,1,0.0006072229538726464,-0.0027893495337250876,1454
multi_horizon_trend,5,-0.005505095316537466,-0.009905315267548419,1450
multi_horizon_trend,20,0.01486243340564868,0.01528950387894109,1435
multi_horizon_trend,5d_signal_delayed_1d,,-0.006984888504950189,1449
carry_annualized,1,0.015480952353632931,0.01907793027994221,1454
carry_annualized,5,0.030135494650002807,0.029211063160613303,1450
carry_annualized,20,0.08668986046151388,0.07458012292451584,1435
carry_annualized,5d_signal_delayed_1d,,0.028309368029363485,1449
carry_change_20,1,-0.01093399226267815,0.0007210876816875503,1454
carry_change_20,5,-0.02656395518020195,-0.008996562851341526,1450
carry_change_20,20,-0.033346659841552516,-0.004107024293611157,1435
carry_change_20,5d_signal_delayed_1d,,-0.009315668650480056,1449
basis_fresh,1,0.01802356298360474,0.02283307910167014,1208
basis_fresh,5,0.03329662307359992,0.03163827666720883,1208
basis_fresh,20,0.052839569298403666,0.054009897980412315,1208
basis_fresh,5d_signal_delayed_1d,,0.030367444110375917,1208
basis_shock_20,1,-0.004374191811782944,-0.0009874059787971705,1198
basis_shock_20,5,0.0031034790423711657,0.0015205518081081895,1198
basis_shock_20,20,0.0037339206647077836,0.006923978821249347,1198
basis_shock_20,5d_signal_delayed_1d,,-0.00031948061702034977,1198
basis_momentum_20,1,-0.004126117651577589,0.003208425843851543,1198
basis_momentum_20,5,-0.011284693148362513,-0.005382629036382865,1198
basis_momentum_20,20,-0.05159836124174134,-0.028978734116468792,1198
basis_momentum_20,5d_signal_delayed_1d,,-0.002338135407062181,1198
curve_curvature,1,0.004014747928000428,-0.001605028516830919,1454
curve_curvature,5,-0.0005017680317378441,-0.00788153340104172,1450
curve_curvature,20,-0.03257443869390236,-0.029126331075623384,1435
curve_curvature,5d_signal_delayed_1d,,-0.009496764837131482,1449
value_252,1,6.491514999888251e-05,0.0038226924802989394,1454
value_252,5,0.004586841023884108,0.01268673778111854,1450
value_252,20,-0.014883599232463303,-0.015146145526647099,1435
