factor_id,year,ic_mean,rank_ic,observations
tsmom_60,2019,0.004277155424984289,-0.014931007761970073,244
tsmom_60,2020,0.03981813803201296,0.03622195406402271,243
tsmom_60,2021,-0.04584765570555602,-0.04170814028810241,243
tsmom_60,2022,0.0002798988981545663,0.004436578920357216,242
tsmom_60,2023,-0.01049496719359449,-0.0184255544155415,242
tsmom_60,2024,-0.016344331403463516,-0.006733397005154096,236
csmom_60,2019,0.004793033502625478,-0.014048503124760064,244
csmom_60,2020,0.02330824417847408,0.02462714372250802,243
csmom_60,2021,-0.053847717156467696,-0.046441190737256076,243
csmom_60,2022,0.021208301198764264,0.014636734229702181,242
csmom_60,2023,-0.01083211387205978,-0.021423939862009505,242
csmom_60,2024,-0.01533348058651674,-0.009724435110746487,236
trend_efficiency_60,2019,0.03910139834381724,0.014409104835393772,244
trend_efficiency_60,2020,-0.023977088475887243,-0.028749297217824,243
trend_efficiency_60,2021,-0.02117551840806002,-0.01802830585917143,243
trend_efficiency_60,2022,0.012646489343115692,0.017095159326837132,242
trend_efficiency_60,2023,0.023727017038023535,0.0338479406781345,242
trend_efficiency_60,2024,0.022891134238776367,0.01168788690563615,236
multi_horizon_trend,2019,0.007414455612103607,-0.01415995524514053,244
multi_horizon_trend,2020,0.029957623047860683,0.03145556691325611,243
multi_horizon_trend,2021,-0.035286743267590286,-0.03980031206364396,243
multi_horizon_trend,2022,-0.024829702712428136,-0.022349171203037782,242
multi_horizon_trend,2023,-0.021435383114337125,-0.028461883418326648,242
multi_horizon_trend,2024,0.011439032225164732,0.014524090417911313,236
carry_annualized,2019,0.013321040619391926,0.015683814551610546,244
carry_annualized,2020,0.08612343072175006,0.08895447281203823,243
carry_annualized,2021,-0.007809329085519553,0.009629633533003655,243
carry_annualized,2022,0.020718936707824744,0.002159010388955791,242
carry_annualized,2023,0.016746378993031448,-0.013920375507008871,242
carry_annualized,2024,0.05232711963627637,0.07421966092310239,236
carry_change_20,2019,0.0033477280838766278,0.014166087230430368,244
carry_change_20,2020,-0.02634927236480177,-0.02614096280291978,243
carry_change_20,2021,-0.027488126861318293,-0.0061024147591350365,243
carry_change_20,2022,-0.030296092283333974,-0.013866292666303924,242
carry_change_20,2023,-0.03376435187025524,0.01482779798687456,242
carry_change_20,2024,-0.04554858121458882,-0.03774742019334815,236
basis_fresh,2019,0.026914876881469395,0.031300246322915844,242
basis_fresh,2020,0.048296867920557325,0.07432450151525688,241
basis_fresh,2021,0.02690067606254195,0.008880550420836544,241
basis_fresh,2022,0.06185869600748026,0.04465447703787376,240
basis_fresh,2023,0.012062216721938164,-0.0016682581963832377,240
basis_fresh,2024,-0.5386766718485584,-0.1568986568986569,4
basis_shock_20,2019,0.012823080944822344,0.020769668611307444,240
basis_shock_20,2020,-0.007521280672753706,-0.007214448594063347,239
basis_shock_20,2021,0.022200776482958744,0.020524110166511556,239
basis_shock_20,2022,-0.007946848937051094,-0.020955066715072402,238
basis_shock_20,2023,-0.005302735608335406,-0.00907433024625099,238
basis_shock_20,2024,0.07135752229156883,0.09523809523809523,4
basis_momentum_20,2019,-0.07062469311136158,-0.04912807454586494,240
basis_momentum_20,2020,0.03088559569960427,0.0007161075474131836,239
basis_momentum_20,2021,0.026500326388797516,0.01018659977767585,239
basis_momentum_20,2022,0.05477723604944663,0.039321013592122256,238
