trade_date,factor_id,quantile,return_5d,count
2019-01-02,tsmom_60,1,0.08202748517695524,6
2019-01-02,tsmom_60,2,0.01691444438078223,6
2019-01-02,tsmom_60,3,0.020150410140740548,5
2019-01-02,tsmom_60,4,0.018765766846421932,6
2019-01-02,tsmom_60,5,0.015555887677331645,6
2019-01-09,tsmom_60,1,0.0014071317194897885,6
2019-01-09,tsmom_60,2,-0.007692367477965589,6
2019-01-09,tsmom_60,3,0.002003169730921872,5
2019-01-09,tsmom_60,4,0.010379525535346138,6
2019-01-09,tsmom_60,5,0.006661040779471032,6
2019-01-16,tsmom_60,1,0.025682558705401187,6
2019-01-16,tsmom_60,2,0.018535942921419506,6
2019-01-16,tsmom_60,3,0.0221231139054761,5
2019-01-16,tsmom_60,4,0.018127820226882474,6
2019-01-16,tsmom_60,5,0.008242658806911071,6
2019-01-23,tsmom_60,1,-0.0075125587361111745,6
2019-01-23,tsmom_60,2,0.010579484160962235,6
2019-01-23,tsmom_60,3,0.01787296486649832,5
2019-01-23,tsmom_60,4,0.002004206331077618,6
2019-01-23,tsmom_60,5,0.022705348056324293,6
2019-01-30,tsmom_60,1,0.024462029056343464,6
2019-01-30,tsmom_60,2,-0.00969484567729717,6
2019-01-30,tsmom_60,3,0.007077233015902884,5
2019-01-30,tsmom_60,4,-0.0022884239554504435,6
2019-01-30,tsmom_60,5,0.01364231074779885,6
2019-02-13,tsmom_60,1,-0.0032866597331583924,6
2019-02-13,tsmom_60,2,0.003377006044170868,6
2019-02-13,tsmom_60,3,0.004539979852858767,5
2019-02-13,tsmom_60,4,0.007419774312063958,6
2019-02-13,tsmom_60,5,0.008254351613321128,6
2019-02-20,tsmom_60,1,-0.0024546017798551443,6
2019-02-20,tsmom_60,2,-0.005053190775361076,6
2019-02-20,tsmom_60,3,-0.0037226954877663367,5
2019-02-20,tsmom_60,4,-0.0016236760737689167,6
2019-02-20,tsmom_60,5,-0.005292816411074856,6
2019-02-27,tsmom_60,1,0.011962955204057305,6
2019-02-27,tsmom_60,2,0.019121987597191303,6
2019-02-27,tsmom_60,3,0.009200604077998054,5
2019-02-27,tsmom_60,4,0.0007765805774720783,6
2019-02-27,tsmom_60,5,0.012938272154241703,6
2019-03-06,tsmom_60,1,0.0050578531674643394,6
2019-03-06,tsmom_60,2,0.0011112984848760665,6
2019-03-06,tsmom_60,3,-0.004449267116784328,5
2019-03-06,tsmom_60,4,-0.012977104242283932,6
2019-03-06,tsmom_60,5,-0.011911695257869634,6
2019-03-13,tsmom_60,1,0.00495470081921832,6
2019-03-13,tsmom_60,2,0.002827488048626925,6
2019-03-13,tsmom_60,3,-0.017401513383607337,5
2019-03-13,tsmom_60,4,-0.0319044784315757,6
2019-03-13,tsmom_60,5,0.001309941932944092,6
2019-03-20,tsmom_60,1,0.0021444379200025363,6
2019-03-20,tsmom_60,2,-0.007726662579761771,6
2019-03-20,tsmom_60,3,-5.5829639600224465e-05,5
2019-03-20,tsmom_60,4,-0.008703651862785286,6
2019-03-20,tsmom_60,5,-0.0028336600950431,6
2019-03-27,tsmom_60,1,0.006436845313868271,6
2019-03-27,tsmom_60,2,0.012679407036178314,6
