feature_name,source_factor,usage_type,catalog_direction,resolved_direction,direction_source,train_rank_ic,fold_id,test_year,selected,selection_reason,max_abs_corr_vs_selected,min_train_rank_ic,max_pairwise_corr,prior_universe_size,selected_universe_size
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,0.007805658514746844,fold_2019,2019,False,dropped_weak_train_rank_ic,,0.01,0.7,36,15
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,0.003562455729124644,fold_2019,2019,False,dropped_weak_train_rank_ic,,0.01,0.7,36,15
information_consistency__csz,information_consistency,predictor,1,1,catalog,0.0366560860946919,fold_2019,2019,False,dropped_high_corr,0.7351310887758059,0.01,0.7,36,15
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.04059277700477453,fold_2019,2019,True,selected,0.46494874965951916,0.01,0.7,36,15
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,0.018787105497162792,fold_2019,2019,True,selected,0.33864582066752896,0.01,0.7,36,15
momentum_quality_60__csz,momentum_quality_60,predictor,1,1,catalog,-0.032945953706791604,fold_2019,2019,False,dropped_weak_train_rank_ic,,0.01,0.7,36,15
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,1,catalog,0.016382267947289374,fold_2019,2019,True,selected,0.35013700699468203,0.01,0.7,36,15
term_structure_slope__csz,term_structure_slope,predictor,1,1,catalog,0.025792059494178312,fold_2019,2019,True,selected,0.31348563718580447,0.01,0.7,36,15
term_structure_momentum__csz,term_structure_momentum,predictor,1,1,catalog,0.014212756919301846,fold_2019,2019,True,selected,0.5173283981418797,0.01,0.7,36,15
term_structure_acceleration__csz,term_structure_acceleration,predictor,1,1,catalog,0.016303947693368234,fold_2019,2019,True,selected,0.24128724087364087,0.01,0.7,36,15
basis_surprise__csz,basis_surprise,predictor,1,1,catalog,-0.010991569509663533,fold_2019,2019,False,dropped_weak_train_rank_ic,,0.01,0.7,36,15
inventory_acceleration__csz,inventory_acceleration,predictor,1,1,catalog,0.0027102432569876054,fold_2019,2019,False,dropped_weak_train_rank_ic,,0.01,0.7,36,15
inventory_price_divergence__csz,inventory_price_divergence,predictor,1,1,catalog,0.013900086346306078,fold_2019,2019,True,selected,0.4058069821161521,0.01,0.7,36,15
volume_price_divergence_20__csz,volume_price_divergence_20,predictor,0,1,train_rank_ic,0.020016453594325925,fold_2019,2019,True,selected,0.31901831498073047,0.01,0.7,36,15
momentum_carry_interaction__csz,momentum_carry_interaction,predictor,0,-1,train_rank_ic,0.010850444674619802,fold_2019,2019,True,selected,0.18604994301522254,0.01,0.7,36,15
nonlinear_tightness__csz,nonlinear_tightness,predictor,1,1,catalog,0.03753604363335872,fold_2019,2019,False,dropped_high_corr,0.7552941798056527,0.01,0.7,36,15
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,-0.0304870468215347,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
csmom_60__csz,csmom_60,predictor,1,1,catalog,-0.03284443235406243,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,-1,train_rank_ic,0.0011927924101732264,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,-0.007556133403359056,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,0.015795463025019586,fold_2020,2020,False,dropped_high_corr,0.7126090503117474,0.01,0.7,36,12
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,0.0006027586977184172,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,0.02618921185877349,fold_2020,2020,True,selected,0.4592944634249713,0.01,0.7,36,12
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,0.010591629433931899,fold_2020,2020,True,selected,0.2049689988955558,0.01,0.7,36,12
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,-0.03369048701682548,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
curve_curvature__csz,curve_curvature,predictor,0,1,train_rank_ic,0.0042245336283349,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
value_252__csz,value_252,predictor,1,1,catalog,0.020137585388306515,fold_2020,2020,True,selected,0.42505842246740894,0.01,0.7,36,12
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,0.003009234162484038,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,0.015675778185604824,fold_2020,2020,True,selected,0.3734996165894157,0.01,0.7,36,12
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,0.00701674887330299,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,0.016802727592248667,fold_2020,2020,True,selected,0.17704409416806213,0.01,0.7,36,12
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,0.034083032031667716,fold_2020,2020,True,selected,0.46281511071972015,0.01,0.7,36,12
tightness_composite__csz,tightness_composite,predictor,1,1,catalog,0.03025975650818907,fold_2020,2020,False,dropped_high_corr,0.7530121327602134,0.01,0.7,36,12
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,1,catalog,-0.014176304895496667,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
seasonality_3y__csz,seasonality_3y,predictor,1,1,catalog,-0.062067519516582334,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,1,catalog,-0.017211477054137336,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,-0.0007571722804147763,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,0.0009238783402309612,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
information_consistency__csz,information_consistency,predictor,1,1,catalog,0.028627134124767018,fold_2020,2020,False,dropped_high_corr,0.7350801668983199,0.01,0.7,36,12
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.03641224370917158,fold_2020,2020,True,selected,0.0,0.01,0.7,36,12
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,0.008759624811077836,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
momentum_quality_60__csz,momentum_quality_60,predictor,1,1,catalog,-0.030457157891843806,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,1,catalog,0.011254485208601712,fold_2020,2020,True,selected,0.3634531977422074,0.01,0.7,36,12
term_structure_slope__csz,term_structure_slope,predictor,1,1,catalog,0.023253021362532447,fold_2020,2020,True,selected,0.32352393146259656,0.01,0.7,36,12
term_structure_momentum__csz,term_structure_momentum,predictor,1,1,catalog,0.01451743235918869,fold_2020,2020,True,selected,0.533428830882397,0.01,0.7,36,12
term_structure_acceleration__csz,term_structure_acceleration,predictor,1,1,catalog,0.025010830034052356,fold_2020,2020,True,selected,0.1871791428599091,0.01,0.7,36,12
basis_surprise__csz,basis_surprise,predictor,1,1,catalog,-0.016451043470210064,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
inventory_acceleration__csz,inventory_acceleration,predictor,1,1,catalog,0.007047490338998477,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
inventory_price_divergence__csz,inventory_price_divergence,predictor,1,1,catalog,0.009889438321422547,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
volume_price_divergence_20__csz,volume_price_divergence_20,predictor,0,1,train_rank_ic,0.014118528780117951,fold_2020,2020,True,selected,0.32229285377933337,0.01,0.7,36,12
momentum_carry_interaction__csz,momentum_carry_interaction,predictor,0,-1,train_rank_ic,0.0073872230521302325,fold_2020,2020,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
nonlinear_tightness__csz,nonlinear_tightness,predictor,1,1,catalog,0.03030845062269325,fold_2020,2020,False,dropped_high_corr,0.7526658456095221,0.01,0.7,36,12
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,-0.018782598466318103,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
csmom_60__csz,csmom_60,predictor,1,1,catalog,-0.022594038519723483,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,-1,train_rank_ic,0.006122082374568276,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,-0.000976779523148464,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,0.028575638710689567,fold_2021,2021,False,dropped_high_corr,0.7288270363208081,0.01,0.7,36,13
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,-0.004133089482493713,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,0.03407817934722891,fold_2021,2021,True,selected,0.6043446288510171,0.01,0.7,36,13
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,0.007339938894315505,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,-0.02842504249496289,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
