feature_name,source_factor_id,source_factor,horizon,coverage,missing_rate,stale_rate,ic_mean,ic_std,icir,ic_hit_rate,ic_t_nw,ic_p_nw,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_hit_rate,rank_ic_t_nw,rank_ic_p_nw,ic_days,rank_ic_days,nonoverlap_rank_ic_mean,nonoverlap_rank_ic_t,nonoverlap_rank_ic_p,pooled_beta,pooled_t_two_way_cluster,pooled_p_two_way_cluster,pooled_observations,group_spread,group_monotonicity,group_days,gross_annual_return,gross_sharpe,average_one_way_turnover,gross_max_drawdown,net_1bps_annual_return,net_1bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,rank_ic_q_bh,transformation,category,usage_type,expected_direction,economic_meaning,baseline_rank_ic,candidate_rank_ic,delta_rank_ic,baseline_mse,candidate_mse,mse_reduction,oos_rows,inner_oos_first_year,inner_oos_last_year,correlation_cluster,rank_ic_q_bh_cluster,rank_ic_mean_cluster,coverage_cluster,cluster_representative,max_abs_factor_correlation,year_direction_consistency,year_count,product_direction_consistency,sector_direction_consistency,worst_product_correlation,worst_sector_correlation,classification,classification_reason,enter_ml
tsmom_20,1,时间序列动量,5,0.9812621849953065,0.018737815004693514,0.0011011625388114665,0.00016564391436885918,0.2761996885613524,0.0005997252032819168,0.5041623309053069,0.014855657942347025,0.9881473358507099,-0.0030169343796984153,0.27479224629728954,-0.010978964728264144,0.495837669094693,-0.27591623508510726,0.7826124039765854,1922,1922,-0.005302143907260704,-0.38131115155002004,0.7029723798835686,0.0001526406273822966,0.4695056665066645,0.6387082354677398,53997,0.0010035996997779832,0.39999999999999997,1922,0.01732050636095947,0.19115137696146736,0.19756836275527864,-0.18094392236632573,0.012341783619526451,0.13619747521558312,0.002384338136660407,0.026308946869759518,-0.007573107346205637,-0.08355044961256583,0.8976347428256148,20日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,0.015160669018288598,0.009763263421671756,-0.005397405596616842,0.0011292134099565585,0.0011292577520523814,-3.926812720418793e-05,35415,2018,2022,29,0.8976347428256148,-0.0030169343796984153,0.9812621849953065,False,0.9348557999297737,0.375,8,0.4,0.2,-0.07698077570268345,-0.015043386647065615,E,开发期未发现足够稳定的方向或增量证据,False
csmom_20,2,横截面动量,5,0.9891688930608709,0.010831106939129143,0.23227308830962523,-0.0031980558923625983,0.31203995261473605,-0.010248866741468575,0.5088449531737773,-0.2548620258356357,0.7988296669019157,-0.006496427814044078,0.3043713713832847,-0.021343754455353633,0.5067637877211238,-0.5348383959999043,0.5927616099709383,1922,1922,-0.009457150191299248,-0.625889754292315,0.531387255254149,-1.5439736314053194e-06,-0.005153855339446473,0.9958878366007538,54034,0.0003454643856908043,0.09999999999999999,1922,-0.003393589054968958,-0.03239650071448458,0.190472481827622,-0.2517712534183466,-0.00819349559702504,-0.07821344908538988,-0.017793308681137196,-0.16982923345354267,-0.02739312176524935,-0.2614186241426578,0.867958305927404,20日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,0.015160669018288598,0.010857596600543307,-0.004303072417745291,0.0011292134099565585,0.0011298441048546435,-0.0005585258663455348,35415,2018,2022,29,0.867958305927404,-0.006496427814044078,0.9891688930608709,True,0.9482318310166155,0.5,8,0.3333333333333333,0.2,-0.11453911131584255,-0.04598960333472945,E,开发期未发现足够稳定的方向或增量证据,False
trend_efficiency_20,3,趋势效率,5,0.9812621849953065,0.018737815004693514,0.0011011625388114665,0.002569888026499526,0.24869206672294622,0.01033361482078354,0.49791883454734653,0.2687703765920763,0.7881063908397886,0.0020785914738381283,0.24174087159186217,0.00859842797848215,0.5046826222684704,0.23014006215211766,0.8179829351697305,1922,1922,-0.004429075100614904,-0.34647829123091584,0.7289832961530501,0.00028957246311900255,0.8216969804019557,0.41124937817663254,53997,0.0003909610473374712,0.6,1922,-0.003176293048805719,-0.04070855574223807,0.34838179300796124,-0.2414982661925119,-0.011955514232606355,-0.15321657339665404,-0.029513956600207596,-0.3781801102950947,-0.047072398967808834,-0.6030547858577238,0.9105847768870585,20日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,0.015160669018288598,0.011082157850688543,-0.004078511167600055,0.0011292134099565585,0.0011293920329623196,-0.0001581835675932903,35415,2018,2022,10,0.9105847768870585,0.0020785914738381283,0.9812621849953065,True,0.2817428969609036,0.5,8,0.43333333333333335,0.2,-0.0719142863265972,-0.04479329325156928,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_20,24,已实现波动率,5,0.9864972200158856,0.013502779984114421,0.0013358365224925989,0.027645673759343174,0.370270523633794,0.07466344738444634,0.5253623188405797,1.8282346953034796,0.06751433600894134,0.020116731477163013,0.3378371536086965,0.059545645771286106,0.5181159420289855,1.4733586264431497,0.14065436015339688,1932,1932,0.017041602582729243,1.0353871366479723,0.3004881505956737,0.0009001394072584469,1.7246530296883515,0.08459002053849746,54287,0.0019490199500370657,0.9999999999999999,1932,0.06177370269608981,0.5479503340774988,0.07747933884297521,-0.1513049763316091,0.059821223357246836,0.5306350997833754,0.05591626467956089,0.4960021601460294,0.052011306001874924,0.46136632699406305,0.518662953065651,20日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,0.015160669018288598,0.015160669018288598,0.0,0.0011292134099565585,0.0011292134099565585,0.0,35415,2018,2022,11,0.518662953065651,0.020116731477163013,0.9864972200158856,False,0.9509777842768655,0.625,8,0.6333333333333333,0.8,-0.0927394898426739,-0.03202399275731333,D,主要用途是风险、波动或流动性刻画,False
momentum_quality_20,41,动量质量,5,0.9812621849953065,0.018737815004693514,0.001083110693912918,0.003283414626330639,0.2679678270012809,0.012253018069646637,0.5067637877211238,0.30696213162534286,0.7588721961602265,-0.00289690183845327,0.2748441135924756,-0.010540163296888517,0.4911550468262227,-0.2648361262165789,0.7911357055412198,1922,1922,-0.005466973515916786,-0.3927067448470503,0.6945360884221001,0.00023427428384451208,0.6520529863538302,0.514366991266431,53997,0.0010944818808462861,0.39999999999999997,1922,0.019749626857950342,0.21817291006481734,0.1966078227760471,-0.16766253942971465,0.01479510972399395,0.16343224834934827,0.004886075456081171,0.05396733577652169,-0.005022958811831585,-0.05547231681228744,0.8976347428256148,tsmom_20×trend_efficiency_20,趋势与动量,predictor,1,平滑趋势比震荡路径更可能持续,0.015160669018288598,0.010218542931658511,-0.004942126086630087,0.0011292134099565585,0.0011292804897432883,-5.940399408859321e-05,35415,2018,2022,29,0.8976347428256148,-0.00289690183845327,0.9812621849953065,False,0.9348557999297737,0.375,8,0.4,0.2,-0.07524498412085028,-0.01479382813055786,E,开发期未发现足够稳定的方向或增量证据,False
vol_managed_momentum_20,42,波动率管理动量,5,0.9812621849953065,0.018737815004693514,0.001083110693912918,0.003011636249611575,0.21052084103316188,0.014305644205255541,0.5093652445369407,0.36786338508154065,0.7129751032164442,0.005240699115179836,0.24081722120780755,0.02176214428891486,0.5052029136316337,0.5600398242196813,0.5754522742361405,1922,1922,0.00525166113438797,0.4328762335988814,0.6651046868115349,0.0002142432560152325,0.7608910079603451,0.4467221698473456,53997,0.0011282175049456842,0.09999999999999999,1922,0.022395766746308065,0.34257180677249505,0.2022931810314988,-0.16534500596913393,0.01729797858431429,0.2646186962805713,0.007102402260326757,0.10866655352125137,-0.0030931740636607787,-0.04733064318473574,0.867958305927404,方向×10%目标波动/20日年化波动,趋势与动量,risk,1,按波动缩放可稳定不同品种风险预算,0.015160669018288598,0.01448703901125784,-0.0006736300070307576,0.0011292134099565585,0.0011295452804254411,-0.0002938952601487478,35415,2018,2022,30,0.867958305927404,0.005240699115179836,0.9812621849953065,True,0.6840620255159849,0.375,8,0.6,0.8,-0.06507007229177612,-0.0019138885836092843,D,主要用途是风险、波动或流动性刻画,True
tsmom_60,1,时间序列动量,5,0.9594014008231642,0.04059859917683584,0.0010650588490143692,-0.0029650079997510246,0.2812771066445794,-0.010541234710216202,0.5069075451647184,-0.25597884417444117,0.7979671731090605,-0.0041192256448906025,0.27707850543180446,-0.014866637303644764,0.5015940488841658,-0.367425261941942,0.7133018310390826,1882,1882,-0.002369401787145641,-0.1667957587549971,0.8675307559620631,6.814277368846528e-05,0.2057447994417475,0.8369902622197196,52768,0.0001225396129099558,0.09999999999999999,1882,-0.02025664738060405,-0.22065811782246644,0.12727995758218452,-0.23801451512716554,-0.023464102311675103,-0.2556033052389149,-0.0298790121738172,-0.3254964802345958,-0.03629392203595931,-0.3953918748308715,0.8976347428256148,60日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,0.015160669018288598,0.015160669018288598,0.0,0.0011292134099565585,0.0011292134099565585,0.0,35415,2018,2022,36,0.8976347428256148,-0.0041192256448906025,0.9594014008231642,False,0.9341995198784501,0.375,8,0.3333333333333333,0.4,-0.11535341690980713,-0.03896037672772468,E,开发期未发现足够稳定的方向或增量证据,False
csmom_60,2,横截面动量,5,0.9675066791826125,0.03249332081738754,0.34303920860711967,-0.007004142098549471,0.3081873818843836,-0.022726894448835914,0.5079702444208289,-0.5535174522592742,0.5799091334494049,-0.008230543480372375,0.2997910728683473,-0.027454264737185166,0.5026567481402763,-0.6788922144341053,0.49720615912991595,1882,1882,-0.007487663257616904,-0.48779035875139326,0.6256983411552526,-5.247155506734509e-05,-0.14514426636230207,0.884596968812396,52835,-0.00024004324763396586,-0.8999999999999998,1882,-0.013167607859680318,-0.1266843759764941,0.11623365146694946,-0.2292908013502959,-0.01609669587664745,-0.15486692524342177,-0.021954871910581698,-0.21123324951068134,-0.027813047944515962,-0.2676003016884875,0.867958305927404,60日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,0.015160669018288598,0.0020875683231836484,-0.01307310069510495,0.0011292134099565585,0.0011300929485320002,-0.0007788949083375921,35415,2018,2022,36,0.867958305927404,-0.008230543480372375,0.9675066791826125,True,0.9181566547127004,0.375,8,0.23333333333333334,0.0,-0.10101119863028789,-0.04672941271371157,E,开发期未发现足够稳定的方向或增量证据,False
trend_efficiency_60,3,趋势效率,5,0.9594014008231642,0.04059859917683584,0.0010650588490143692,-0.002738139647642272,0.26548232352581946,-0.010313830357055671,0.49946865037194477,-0.25434609393322305,0.799228192530196,-0.005612334582597917,0.2525244642612765,-0.0222249143227211,0.49415515409139216,-0.5640150254883618,0.5727439064399332,1882,1882,-0.006122247821158784,-0.49167910751975014,0.6229462100292389,3.8028997094559e-05,0.13444699541097155,0.893049121974658,52768,-0.00010242076850972295,-0.09999999999999999,1882,0.01247043607941809,0.14584431400813094,0.22279957582184517,-0.1780139576529266,0.0068558867687075736,0.08018236650082061,-0.004373211852713421,-0.051147369575655965,-0.015602310474134415,-0.18247764505680353,0.867958305927404,60日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,0.015160669018288598,0.01638521375704104,0.0012245447387524422,0.0011292134099565585,0.0011292956924684426,-7.286710479932023e-05,35415,2018,2022,8,0.867958305927404,-0.005612334582597917,0.9594014008231642,True,0.42417398068338247,0.875,8,0.6666666666666666,0.8,-0.08335670474925037,-0.006576755499722184,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_60,24,已实现波动率,5,0.9753953354032782,0.024604664596721837,0.0015524586612751822,0.021578093800635766,0.37364688946242147,0.05774996235531602,0.5298117154811716,1.407987562022703,0.15913475303802704,0.018538788457090286,0.3429686904805718,0.05405388005276375,0.5146443514644351,1.329429095098292,0.1837064441434768,1912,1912,0.016885096298108145,0.9932679224465674,0.320579405469526,0.0006612748783532677,1.2151851810495,0.2242954710818582,53654,0.0018782102948173547,0.8999999999999998,1912,0.054681334101532426,0.4751597752130568,0.02845337508698678,-0.17791483822997944,0.05396430904934035,0.46892620961068127,0.052530258944956214,0.456458683044406,0.05109620884057208,0.44399068638275635,0.5215822086658696,60日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,0.015160669018288598,0.015342492251178664,0.00018182323289006597,0.0011292134099565585,0.001129324574629028,-9.844434319448242e-05,35415,2018,2022,11,0.5215822086658696,0.018538788457090286,0.9753953354032782,False,0.9576557408076186,0.5,8,0.7,0.8,-0.08081664722772322,-0.021861714919543643,D,主要用途是风险、波动或流动性刻画,False
