feature_name,test_year,standardized_coefficient,source_factor,usage_type,classification
trend_efficiency_20__cs_robust_z,2023,0.0018741373009336115,趋势效率,conditional,C
trend_efficiency_20__missing,2023,0.0013151761191135033,趋势效率,quality_flag,C
vol_managed_momentum_20__cs_robust_z,2023,-0.0027220148044223825,波动率管理动量,risk,D
vol_managed_momentum_20__missing,2023,0.0013151761191135033,波动率管理动量,quality_flag,D
trend_efficiency_60__cs_robust_z,2023,-0.000551636030879689,趋势效率,conditional,C
trend_efficiency_60__missing,2023,-0.00231618526646071,趋势效率,quality_flag,C
vol_managed_momentum_60__cs_robust_z,2023,0.004199951294095068,波动率管理动量,risk,D
vol_managed_momentum_60__missing,2023,-0.00231618526646071,波动率管理动量,quality_flag,D
tsmom_120__cs_robust_z,2023,-0.007437674069700369,时间序列动量,predictor,B
tsmom_120__missing,2023,0.00013738706455471608,时间序列动量,quality_flag,B
csmom_120__cs_robust_z,2023,0.0029074710220604043,横截面动量,predictor,B
csmom_120__missing,2023,0.0005766594400208691,横截面动量,quality_flag,B
trend_efficiency_120__cs_robust_z,2023,-0.0015149731511038581,趋势效率,conditional,C
trend_efficiency_120__missing,2023,0.00013738706455471608,趋势效率,quality_flag,C
momentum_quality_120__cs_robust_z,2023,0.0017375714720634684,动量质量,predictor,B
momentum_quality_120__missing,2023,0.00013738706455471608,动量质量,quality_flag,B
vol_managed_momentum_120__cs_robust_z,2023,-0.002244629972395159,波动率管理动量,risk,D
vol_managed_momentum_120__missing,2023,0.00013738706455471608,波动率管理动量,quality_flag,D
carry__cs_robust_z,2023,0.000148860003379701,Carry,predictor,A
carry__missing,2023,-0.0053261247649586015,Carry,quality_flag,A
curve_curvature__cs_robust_z,2023,-0.009384161462090933,期限结构曲率,predictor,B
curve_curvature__missing,2023,-0.002635346530568465,期限结构曲率,quality_flag,B
term_structure_slope__cs_robust_z,2023,0.019376812463403132,期限结构斜率,predictor,A
term_structure_slope__missing,2023,-0.0053261247649586015,期限结构斜率,quality_flag,A
basis_momentum_5__cs_robust_z,2023,-0.0007282599654650424,基差动量,predictor,B
basis_momentum_5__missing,2023,0.0003344744307086601,基差动量,quality_flag,B
term_structure_momentum_5__cs_robust_z,2023,0.006625354259351899,期限结构动量,predictor,B
term_structure_momentum_5__missing,2023,0.0003344744307086601,期限结构动量,quality_flag,B
term_structure_acceleration_5__cs_robust_z,2023,0.008861381341814158,期限结构加速度,predictor,B
term_structure_acceleration_5__missing,2023,0.011298537450182467,期限结构加速度,quality_flag,B
carry_change_20__cs_robust_z,2023,-0.014643749950784915,Carry变化,predictor,B
