rank,feature_name,source_factor,usage_type,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_0bps_annual_return,net_0bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,net_10bps_annual_return,net_10bps_sharpe,strategy_days,strategy_coverage,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
1,volume_shock_20__missing,volume_shock_20,quality_flag,0.14159503557397912,0.8,0.6876951596562525,-0.003495981378446869,0.05550619894249564,-0.06298362065953575,-0.13734840770954027,-0.028825287983319292,0.49829351535836175,-0.003495981378446869,-0.06298362065953575,-0.03373598137844686,-0.6077876349161885,-0.053895981378446874,-0.9709903110872906,-0.10429598137844688,-1.8789970015150455,293,0.20206896551724138,6,1,1
2,correlation_risk_20_120__missing,correlation_risk_20_120,quality_flag,0.059454013044262594,0.6333333333333333,0.3765093544971773,0.00032628876902996687,0.05530029084459143,0.0059003083717394066,-0.1179029018336728,-0.0069335025420238505,0.4948805460750853,0.00032628876902996687,0.0059003083717394066,-0.029913711230970027,-0.5409322586572923,-0.05007371123097004,-0.905487303343314,-0.10047371123097004,-1.8168749150583672,293,0.20206896551724138,6,2,1
3,amihud_20__missing,amihud_20,quality_flag,0.05143436187401056,0.5897435897435898,0.23788174135462345,-0.002341767464158984,0.05555705713995043,-0.042150675084534794,-0.1336689982919872,-0.022302103935447626,0.5017064846416383,-0.002341767464158984,-0.042150675084534794,-0.03258176746415897,-0.5864559633186512,-0.05274176746415899,-0.9493261554747289,-0.103141767464159,-1.8565016358649233,293,0.20206896551724138,6,2,1
4,basis_surprise__missing,basis_surprise,quality_flag,0.032079259236530676,0.5219917012448133,0.12123871247820116,0.03319908182547745,0.08059233666110517,0.41193844478143454,-0.10062180491996164,0.19025177031553664,0.515358361774744,0.03319908182547745,0.41193844478143454,0.002959081825477454,0.03671666498417265,-0.017200918174522555,-0.21343118821400212,-0.06760091817452256,-0.8388008212094387,293,0.20206896551724138,6,5,4
5,basis_fresh__missing,basis_fresh,quality_flag,0.03202906045238695,0.5215231788079471,0.12052501533437862,0.03434014644493365,0.08144874536820777,0.42161664111204084,-0.09422869988237714,0.19770212309886048,0.515358361774744,0.03434014644493365,0.42161664111204084,0.0041001464449336575,0.05034020384719253,-0.016059853555066353,-0.19717742099603985,-0.06645985355506635,-0.8159714831041204,293,0.20206896551724138,6,5,4
6,basis_momentum_20__missing,basis_momentum_20,quality_flag,0.03176742720540778,0.5200333889816361,0.12006026803124893,0.03445645849863097,0.08151523085002199,0.422699637102502,-0.09364401390559562,0.1984752538390886,0.515358361774744,0.03445645849863097,0.422699637102502,0.0042164584986309804,0.051726020458541626,-0.015943541501369028,-0.19558972397076552,-0.06634354150136902,-0.8138790850440332,293,0.20206896551724138,6,5,4
7,basis_shock_20__missing,basis_shock_20,quality_flag,0.03114220848322746,0.5191986644407346,0.11717640420514291,0.03564642390549848,0.0813036209243694,0.4384358716158245,-0.09465012680267293,0.20690897254488028,0.515358361774744,0.03564642390549848,0.4384358716158245,0.005406423905498478,0.06649671741591516,-0.01475357609450153,-0.18146271871735783,-0.06515357609450154,-0.8013613090505401,293,0.20206896551724138,6,5,4
8,fundamental_composite_news__missing,fundamental_composite_news,quality_flag,0.029782586247727533,0.5215654952076677,0.11637651694696517,0.029665611649109844,0.07869830084930515,0.3769536486679022,-0.09555344222042239,0.16708170907956266,0.515358361774744,0.029665611649109844,0.3769536486679022,-0.000574388350890158,-0.007298611846652461,-0.02073438835089017,-0.2634667855230224,-0.07113438835089017,-0.9038872197139468,293,0.20206896551724138,6,5,4
9,fundamental_underreaction__missing,fundamental_underreaction,quality_flag,0.029782586247727533,0.5215654952076677,0.11637651694696517,0.029665611649109844,0.07869830084930515,0.3769536486679022,-0.09555344222042239,0.16708170907956266,0.515358361774744,0.029665611649109844,0.3769536486679022,-0.000574388350890158,-0.007298611846652461,-0.02073438835089017,-0.2634667855230224,-0.07113438835089017,-0.9038872197139468,293,0.20206896551724138,6,5,4
10,carry_annualized__csz,carry_annualized,predictor,0.029099818573077342,0.546896551724138,0.11112202861054592,0.0255275405806335,0.09155081128078907,0.2788346735927853,-0.20926372174557184,0.13201210754350923,0.5119453924914675,0.0255275405806335,0.2788346735927853,-0.004712459419366482,-0.051473704639418534,-0.0248724594193665,-0.2716792901275547,-0.07527245941936649,-0.8221932538478945,293,0.20206896551724138,6,5,4
