trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_0bps_return,net_3bps_return,net_5bps_return,net_10bps_return,feature_name,fold_id,test_year
2019-01-02,29,5,5,0.01299225642918092,0.0856774060041678,-0.03634257478749344,1.0,0.0,2.0,-0.03634257478749344,-0.036942574787493444,-0.03734257478749344,-0.03834257478749344,tsmom_60__csz,fold_2019,2019
2019-01-09,29,5,5,0.0053104217530146585,-3.901668744283881e-05,0.0026747192202287487,1.0,0.0,2.0,0.0026747192202287487,0.002074719220228749,0.0016747192202287487,0.0006747192202287487,tsmom_60__csz,fold_2019,2019
2019-01-16,29,5,5,0.008314835888490298,0.02405410947510242,-0.00786963679330606,1.0,0.0,2.0,-0.00786963679330606,-0.00846963679330606,-0.00886963679330606,-0.00986963679330606,tsmom_60__csz,fold_2019,2019
2019-01-23,29,5,5,0.02506255010858948,-0.00675147062937208,0.01590701036898078,1.0,0.0,2.0,0.01590701036898078,0.01530701036898078,0.014907010368980778,0.013907010368980779,tsmom_60__csz,fold_2019,2019
2019-01-30,29,5,5,0.0036684067703349407,0.031071173065036976,-0.013701383147351018,1.0,0.0,2.0,-0.013701383147351018,-0.014301383147351018,-0.014701383147351019,-0.01570138314735102,tsmom_60__csz,fold_2019,2019
2019-02-13,29,5,5,0.007356745481691701,-0.00666471361392702,0.007010729547809361,1.0,0.0,2.0,0.007010729547809361,0.006410729547809361,0.006010729547809361,0.005010729547809361,tsmom_60__csz,fold_2019,2019
2019-02-20,29,5,5,-0.0081412629617723,-0.006057785937234038,-0.0010417385122691311,1.0,0.0,2.0,-0.0010417385122691311,-0.001641738512269131,-0.002041738512269131,-0.003041738512269131,tsmom_60__csz,fold_2019,2019
2019-02-27,29,5,5,0.009022859100427442,0.016567236608217878,-0.003772188753895218,1.0,0.0,2.0,-0.003772188753895218,-0.004372188753895218,-0.004772188753895218,-0.005772188753895218,tsmom_60__csz,fold_2019,2019
2019-03-06,29,5,5,-0.01690841339441088,0.006986014085100181,-0.01194721373975553,1.0,0.0,2.0,-0.01194721373975553,-0.01254721373975553,-0.01294721373975553,-0.01394721373975553,tsmom_60__csz,fold_2019,2019
2019-03-13,29,5,5,0.0010226055312518398,0.006831773016734979,-0.0029045837427415697,1.0,0.0,2.0,-0.0029045837427415697,-0.0035045837427415696,-0.0039045837427415697,-0.00490458374274157,tsmom_60__csz,fold_2019,2019
2019-03-20,29,5,5,-0.006413402842195959,-0.00538845793548736,-0.0005124724533542998,1.0,0.0,2.0,-0.0005124724533542998,-0.0011124724533542996,-0.0015124724533542998,-0.0025124724533543,tsmom_60__csz,fold_2019,2019
2019-03-27,29,5,5,0.04891712203819626,0.0048935121447420595,0.0220118049467271,1.0,0.0,2.0,0.0220118049467271,0.0214118049467271,0.021011804946727098,0.0200118049467271,tsmom_60__csz,fold_2019,2019
2019-04-03,29,5,5,0.0124578896228763,0.0006366150739096398,0.00591063727448333,1.0,0.0,2.0,0.00591063727448333,0.00531063727448333,0.00491063727448333,0.00391063727448333,tsmom_60__csz,fold_2019,2019
2019-04-11,29,5,5,-0.02949067488783026,-0.00895447973469298,-0.01026809757656864,1.0,0.0,2.0,-0.01026809757656864,-0.01086809757656864,-0.011268097576568641,-0.01226809757656864,tsmom_60__csz,fold_2019,2019
2019-04-18,29,5,5,0.01566370495703204,0.00147045359436874,0.0070966256813316505,1.0,0.0,2.0,0.0070966256813316505,0.006496625681331651,0.0060966256813316504,0.00509662568133165,tsmom_60__csz,fold_2019,2019
2019-04-25,29,5,5,-0.003928143239688639,-0.0048497371941829005,0.00046079697724713074,1.0,0.0,2.0,0.00046079697724713074,-0.0001392030227528692,-0.0005392030227528693,-0.0015392030227528693,tsmom_60__csz,fold_2019,2019
2019-05-07,29,5,5,-0.027599016835616073,-0.00826792889264524,-0.009665543971485417,1.0,0.0,2.0,-0.009665543971485417,-0.010265543971485417,-0.010665543971485416,-0.011665543971485417,tsmom_60__csz,fold_2019,2019
2019-05-14,29,5,5,0.03409441034401052,0.030019058454236226,0.002037675944887147,1.0,0.0,2.0,0.002037675944887147,0.001437675944887147,0.0010376759448871469,3.767594488714686e-05,tsmom_60__csz,fold_2019,2019
2019-05-21,29,5,5,0.00943547989640504,-0.00886905852534756,0.0091522692108763,1.0,0.0,2.0,0.0091522692108763,0.0085522692108763,0.0081522692108763,0.0071522692108763,tsmom_60__csz,fold_2019,2019
2019-05-28,29,5,5,0.0023509533023567384,-0.01257472585473066,0.007462839578543699,1.0,0.0,2.0,0.007462839578543699,0.006862839578543699,0.006462839578543699,0.005462839578543699,tsmom_60__csz,fold_2019,2019
2019-06-04,29,5,5,-0.0017424777543996405,-0.00812009224657788,0.0031888072460891197,1.0,0.0,2.0,0.0031888072460891197,0.00258880724608912,0.0021888072460891196,0.0011888072460891196,tsmom_60__csz,fold_2019,2019
2019-06-12,29,5,5,0.006616654430752199,0.036543278781986356,-0.01496331217561708,1.0,0.0,2.0,-0.01496331217561708,-0.01556331217561708,-0.01596331217561708,-0.016963312175617078,tsmom_60__csz,fold_2019,2019
2019-06-19,29,5,5,0.0170137896869032,0.008357663839549901,0.004328062923676649,1.0,0.0,2.0,0.004328062923676649,0.003728062923676649,0.0033280629236766487,0.0023280629236766487,tsmom_60__csz,fold_2019,2019
2019-06-26,29,5,5,0.018702558168741137,-0.01890519187570398,0.01880387502222256,1.0,0.0,2.0,0.01880387502222256,0.01820387502222256,0.017803875022222557,0.01680387502222256,tsmom_60__csz,fold_2019,2019
2019-07-03,29,5,5,-0.01142465881237748,-0.01051757453692652,-0.0004535421377254798,1.0,0.0,2.0,-0.0004535421377254798,-0.0010535421377254797,-0.0014535421377254798,-0.00245354213772548,tsmom_60__csz,fold_2019,2019
2019-07-10,29,5,5,0.00980773933132464,-0.00031029497841543983,0.00505901715487004,1.0,0.0,2.0,0.00505901715487004,0.00445901715487004,0.00405901715487004,0.00305901715487004,tsmom_60__csz,fold_2019,2019
2019-07-17,29,5,5,-6.187162978671806e-05,0.00812048831748104,-0.004091179973633879,1.0,0.0,2.0,-0.004091179973633879,-0.0046911799736338786,-0.005091179973633879,-0.006091179973633879,tsmom_60__csz,fold_2019,2019
