feature_name,fold_id,test_year,catalog_direction,applied_direction,direction_source,train_start,train_end,train_rows,test_rows,score_transform,pearson_ic_mean,rank_ic_mean,rank_ic_hit_rate,rank_icir,ic_days,prediction_rows,prediction_days,strategy_days,target_r2,target_mae,strategy_coverage,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_0bps_annual_return,net_0bps_annual_volatility,net_0bps_sharpe,net_0bps_max_drawdown,net_0bps_total_return,net_0bps_hit_rate,net_3bps_annual_return,net_3bps_annual_volatility,net_3bps_sharpe,net_3bps_max_drawdown,net_3bps_total_return,net_3bps_hit_rate,net_5bps_annual_return,net_5bps_annual_volatility,net_5bps_sharpe,net_5bps_max_drawdown,net_5bps_total_return,net_5bps_hit_rate,net_10bps_annual_return,net_10bps_annual_volatility,net_10bps_sharpe,net_10bps_max_drawdown,net_10bps_total_return,net_10bps_hit_rate
tsmom_60__csz,fold_2019,2019,1,1,catalog,2015-01-05,2018-12-20,26220,7092,cs_rank_centered,0.0015368667557422858,-0.014582239633397224,0.47540983606557374,-0.05883958120924412,244,7092,244,49,-1.0291860399335877,0.6911419652755203,0.20081967213114754,0.020753547003748762,0.07402070285840212,0.2803748978640375,-0.04132802045190165,0.017706849575066297,0.5714285714285714,0.020753547003748762,0.07402070285840212,0.2803748978640375,-0.04132802045190165,0.017706849575066297,0.5714285714285714,-0.009486452996251225,0.07402070285840212,-0.1281594557997961,-0.044224991334343544,-0.011778050267840956,0.5306122448979592,-0.029646452996251255,0.07402070285840212,-0.4005156915756857,-0.04615241140119797,-0.030968035259108184,0.5306122448979592,-0.08004645299625124,0.07402070285840212,-1.0814062810154084,-0.056876467631867045,-0.0773601759809025,0.5102040816326531
tsmom_60__csz,fold_2020,2020,1,1,catalog,2015-01-05,2019-12-23,33306,7268,cs_rank_centered,0.03398056398163753,0.03624961169220416,0.5596707818930041,0.12381828206742146,243,7268,243,49,-0.9280584315578004,0.6668644962228549,0.20164609053497942,0.02999289314969551,0.11930594125437197,0.25139479923927444,-0.07280601166702594,0.022499107549719843,0.5714285714285714,0.02999289314969551,0.11930594125437197,0.25139479923927444,-0.07280601166702594,0.022499107549719843,0.5714285714285714,-0.00024710685030448804,0.11930594125437197,-0.002071203225140582,-0.07673756474761906,-0.007124458946652257,0.5510204081632653,-0.020407106850304505,0.11930594125437197,-0.17104853820141744,-0.07935065565529953,-0.026404698431302887,0.5510204081632653,-0.07080710685030447,0.11930594125437197,-0.5934918756421089,-0.08799223802385925,-0.07301504612749221,0.5306122448979592
tsmom_60__csz,fold_2021,2021,1,1,catalog,2015-01-05,2020-12-23,40574,7287,cs_rank_centered,-0.04216125928063723,-0.04170717120107917,0.448559670781893,-0.14000650739899176,243,7287,243,49,-1.0835277656878728,0.7012089144512023,0.20164609053497942,-0.09268582198836446,0.13211687190300314,-0.7015441756478465,-0.1403754223543997,-0.09388125831041128,0.4489795918367347,-0.09268582198836446,0.13211687190300314,-0.7015441756478465,-0.1403754223543997,-0.09388125831041128,0.4489795918367347,-0.12292582198836445,0.13211687190300314,-0.930432428634955,-0.1527471871199878,-0.1201977147111487,0.4489795918367347,-0.14308582198836445,0.13211687190300314,-1.0830245972930275,-0.16184390772542134,-0.13732452177779952,0.42857142857142855,-0.19348582198836442,0.13211687190300314,-1.4645050189382083,-0.1843287150941335,-0.17872544162827608,0.42857142857142855
tsmom_60__csz,fold_2022,2022,1,1,catalog,2015-01-05,2021-12-23,47861,7252,cs_rank_centered,0.010367447051644127,0.004436578920357216,0.5247933884297521,0.01955622608314634,242,7252,242,49,-0.9909229243476441,0.6855326473553075,0.2024793388429752,-0.07261724015784875,0.10731970403132204,-0.676644059106377,-0.11290379787644611,-0.07334939200472912,0.5102040816326531,-0.07261724015784875,0.10731970403132204,-0.676644059106377,-0.11290379787644611,-0.07334939200472912,0.5102040816326531,-0.10285724015784874,0.10731970403132204,-0.9584189696221033,-0.12617961672604994,-0.10024846636508711,0.4897959183673469,-0.12301724015784876,0.10731970403132204,-1.1462689099659211,-0.13492397500835762,-0.11775465932208362,0.46938775510204084,-0.17341724015784873,0.10731970403132203,-1.615893760825465,-0.16553882487305838,-0.1600734053719125,0.42857142857142855
tsmom_60__csz,fold_2023,2023,1,1,catalog,2015-01-05,2022-12-22,55113,7259,cs_rank_centered,-0.009003740111601592,-0.0184255544155415,0.47520661157024796,-0.07649691268057945,242,7259,242,49,-1.0367567032246003,0.6895893461963645,0.2024793388429752,0.027096092119678825,0.077772648686866,0.3484013027352987,-0.054977254115915475,0.02373722470632389,0.4897959183673469,0.027096092119678825,0.077772648686866,0.3484013027352987,-0.054977254115915475,0.02373722470632389,0.4897959183673469,-0.003143907880321179,0.077772648686866,-0.04042433854836826,-0.058971638984031016,-0.005919005439863234,0.4897959183673469,-0.023303907880321193,0.077772648686866,-0.2996414327374796,-0.06162651522825291,-0.025220553025934955,0.46938775510204084,-0.07370390788032119,0.077772648686866,-0.9476841682102578,-0.08483346312047535,-0.07188257948800325,0.42857142857142855
tsmom_60__csz,fold_2024,2024,1,1,catalog,2015-01-05,2023-12-21,62372,7076,cs_rank_centered,-0.01151998710302906,-0.006756366370466984,0.4661016949152542,-0.023420570876650147,236,7076,236,48,-1.0133961160577107,0.6859533457942847,0.2033898305084746,-0.028205662051293795,0.09107822938096377,-0.30968610438521604,-0.09020074582739435,-0.030279514958424847,0.4166666666666667,-0.028205662051293795,0.09107822938096377,-0.30968610438521604,-0.09020074582739435,-0.030279514958424847,0.4166666666666667,-0.05844566205129381,0.09107822938096377,-0.6417083692616177,-0.10326387813571014,-0.05783687643908053,0.4166666666666667,-0.0786056620512938,0.09107822938096378,-0.8630565458458851,-0.11187256655797084,-0.07578089307899072,0.3958333333333333,-0.12900566205129382,0.09107822938096378,-1.4164269873065543,-0.13304917545470785,-0.11918968109432138,0.375
tsmom_60__missing,fold_2019,2019,1,1,catalog,2015-01-05,2018-12-20,26220,7092,cs_rank_centered,-0.06696831714953982,-0.0834315026509712,0.3888888888888889,-0.44328923602499337,18,7092,244,49,-0.011296894770414623,0.5189824089020854,0.20081967213114754,-0.03241810817535633,0.048797221133034994,-0.664343325759789,-0.07097341777373356,-0.032135144787394876,0.40816326530612246,-0.03241810817535633,0.048797221133034994,-0.664343325759789,-0.07097341777373356,-0.032135144787394876,0.40816326530612246,-0.06265810817535632,0.048797221133034994,-1.284050745523657,-0.0843003761167378,-0.060203517858708255,0.3673469387755102,-0.08281810817535634,0.048797221133034994,-1.6971890253662358,-0.0980079495837648,-0.07847113132312222,0.3469387755102041,-0.13321810817535634,0.048797221133034994,-2.730034724972682,-0.13609156441003734,-0.12263194827756674,0.32653061224489793
tsmom_60__missing,fold_2020,2020,1,1,catalog,2015-01-05,2019-12-23,33306,7268,cs_rank_centered,0.02497382477201383,0.026619606259202414,0.5238095238095238,0.19393120346713125,42,7268,243,49,-0.013855053570498432,0.5205219820770748,0.20164609053497942,-0.04163335190944628,0.06929186206660608,-0.600840425812582,-0.09010850921203528,-0.04188920104542215,0.5918367346938775,-0.04163335190944628,0.06929186206660608,-0.600840425812582,-0.09010850921203528,-0.04188920104542215,0.5918367346938775,-0.07187335190944627,0.06929186206660608,-1.037255310592733,-0.1047861338403715,-0.06968102085428562,0.5510204081632653,-0.09203335190944631,0.06929186206660608,-1.3281985671128338,-0.11444426441739441,-0.08776854636012443,0.5510204081632653,-0.1424333519094463,0.06929186206660608,-2.0555567084130857,-0.1385057925121035,-0.13149367500397335,0.3673469387755102
tsmom_60__missing,fold_2021,2021,1,1,catalog,2015-01-05,2020-12-23,40574,7287,cs_rank_centered,,,,,0,7287,243,49,,,0.20164609053497942,0.09956031512754779,0.06364895006663829,1.5642098577166086,-0.03185982834243506,0.09942441508669186,0.6122448979591837,0.09956031512754779,0.06364895006663829,1.5642098577166086,-0.03185982834243506,0.09942441508669186,0.6122448979591837,0.0693203151275478,0.06364895006663829,1.0891038273996947,-0.0342001480954961,0.06762191977827103,0.5510204081632653,0.04916031512754779,0.06364895006663829,0.7723664738550851,-0.03702124342559965,0.04692275701568094,0.5102040816326531,-0.0012396848724521995,0.06364895006663829,-0.01947691000643831,-0.04591235930672988,-0.0031205136219883967,0.4897959183673469
tsmom_60__missing,fold_2022,2022,1,1,catalog,2015-01-05,2021-12-23,47861,7252,cs_rank_centered,,,,,0,7252,242,49,,,0.2024793388429752,-0.013131117549257876,0.05669772568975125,-0.23159866448807973,-0.054758892501525436,-0.014198288690814187,0.40816326530612246,-0.013131117549257876,0.05669772568975125,-0.23159866448807973,-0.054758892501525436,-0.014198288690814187,0.40816326530612246,-0.043371117549257876,0.05669772568975125,-0.7649533913685307,-0.06911526227657949,-0.04277650683091827,0.3877551020408163,-0.06353111754925791,0.05669772568975125,-1.1205232092888318,-0.07994725398837654,-0.06137610480533018,0.3673469387755102,-0.1139311175492579,0.05669772568975125,-2.0094477540895834,-0.11168280578626011,-0.10634002694384381,0.3469387755102041
