trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_0bps_return,net_3bps_return,net_5bps_return,net_10bps_return,test_year
2025-01-02,30,6,6,-0.0090949822975938,-0.02076507704662715,0.005835047374516675,1.0,0.0,2.0,0.005835047374516675,0.005235047374516675,0.004835047374516675,0.003835047374516675,2025
2025-01-09,30,6,6,0.010320216197006299,0.022541773108836833,-0.006110778455915267,1.0,0.0,2.0,-0.006110778455915267,-0.006710778455915267,-0.007110778455915267,-0.008110778455915266,2025
2025-01-16,30,6,6,-0.009132588522570635,-0.019009146439785816,0.004938278958607591,1.0,0.0,2.0,0.004938278958607591,0.004338278958607591,0.003938278958607591,0.0029382789586075908,2025
2025-01-23,30,6,6,0.017013211651023468,0.02214613354392528,-0.002566460946450907,1.0,0.0,2.0,-0.002566460946450907,-0.0031664609464509066,-0.003566460946450907,-0.004566460946450907,2025
2025-02-07,30,6,6,-3.604129272888392e-05,-0.015896889308990168,0.007930424008130642,1.0,0.0,2.0,0.007930424008130642,0.007330424008130642,0.006930424008130642,0.005930424008130642,2025
2025-02-14,30,6,6,0.019921832853815366,0.010021612829494915,0.004950110012160226,1.0,0.0,2.0,0.004950110012160226,0.004350110012160226,0.003950110012160226,0.0029501100121602257,2025
2025-02-21,30,6,6,-0.016294141671391732,-0.017261108010445763,0.0004834831695270155,1.0,0.0,2.0,0.0004834831695270155,-0.00011651683047298443,-0.0005165168304729845,-0.0015165168304729845,2025
2025-02-28,30,6,6,0.00489819376876995,-0.022288415051132996,0.013593304409951473,1.0,0.0,2.0,0.013593304409951473,0.012993304409951473,0.012593304409951472,0.011593304409951473,2025
2025-03-07,30,6,6,0.002243242737662333,0.0057513565687499005,-0.0017540569155437837,1.0,0.0,2.0,-0.0017540569155437837,-0.002354056915543784,-0.0027540569155437835,-0.0037540569155437836,2025
2025-03-14,30,6,6,-0.006939295692992883,-0.011789035468387568,0.0024248698876973424,1.0,0.0,2.0,0.0024248698876973424,0.0018248698876973425,0.0014248698876973423,0.0004248698876973423,2025
2025-03-21,30,6,6,-0.0013689725717481998,-0.0016743872763850668,0.00015270735231843351,1.0,0.0,2.0,0.00015270735231843351,-0.00044729264768156643,-0.0008472926476815665,-0.0018472926476815665,2025
2025-03-28,30,6,6,-0.06805969152976436,-0.0084211400892711,-0.029819275720246632,1.0,0.0,2.0,-0.029819275720246632,-0.030419275720246632,-0.030819275720246633,-0.031819275720246634,2025
2025-04-07,30,6,6,0.013392273550471484,-0.018757182065879816,0.01607472780817565,1.0,0.0,2.0,0.01607472780817565,0.015474727808175649,0.015074727808175648,0.014074727808175648,2025
2025-04-14,30,6,6,0.004434140669657283,-0.0033630620031749672,0.0038986013364161252,1.0,0.0,2.0,0.0038986013364161252,0.0032986013364161254,0.002898601336416125,0.0018986013364161252,2025
2025-04-21,30,6,6,0.009580187012541317,-0.00302169301642825,0.006300940014484784,1.0,0.0,2.0,0.006300940014484784,0.005700940014484784,0.005300940014484784,0.004300940014484784,2025
2025-04-28,30,6,6,-0.025697275983675414,-0.017275455350892015,-0.004210910316391699,1.0,0.0,2.0,-0.004210910316391699,-0.004810910316391699,-0.005210910316391699,-0.006210910316391699,2025
2025-05-08,30,6,6,0.022219025454615283,-0.0060459439717774665,0.014132484713196374,1.0,0.0,2.0,0.014132484713196374,0.013532484713196374,0.013132484713196373,0.012132484713196374,2025
2025-05-15,30,6,6,-0.019271485687421815,-0.012299237911849831,-0.003486123887785992,1.0,0.0,2.0,-0.003486123887785992,-0.004086123887785992,-0.004486123887785992,-0.005486123887785992,2025
2025-05-22,30,6,6,-0.028717722397972132,-0.0033301978898239502,-0.01269376225407409,1.0,0.0,2.0,-0.01269376225407409,-0.01329376225407409,-0.01369376225407409,-0.01469376225407409,2025
2025-05-29,30,6,6,-0.0001998653092066665,0.003835086730769767,-0.0020174760199882166,1.0,0.0,2.0,-0.0020174760199882166,-0.0026174760199882165,-0.0030174760199882166,-0.004017476019988217,2025
