feature_name,standardized_coefficient
tsmom_60__csz,-0.0392561402925042
tsmom_60__missing,-0.002023232253987169
csmom_60__csz,-0.012664161172451636
csmom_60__missing,-0.002023232253987169
trend_efficiency_60__csz,0.0024859797541654884
trend_efficiency_60__missing,-0.002023232253988331
multi_horizon_trend__csz,-0.00366624373031723
multi_horizon_trend__missing,0.0075953209873833565
carry_annualized__csz,0.022933601114032594
carry_annualized__missing,0.013602635522836321
carry_change_20__csz,-0.019333775481350488
carry_change_20__missing,-0.029806386245469232
basis_fresh__csz,0.020132193952944785
basis_fresh__missing,0.018878744619284668
basis_shock_20__csz,-0.001719434210829633
basis_shock_20__missing,0.004992216045989708
basis_momentum_20__csz,-0.023172796102871714
basis_momentum_20__missing,0.00459472580137055
curve_curvature__csz,0.0053474958603280005
curve_curvature__missing,-0.0012134247295267804
value_252__csz,-0.0036055006772791787
value_252__missing,-0.015795818695441173
short_reversal_5__csz,0.011093603212412222
inventory_scarcity__csz,0.006868102694770351
inventory_scarcity__missing,-0.006728660553765027
inventory_change_5__csz,0.0026482095966493813
inventory_change_5__missing,0.092516583828651
inventory_surprise__csz,-0.0009069626400606872
inventory_surprise__missing,0.0036664176432029258
warehouse_tightness__csz,0.015578333612586794
warehouse_tightness__missing,0.012795226254144072
tightness_composite__csz,-0.02304319957095161
tightness_composite__missing,-0.00677317213309293
oi_growth_20__csz,1.4695831511370616e-06
oi_growth_20__missing,0.01327160151424468
price_oi_interaction_20__csz,0.0023512279619788755
price_oi_interaction_20__missing,-0.03724367573859035
volume_shock_20__csz,-0.0009583544001892946
volume_shock_20__missing,-0.012638043392482668
amihud_20__csz,-0.004615239195989405
amihud_20__missing,-0.010898972690027592
turnover_oi__csz,-0.006763579322954358
realized_volatility_20__csz,-0.027246408424220964
realized_volatility_20__missing,0.004040033096878174
low_volatility_20__csz,-0.03782799782704987
low_volatility_20__missing,0.004040033096878174
realized_skewness_60__csz,-0.007600679914781891
realized_skewness_60__missing,-0.002023232253988331
seasonality_3y__csz,-0.008460068993305956
seasonality_3y__missing,-0.0025829248692413056
sector_relative_value_60__csz,0.01814556536391262
sector_relative_value_60__missing,-0.002023232253987169
factor_momentum__tsz,-0.0016741951228006191
factor_momentum__missing,-0.00022052123098507915
fundamental_composite_news__csz,0.0005677317002910665
fundamental_composite_news__missing,-0.01925367099208157
fundamental_underreaction__csz,0.008945792962529397
fundamental_underreaction__missing,0.00892938061910974
information_consistency__csz,-0.0010020516616732725
information_consistency__missing,-0.006773172133095422
information_divergence__csz,0.00794840666369139
information_divergence__missing,0.016034856628032713
warehouse_surprise__csz,-0.0008317274320831701
warehouse_surprise__missing,0.00027929309891894884
momentum_quality_60__csz,0.01792387579419321
momentum_quality_60__missing,-0.002023232253988331
vol_managed_momentum__csz,0.018066393803644096
vol_managed_momentum__missing,-0.002023232253987169
idiosyncratic_volatility_60__csz,-0.007352943568345646
idiosyncratic_volatility_60__missing,0.00831913661079064
term_structure_slope__csz,-0.0021631361673851448
term_structure_slope__missing,-0.0012134247295287636
term_structure_momentum__csz,0.019906538710549926
term_structure_momentum__missing,0.0016682261423378408
term_structure_acceleration__csz,0.0022678340448189106
term_structure_acceleration__missing,0.00035066475717821904
basis_surprise__csz,-0.0022909303629862123
basis_surprise__missing,-0.004560790597506283
inventory_acceleration__csz,0.0021839573687871417
inventory_acceleration__missing,0.04252776005794555
inventory_price_divergence__csz,0.002091357025794824
inventory_price_divergence__missing,-0.13949196189261368
oi_surprise_60__csz,-0.0010121531468806687
oi_surprise_60__missing,0.005724291382263991
volume_price_divergence_20__csz,0.0005538308699713928
volume_price_divergence_20__missing,0.047515799775258286
momentum_carry_interaction__csz,0.0007514582971053194
momentum_carry_interaction__missing,0.008237410862079414
nonlinear_tightness__csz,-0.0005346738407376727
nonlinear_tightness__missing,-0.00677317213309293
correlation_risk_20_120__csz,0.005178390871713618
correlation_risk_20_120__missing,0.007595320987382943
