inner_validation_year,alpha,mean_rank_ic,rows
2024,0.01,-0.004758169360990581,7076
2024,0.1,-0.004831697386480293,7076
2024,1.0,-0.005060810354795013,7076
2024,10.0,-0.006711540278709336,7076
2024,100.0,-0.011552784536607996,7076
